,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
0,1,1,Keegan Bradley,26,64,27,37
1,2,2,Lucas Glover,23,75,35,40
2,3,3,Hudson Swafford,30,81,7,74
3,4,4,Emiliano Grillo,25,84,67,17
4,5,5,Andrew Landry,18,85,59,26
5,6,6,Rory McIlroy,18,86,9,77
6,7,7,Paul Casey,22,90,54,36
7,8,8,Thomas Aiken,23,91,89,2
8,9,9,Sergio Garcia,15,98,28,70
9,10,10,Scott Pinckney,29,99,43,56
10,11,11,Boo Weekley,26,100,84,16
11,12,12,Shane Lowry,17,101,32,69
12,13,13,Russell Henley,25,103,48,55
13,14,14,Jim Herman,29,112,87,25
14,15,15,Brendan Steele,25,114,20,94
15,16,16,Scott Brown,27,123,76,47
16,17,17,Jason Kokrak,28,125,6,119
17,T18,T18,Si Woo Kim,34,126,69,57
18,T18,T18,Harold Varner III,28,126,22,104
19,20,20,Jason Dufner,28,128,70,58
20,T21,T21,Graham DeLaet,21,132,37,95
21,T21,T21,Hideki Matsuyama,23,132,65,67
22,T21,T21,Sean O'Hair,27,132,20,112
23,T21,T21,Brett Stegmaier,29,132,52,80
24,T25,T25,Kevin Chappell,27,133,46,87
25,T25,T25,Chez Reavie,27,133,123,10
26,T27,T27,Rickie Fowler,23,136,23,113
27,T27,T27,Brooks Koepka,21,136,19,117
28,29,29,Wes Roach,21,137,59,78
29,T30,T30,Kevin Kisner,27,138,105,33
30,T30,T30,Scott Piercy,24,138,37,101
31,32,32,Louis Oosthuizen,17,139,68,71
32,T33,T33,Dustin Johnson,22,140,2,138
33,T33,T33,Ryan Palmer,23,140,12,128
34,35,35,Adam Hadwin,27,141,92,49
35,36,36,Justin Rose,18,143,16,127
36,37,37,Kevin Streelman,26,144,104,40
37,T38,T38,Russell Knox,25,145,137,8
38,T38,T38,Marc Leishman,25,145,55,90
39,T40,T40,Brian Harman,31,146,95,51
40,T40,T40,Jamie Lovemark,27,146,11,135
41,T40,T40,Greg Owen,29,146,39,107
42,43,43,William McGirt,28,149,118,31
43,44,44,Kyle Stanley,28,150,112,38
44,45,45,Jason Gore,27,151,103,48
45,46,46,Kyle Reifers,34,153,123,30
46,T47,T47,John Huh,28,154,145,9
47,T47,T47,Gary Woodland,26,154,10,144
48,T49,T49,Chad Campbell,28,155,116,39
49,T49,T49,Roberto Castro,27,155,149,6
50,T49,T49,Geoff Ogilvy,22,155,80,75
51,52,52,Billy Horschel,20,156,72,84
52,T53,T53,Blayne Barber,27,157,97,60
53,T53,T53,Patrick Rodgers,28,157,26,131
54,T55,T55,Derek Ernst,20,159,63,96
55,T55,T55,Bill Haas,24,159,97,62
56,T55,T55,David Lingmerth,24,159,144,15
57,58,58,Matt Kuchar,26,161,137,24
58,T59,T59,Stewart Cink,19,162,42,120
59,T59,T59,Rod Pampling,18,162,117,45
60,T59,T59,Jhonattan Vegas,27,162,14,148
61,T62,T62,Henrik Norlander,21,164,112,52
62,T62,T62,Bubba Watson,19,164,4,160
63,64,64,Adam Scott,20,166,13,153
64,65,65,Jim Furyk,14,167,160,7
65,T66,T66,Whee Kim,27,168,118,50
66,T66,T66,Ryan Moore,23,168,150,18
67,T68,T68,Spencer Levin,32,169,157,12
68,T68,T68,Graeme McDowell,21,169,156,13
69,70,70,James Hahn,26,172,88,84
70,T71,T71,Scott Langley,22,174,139,35
71,T71,T71,Danny Lee,28,174,130,44
72,T71,T71,Ben Martin,28,174,108,66
73,T71,T71,Jordan Spieth,21,174,51,123
74,T71,T71,Michael Thompson,23,174,85,89
75,76,76,Francesco Molinari,18,175,129,46
76,77,77,Willy Wilcox,23,176,73,103
77,T78,T78,Alex Cejka,22,177,155,22
78,T78,T78,Jerry Kelly,23,177,174,3
79,T78,T78,Johnson Wagner,26,177,101,76
80,T81,T81,Tony Finau,28,178,3,175
81,T81,T81,Fabián Gómez,26,178,105,73
82,T83,T83,David Hearn,29,179,158,21
83,T83,T83,Sung Kang,29,179,77,102
84,T83,T83,Sam Saunders,24,179,81,98
85,T86,T86,Daniel Berger,26,180,34,146
86,T86,T86,J.B. Holmes,22,180,1,179
87,T86,T86,Brian Stuard,20,180,176,4
88,89,89,Rory Sabbatini,20,182,118,64
89,90,90,Nick Taylor,26,184,47,137
90,T91,T91,Zac Blair,31,185,180,5
91,T91,T91,Padraig Harrington,16,185,97,88
92,T91,T91,Colt Knost,26,185,184,1
93,T91,T91,Kelly Kraft,20,185,93,92
94,T95,T95,Robert Garrigus,21,186,18,168
95,T95,T95,Charl Schwartzel,19,186,44,142
96,T97,T97,Ángel Cabrera,22,187,63,124
97,T97,T97,Luke List,27,187,7,180
98,T99,T99,Matt Jones,27,188,56,132
99,T99,T99,Brandt Snedeker,27,188,75,113
100,101,101,Andrew Loupe,27,189,5,184
101,102,102,Scott Stallings,27,190,50,140
102,T103,T103,Harris English,27,191,29,162
103,T103,T103,Charles Howell III,25,191,17,174
104,T103,T103,Martin Laird,24,191,33,158
105,T103,T103,Justin Thomas,28,191,24,167
106,T107,T107,Chesson Hadley,27,192,45,147
107,T107,T107,Patrick Reed,28,192,41,151
108,T107,T107,John Senden,28,192,95,97
109,T107,T107,Robert Streb,27,192,59,133
110,111,111,Jason Bohn,21,193,179,14
111,T112,T112,Morgan Hoffmann,25,195,66,129
112,T112,T112,Hunter Mahan,22,195,56,139
113,T112,T112,David Toms,19,195,184,11
114,T115,T115,Jason Day,20,196,15,181
115,T115,T115,Dicky Pride,21,196,173,23
116,T117,T117,Steve Marino,24,197,79,118
117,T117,T117,Webb Simpson,20,197,132,65
118,T119,T119,Mark Hubbard,30,198,164,34
119,T119,T119,Shawn Stefani,29,198,78,120
120,T121,T121,Zach Johnson,24,199,167,32
121,T121,T121,Kevin Na,26,199,170,29
122,T121,T121,Vaughn Taylor,24,199,127,72
123,T124,T124,K.J. Choi,22,200,180,20
124,T124,T124,Charley Hoffman,26,200,36,164
125,T126,T126,Smylie Kaufman,28,201,30,171
126,T126,T126,Mark Wilson,21,201,182,19
127,T128,T128,Billy Hurley III,20,204,176,28
128,T128,T128,Chris Kirk,28,204,136,68
129,T128,T128,Carlos Ortiz,29,204,31,173
130,131,131,Abraham Ancer,19,205,178,27
131,132,132,Branden Grace,18,206,48,158
132,T133,T133,Bronson Burgoon,27,207,71,136
133,T133,T133,Ken Duke,20,207,164,43
134,T133,T133,Troy Merritt,26,207,126,81
135,T133,T133,Jimmy Walker,25,207,24,183
136,137,137,Stuart Appleby,23,215,152,63
137,T138,T138,Ben Crane,27,216,162,54
138,T138,T138,Rhein Gibson,20,216,40,176
139,140,140,Chris Stroud,27,218,132,86
140,141,141,Phil Mickelson,22,219,56,163
141,142,142,Jonas Blixt,26,220,90,130
142,T143,T143,Will MacKenzie,26,223,140,83
143,T143,T143,Bryce Molder,26,223,164,59
144,145,145,Andres Gonzales,28,224,59,165
145,T146,T146,Jon Curran,30,225,183,42
146,T146,T146,George McNeill,23,225,147,78
147,148,148,J.J. Henry,24,227,123,104
148,T149,T149,Steve Stricker,15,228,175,53
149,T149,T149,Steve Wheatcroft,26,228,135,93
150,151,151,Daniel Summerhays,28,229,114,115
151,152,152,Hiroshi Iwata,29,230,108,122
152,153,153,Brendon de Jonge,30,231,122,109
153,T154,T154,Anirban Lahiri,21,232,82,150
154,T154,T154,Dawie van der Walt,25,232,91,141
155,T154,T154,Tim Wilkinson,22,232,171,61
156,157,157,Seung-Yul Noh,28,234,52,182
157,158,158,Vijay Singh,22,236,93,143
