,Driving_Pct._300_All_Drives_RANK THIS WEEK,Driving_Pct._300_All_Drives_RANK LAST WEEK,Driving_Pct._300_All_Drives_PLAYER NAME,Driving_Pct._300_All_Drives_ROUNDS,Driving_Pct._300_All_Drives_%,Driving_Pct._300_All_Drives_TOTAL DRIVES FOR 300+,Driving_Pct._300_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._300_All_Drives_RELATIVE TO PAR
0,1,1,Bubba Watson,72,63.65,457,718,-0.147
1,2,2,J.B. Holmes,77,62.44,527,844,-0.061
2,3,3,Dustin Johnson,87,61.35,535,872,-0.185
3,4,4,Rory McIlroy,69,56.99,383,672,-0.23
4,5,5,Andrew Loupe,75,56.18,518,922,-0.124
5,6,6,Tony Finau,95,53.53,576,1076,-0.156
6,7,7,Jamie Lovemark,91,49.83,570,1144,-0.168
7,8,8,Jason Day,76,49.08,373,760,-0.214
8,9,9,Jason Kokrak,89,48.55,502,1034,-0.183
9,10,10,Luke List,79,48.02,436,908,-0.177
10,11,11,Ryan Palmer,86,47.33,515,1088,-0.214
11,12,12,Gary Woodland,95,46.65,501,1074,-0.204
12,13,13,Adam Scott,79,46.56,365,784,-0.2
13,14,14,Brooks Koepka,75,46.45,392,844,-0.14300000000000002
14,15,15,Patrick Rodgers,89,45.06,447,992,-0.161
15,16,16,Justin Thomas,99,44.57,468,1050,-0.11800000000000001
16,17,17,Justin Rose,65,44.17,303,686,-0.20800000000000002
17,18,18,Robert Garrigus,69,44.05,333,756,-0.195
18,19,19,Smylie Kaufman,91,43.89,438,998,-0.21
19,20,20,Rickie Fowler,80,43.67,393,900,-0.17600000000000002
20,21,21,Brendan Steele,88,43.49,414,952,-0.18600000000000003
21,22,22,Hudson Swafford,104,43.23,549,1270,-0.188
22,23,23,Charles Howell III,91,42.65,464,1088,-0.162
23,24,24,Jhonattan Vegas,97,41.79,468,1120,-0.237
24,25,25,Jimmy Walker,85,41.57,409,984,-0.235
25,26,26,Sean O'Hair,89,41.45,487,1175,-0.191
26,27,27,Charley Hoffman,91,39.96,390,976,-0.12300000000000001
27,28,28,Carlos Ortiz,79,38.76,324,836,-0.071
28,29,29,Charl Schwartzel,73,38.72,302,780,-0.11599999999999999
29,30,30,Shane Lowry,57,37.9,191,504,-0.073
30,31,31,Scott Piercy,87,37.89,341,900,-0.214
31,32,32,Sergio Garcia,54,37.79,164,434,-0.207
32,33,33,Martin Laird,82,37.42,366,978,-0.14800000000000002
33,34,34,Harold Varner III,92,36.78,406,1104,-0.18
34,35,35,Harris English,97,36.68,369,1006,-0.168
35,36,36,Daniel Berger,92,35.86,360,1004,-0.18899999999999997
36,37,37,Keegan Bradley,82,35.8,315,880,-0.165
37,38,38,Scott Pinckney,87,35.18,349,992,-0.158
38,39,39,Patrick Reed,105,35.16,384,1092,-0.154
39,40,40,Rhein Gibson,58,35.06,216,616,-0.12
40,41,41,Greg Owen,85,34.98,333,952,-0.11699999999999999
41,42,42,Branden Grace,63,34.42,201,584,-0.095
42,43,43,Jordan Spieth,80,34.24,278,812,-0.223
43,44,44,Hunter Mahan,61,34.16,233,682,-0.133
44,45,45,Chesson Hadley,81,33.37,307,920,-0.039
45,46,46,Graham DeLaet,70,32.8,265,808,-0.128
46,47,47,Steven Bowditch,71,32.77,253,772,-0.027999999999999997
47,48,48,Stewart Cink,61,32.02,219,684,-0.22399999999999998
48,49,49,Phil Mickelson,75,31.96,264,826,-0.235
49,50,50,Derek Ernst,59,31.73,191,602,-0.131
50,51,51,Paul Casey,77,31.7,253,798,-0.221
51,52,52,Brett Stegmaier,87,31.55,330,1046,-0.188
52,53,53,Ángel Cabrera,62,31.25,210,672,-0.086
53,54,54,Hideki Matsuyama,76,30.79,250,812,-0.2
54,55,55,Scott Stallings,74,30.37,263,866,-0.156
55,56,56,Andrew Landry,53,30.09,139,462,-0.13699999999999998
56,57,57,Nick Taylor,83,30.04,277,922,-0.19899999999999998
57,58,58,Emiliano Grillo,93,30.02,308,1026,-0.20800000000000002
58,59,59,Si Woo Kim,113,29.71,407,1370,-0.16
59,60,60,Steve Marino,72,29.61,228,770,-0.026000000000000002
60,61,61,Wes Roach,59,29.57,178,602,-0.157
61,62,62,Lucas Glover,75,29.49,276,936,-0.21
62,63,63,Ernie Els,66,29.16,228,782,-0.184
63,64,64,Robert Streb,87,29.01,264,910,-0.14800000000000002
64,65,65,Marc Leishman,89,28.9,263,910,-0.175
65,66,66,Seung-Yul Noh,85,28.79,277,962,-0.20600000000000002
66,67,67,Russell Henley,76,28.63,276,964,-0.141
67,68,68,Jason Dufner,105,28.58,315,1102,-0.165
68,69,69,Andres Gonzales,80,28.52,255,894,-0.20800000000000002
69,70,70,Anirban Lahiri,72,28.27,190,672,-0.179
70,71,71,Matt Jones,83,28.23,245,868,-0.131
71,72,72,Morgan Hoffmann,71,28.16,232,824,-0.24600000000000002
72,73,73,Kevin Chappell,93,28.13,306,1088,-0.17
73,74,74,Louis Oosthuizen,63,28.08,164,584,-0.128
74,75,75,Billy Horschel,73,27.93,219,784,-0.21
75,76,76,James Hahn,85,27.07,262,968,-0.092
76,77,77,Sam Saunders,69,26.62,189,710,-0.217
77,78,78,Bronson Burgoon,83,26.51,237,894,-0.114
78,79,79,Shawn Stefani,91,26.26,282,1074,-0.113
79,T80,T80,Brandt Snedeker,93,26.15,272,1040,-0.18
80,T80,T80,Dawie van der Walt,72,26.15,205,784,-0.239
81,82,82,Scott Brown,88,25.99,250,962,-0.11599999999999999
82,83,83,Michael Thompson,71,25.61,190,742,-0.3
83,84,84,Martin Piller,59,25.31,163,644,-0.147
84,85,85,Sung Kang,89,25.15,256,1018,-0.203
85,86,86,Willy Wilcox,67,25.06,199,794,-0.23600000000000002
86,87,87,Jim Herman,93,24.85,243,978,-0.066
87,88,88,Rory Sabbatini,57,24.72,134,542,-0.134
88,89,89,John Senden,88,24.31,265,1090,-0.196
89,90,90,Kevin Kisner,97,24.17,248,1026,-0.20600000000000002
90,T91,T91,Kelly Kraft,63,23.86,147,616,-0.22399999999999998
91,T91,T91,Kevin Streelman,82,23.86,210,880,-0.133
92,93,93,Aaron Baddeley,93,23.84,247,1036,-0.20600000000000002
93,94,94,Boo Weekley,83,23.79,236,992,-0.267
94,95,95,Geoff Ogilvy,63,23.78,166,698,-0.217
95,96,96,Brian Harman,104,23.74,302,1272,-0.142
96,97,97,Vijay Singh,72,23.62,214,906,-0.187
97,98,98,Bill Haas,86,23.44,210,896,-0.1
98,99,99,Patton Kizzire,93,23.35,241,1032,-0.257
99,100,100,Padraig Harrington,54,23.21,143,616,-0.14
100,101,101,Fabián Gómez,82,23.2,238,1026,-0.11800000000000001
101,102,102,Camilo Villegas,83,22.83,226,990,-0.18600000000000003
102,103,103,Derek Fathauer,94,22.81,239,1048,-0.163
103,104,104,Jason Gore,78,22.63,186,822,-0.242
104,105,105,Whee Kim,82,22.41,203,906,-0.07400000000000001
105,106,106,Henrik Norlander,71,22.39,163,728,-0.141
106,107,107,Kyle Stanley,92,22.24,242,1088,-0.182
107,108,108,Tom Hoge,81,22.05,194,880,-0.175
108,109,109,J.J. Henry,68,22.04,186,844,-0.14
109,110,110,Danny Lee,93,21.81,214,981,-0.196
110,111,111,Blayne Barber,84,21.61,223,1032,-0.139
111,112,112,Thomas Aiken,70,21.56,144,668,-0.285
112,113,113,Hiroshi Iwata,85,21.41,197,920,-0.162
113,114,114,Webb Simpson,70,21.23,172,810,-0.244
114,115,115,Daniel Summerhays,99,21.05,232,1102,-0.228
115,116,116,Rod Pampling,54,21.04,109,518,-0.037000000000000005
116,117,117,Russell Knox,92,20.77,189,910,-0.138
117,118,118,Adam Hadwin,93,20.56,250,1216,-0.18
118,119,119,Erik Compton,65,20.49,143,698,-0.126
119,120,120,Matt Kuchar,100,20.48,220,1074,-0.29100000000000004
120,121,121,Retief Goosen,55,20.36,136,668,-0.125
121,122,122,Jonas Blixt,79,20.34,190,934,-0.27399999999999997
122,123,123,Tyrone Van Aswegen,105,20.31,247,1216,-0.223
123,124,124,Ben Martin,92,19.82,222,1120,-0.21600000000000003
124,125,125,Tyler Aldridge,83,19.81,185,934,-0.23800000000000002
125,126,126,Steve Wheatcroft,85,19.67,192,976,-0.203
126,127,127,Chris Kirk,90,19.59,203,1036,-0.19699999999999998
127,128,128,Chris Stroud,82,19.5,188,964,-0.22899999999999998
128,129,129,Ricky Barnes,97,19.32,216,1118,-0.259
129,130,130,David Lingmerth,84,19.31,163,844,-0.08
130,131,131,William McGirt,98,19.24,237,1232,-0.139
131,132,132,Troy Merritt,77,19.19,175,912,-0.14300000000000002
132,133,133,Chad Campbell,90,19.02,210,1104,-0.195
133,134,134,Francesco Molinari,64,18.84,150,796,-0.207
134,135,135,Johnson Wagner,86,18.52,197,1064,-0.26899999999999996
135,136,136,Luke Guthrie,57,18.41,116,630,-0.16399999999999998
136,137,137,Brendon de Jonge,83,18.17,165,908,-0.145
137,138,138,Jeff Overton,69,17.78,144,810,-0.125
138,139,139,Cameron Smith,73,17.5,112,640,-0.214
139,140,140,Vaughn Taylor,72,17.31,162,936,-0.031
140,141,141,Will MacKenzie,84,17.28,159,920,-0.107
141,142,142,Kyle Reifers,115,16.79,225,1340,-0.16899999999999998
142,143,143,Ryan Moore,86,16.78,152,906,-0.25
143,144,144,Chez Reavie,90,16.6,176,1060,-0.256
144,145,145,Alex Cejka,71,16.57,119,718,-0.244
145,146,146,Scott Langley,65,15.9,118,742,-0.11
146,147,147,Robert Allenby,51,15.56,89,572,-0.258
147,148,148,Michael Kim,100,15.49,184,1188,-0.125
148,149,149,George McNeill,51,15.31,98,640,-0.14300000000000002
149,150,150,Cameron Tringale,81,14.52,142,978,-0.303
150,151,151,Roberto Castro,97,14.39,177,1230,-0.209
151,152,152,Mark Hubbard,101,14.34,166,1158,-0.187
152,153,153,Peter Malnati,85,14.16,147,1038,-0.109
153,154,154,Freddie Jacobson,86,13.81,137,992,-0.204
154,155,155,Graeme McDowell,63,13.77,87,632,-0.161
155,156,156,Rob Oppenheim,67,13.43,94,700,-0.223
156,T157,T157,David Hearn,95,13.35,153,1146,-0.17600000000000002
157,T157,T157,D.H. Lee,61,13.35,86,644,-0.151
158,159,159,Stuart Appleby,71,13.23,122,922,-0.14800000000000002
159,160,160,Ken Duke,58,12.87,86,668,-0.221
160,161,161,Jim Furyk,52,12.66,78,616,-0.205
161,162,162,Spencer Levin,104,12.48,143,1146,-0.392
162,163,163,John Huh,86,12.41,135,1088,-0.14800000000000002
163,164,164,Tim Wilkinson,72,11.86,83,700,-0.27699999999999997
164,165,165,D.A. Points,55,11.36,62,546,-0.145
165,166,166,Zach Johnson,90,11.21,115,1026,-0.2
