,Left_Tendency_RANK THIS WEEK,Left_Tendency_RANK LAST WEEK,Left_Tendency_PLAYER NAME,Left_Tendency_EVENTS,Left_Tendency_%,Left_Tendency_NUMBER OF TIMES,Left_Tendency_ATTEMPTS,Left_Tendency_AVG RTP SCORE
0,1,1,Bryce Molder,26,31.2,110,353,+1.09
1,2,2,Jeff Overton,25,32.0,103,322,+1.75
2,3,3,Scott Langley,22,34.3,91,265,+1.32
3,4,4,Thomas Aiken,23,34.4,65,189,E
4,5,5,Scott Stallings,27,34.9,124,355,+1.05
5,6,6,Charley Hoffman,26,36.1,154,427,+2.21
6,7,7,Charles Howell III,25,39.1,202,517,+0.99
7,8,8,Francesco Molinari,18,39.4,114,289,+1.05
8,T9,T9,Smylie Kaufman,28,39.5,179,453,+0.17
9,T9,T9,David Toms,19,39.5,94,238,+1.06
10,11,11,John Huh,28,39.6,134,338,+1.94
11,12,12,Scott Piercy,24,39.8,140,352,+1.29
12,T13,T13,D.H. Lee,22,40.2,99,246,+3.33
13,T13,T13,Dicky Pride,21,40.2,74,184,+1.76
14,T15,T15,Daniel Berger,26,40.4,173,428,+1.33
15,T15,T15,Mark Hubbard,30,40.4,164,406,+1.52
16,T17,T17,Branden Grace,18,40.5,105,259,+0.86
17,T17,T17,Whee Kim,27,40.5,135,333,+1.93
18,T17,T17,Patrick Reed,28,40.5,192,474,+1.20
19,20,20,Aaron Baddeley,28,40.6,176,433,+0.97
20,21,21,K.J. Choi,22,40.7,129,317,+1.40
21,22,22,Hiroshi Iwata,29,40.9,156,381,+2.12
22,T23,T23,Matt Jones,27,41.0,151,368,+1.79
23,T23,T23,Mark Wilson,21,41.0,105,256,+2.10
24,25,25,Brendan Steele,25,41.2,150,364,+2.07
25,26,26,George McNeill,23,41.7,103,247,+2.82
26,27,27,Boo Weekley,26,41.9,130,310,+1.62
27,28,28,Ryan Palmer,23,42.0,185,441,+0.43
28,29,29,Ernie Els,21,42.1,147,349,+1.29
29,T30,T30,Kelly Kraft,20,42.2,100,237,+2.20
30,T30,T30,Rob Oppenheim,21,42.2,130,308,+2.54
31,32,32,Derek Ernst,20,42.6,98,230,+2.14
32,33,33,Cameron Smith,24,42.9,112,261,+1.96
33,34,34,Bronson Burgoon,27,43.2,168,389,+1.61
34,35,35,Fabián Gómez,26,43.3,166,383,+2.65
35,T36,T36,Roberto Castro,27,43.8,161,368,+1.55
36,T36,T36,Patrick Rodgers,28,43.8,175,400,+1.49
37,38,38,Si Woo Kim,34,44.3,227,512,+1.50
38,T39,T39,Tyler Aldridge,28,44.4,175,394,+1.94
39,T39,T39,Peter Malnati,32,44.4,176,396,+2.56
