,Driving_Distance_RANK THIS WEEK,Driving_Distance_RANK LAST WEEK,Driving_Distance_PLAYER NAME,Driving_Distance_ROUNDS,Driving_Distance_AVG.,Driving_Distance_TOTAL DISTANCE,Driving_Distance_TOTAL DRIVES
0,1,1,J.B. Holmes,77,314.5,46541,148
1,2,2,Dustin Johnson,87,313.6,48921,156
2,3,3,Tony Finau,95,312.2,56820,182
3,4,4,Bubba Watson,72,310.6,40382,130
4,5,5,Andrew Loupe,75,309.3,46084,149
5,6,6,Jason Kokrak,89,307.4,54711,178
6,T7,T7,Luke List,79,306.9,47257,154
7,T7,T7,Hudson Swafford,104,306.9,61380,200
8,9,9,Rory McIlroy,69,306.8,35585,116
9,10,10,Gary Woodland,95,306.1,50811,166
10,11,11,Jamie Lovemark,91,304.8,55160,181
11,12,12,Ryan Palmer,86,304.7,52410,172
12,13,13,Adam Scott,79,304.6,41422,136
13,14,14,Jhonattan Vegas,97,304.4,56616,186
14,15,15,Jason Day,76,304.2,41973,138
15,16,16,Justin Rose,65,303.9,37687,124
16,17,17,Charles Howell III,91,303.4,52788,174
17,18,18,Robert Garrigus,69,303.3,39128,129
18,19,19,Brooks Koepka,75,302.6,42359,140
19,T20,T20,Sean O'Hair,89,302.2,53787,178
20,T20,T20,Brendan Steele,88,302.2,48355,160
21,22,22,Harold Varner III,92,302.0,54967,182
22,23,23,Rickie Fowler,80,301.6,44029,146
23,T24,T24,Justin Thomas,99,301.3,53034,176
24,T24,T24,Jimmy Walker,85,301.3,49410,164
25,26,26,Patrick Rodgers,89,300.5,51088,170
26,27,27,Keegan Bradley,82,300.0,46794,156
27,28,28,Sergio Garcia,54,299.9,25792,86
28,29,29,Harris English,97,299.2,52951,177
29,30,30,Smylie Kaufman,91,299.0,52632,176
30,31,31,Carlos Ortiz,79,298.9,42439,142
31,32,32,Shane Lowry,57,298.7,29869,100
32,33,33,Martin Laird,82,298.5,46569,156
33,34,34,Daniel Berger,92,298.4,48337,162
34,35,35,Lucas Glover,75,298.3,44751,150
