,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL DISTANCE
0,1,1,J.B. Holmes,77,70.58,198406.3,281126
1,2,2,Bubba Watson,72,69.82,169953.8,243432
2,3,3,Dustin Johnson,87,69.72,203694.2,292143
3,4,4,Andrew Loupe,75,69.45,209270.9,301330
4,5,5,Rory McIlroy,69,68.81,151737.0,220529
5,6,6,Tony Finau,95,68.55,245399.6,358010
6,7,7,Jason Day,76,68.31,169448.9,248057
7,8,8,Brooks Koepka,75,68.28,192491.5,281926
8,9,9,Patrick Rodgers,89,68.22,221519.2,324697
9,10,10,Smylie Kaufman,91,68.21,224161.8,328612
10,11,11,Jamie Lovemark,91,68.15,254456.0,373372
11,12,12,Luke List,79,67.93,204631.5,301254
12,13,13,Ryan Palmer,86,67.63,244464.4,361485
13,14,14,Robert Garrigus,69,67.41,171963.9,255100
14,15,15,Jason Kokrak,89,67.38,230119.5,341540
15,16,16,Justin Thomas,99,67.26,239082.7,355484
16,17,17,Sean O'Hair,89,67.22,264190.0,393032
17,18,18,Charley Hoffman,91,67.2,218827.7,325641
18,19,19,Charles Howell III,91,67.18,241637.5,359692
19,20,20,Rhein Gibson,58,67.15,136029.4,202582
20,21,21,Rickie Fowler,80,67.14,202473.5,301554
21,22,22,Justin Rose,65,67.08,150441.4,224267
22,23,23,Patrick Reed,105,67.05,243762.5,363548
23,24,24,Hunter Mahan,61,67.03,146202.6,218102
24,T25,T25,Carlos Ortiz,79,66.98,184718.2,275773
