,Right_Rough_Tendency_RANK THIS WEEK,Right_Rough_Tendency_RANK LAST WEEK,Right_Rough_Tendency_PLAYER NAME,Right_Rough_Tendency_ROUNDS,Right_Rough_Tendency_%,Right_Rough_Tendency_TOTAL RIGHT ROUGH,Right_Rough_Tendency_POSSIBLE FWYS,Right_Rough_Tendency_RELATIVE TO PAR
0,1,1,Billy Hurley III,66,8.88,73,822,+0.14
1,2,2,Jerry Kelly,76,9.36,78,833,E
2,3,3,Spencer Levin,104,9.51,109,1146,+0.16
3,4,4,Colt Knost,90,10.13,99,977,+0.13
4,5,5,Brian Stuard,66,10.24,86,840,+0.15
5,6,6,Webb Simpson,70,10.51,85,809,+0.02
6,7,7,Zach Johnson,90,11.15,114,1022,+0.02
7,8,8,Zac Blair,99,11.16,126,1129,+0.17
8,T9,T9,Billy Horschel,73,11.41,89,780,+0.09
9,T9,T9,David Lingmerth,84,11.41,96,841,+0.11
10,11,11,Jon Curran,99,11.43,134,1172,+0.16
11,12,12,Keegan Bradley,82,11.66,102,875,+0.14
12,13,13,Danny Lee,93,11.89,116,976,+0.08
13,14,14,Rod Pampling,54,12.02,62,516,+0.08
14,15,15,Russell Knox,92,12.21,111,909,+0.17
15,16,16,Chez Reavie,90,12.37,131,1059,+0.06
16,17,17,Jason Bohn,67,12.39,102,823,+0.08
17,18,18,Emiliano Grillo,93,12.4,127,1024,+0.13
18,19,19,Scott Brown,88,12.51,120,959,+0.17
19,20,20,Kevin Kisner,97,12.54,128,1021,+0.09
20,21,21,Lucas Glover,75,12.55,117,932,-0.01
21,22,22,Chad Campbell,90,12.56,138,1099,+0.11
22,23,23,Abraham Ancer,51,12.62,67,531,+0.10
23,24,24,Rory Sabbatini,57,12.8,69,539,+0.13
24,T25,T25,Roberto Castro,97,12.85,158,1230,+0.01
25,T25,T25,Martin Piller,59,12.85,82,638,+0.04
26,27,27,Vaughn Taylor,72,12.9,120,930,+0.01
27,28,28,Ben Crane,80,13.16,119,904,+0.05
28,T29,T29,Jim Furyk,52,13.17,81,615,+0.26
29,T29,T29,Shane Lowry,57,13.17,66,501,+0.06
30,31,31,Chesson Hadley,81,13.25,121,913,+0.21
31,32,32,Kyle Stanley,92,13.27,144,1085,+0.15
32,33,33,Kyle Reifers,115,13.3,178,1338,+0.18
33,34,34,Jim Herman,93,13.31,130,977,+0.12
34,35,35,Padraig Harrington,54,13.32,81,608,-0.04
35,36,36,Alex Cejka,71,13.45,96,714,+0.13
36,37,37,Sergio Garcia,54,13.49,58,430,+0.19
37,38,38,Henrik Norlander,71,13.69,99,723,+0.10
38,39,39,Jason Dufner,105,13.76,151,1097,-0.02
39,40,40,Cameron Tringale,81,13.81,134,970,+0.14
40,41,41,Jason Gore,78,13.83,113,817,+0.08
41,42,42,Paul Casey,77,13.84,110,795,+0.06
42,43,43,K.J. Choi,73,13.86,127,916,+0.18
43,44,44,Sung Kang,89,13.89,140,1008,+0.09
44,45,45,David Hearn,95,13.95,159,1140,+0.10
45,T46,T46,Kevin Na,96,13.96,134,960,+0.05
46,T46,T46,Michael Thompson,71,13.96,103,738,+0.11
47,48,48,D.A. Points,55,13.97,75,537,+0.15
48,49,49,Ryan Moore,86,14.02,127,906,+0.06
49,50,50,Phil Mickelson,75,14.07,114,810,+0.01
50,T51,T51,John Huh,86,14.1,153,1085,+0.07
51,T51,T51,Jason Kokrak,89,14.1,144,1021,+0.12
52,53,53,Matt Kuchar,100,14.11,151,1070,+0.01
53,54,54,Brooks Koepka,75,14.13,118,835,-0.01
54,T55,T55,Robert Streb,87,14.14,128,905,+0.03
55,T55,T55,Boo Weekley,83,14.14,140,990,+0.08
56,57,57,David Toms,62,14.19,107,754,+0.09
57,58,58,Adam Hadwin,93,14.27,173,1212,+0.09
58,59,59,Kevin Streelman,82,14.29,125,875,+0.02
59,60,60,Retief Goosen,55,14.31,94,657,+0.11
60,61,61,Brian Harman,104,14.33,182,1270,+0.09
61,62,62,William McGirt,98,14.36,176,1226,+0.04
62,63,63,Johnson Wagner,86,14.38,152,1057,+0.07
63,64,64,Graeme McDowell,63,14.44,91,630,+0.22
64,65,65,Scott Pinckney,87,14.52,143,985,+0.10
65,66,66,Brendon de Jonge,83,14.54,131,901,+0.11
66,67,67,Louis Oosthuizen,63,14.6,85,582,+0.11
67,68,68,Erik Compton,65,14.62,101,691,+0.02
68,69,69,Carlos Ortiz,79,14.67,120,818,+0.03
69,70,70,Tim Wilkinson,72,14.68,102,695,-0.05
70,71,71,Ken Duke,58,14.69,98,667,+0.13
71,72,72,Hudson Swafford,104,14.71,185,1258,+0.02
72,73,73,Gary Woodland,95,14.72,156,1060,+0.03
73,T74,T74,J.J. Henry,68,14.73,124,842,+0.29
74,T74,T74,Chris Kirk,90,14.73,152,1032,+0.01
75,76,76,Adam Scott,79,14.74,115,780,-0.01
76,77,77,Will MacKenzie,84,14.75,135,915,+0.10
77,78,78,Blayne Barber,84,14.77,152,1029,+0.07
78,79,79,Stewart Cink,61,14.87,101,679,+0.06
79,80,80,Willy Wilcox,67,14.92,118,791,+0.16
80,81,81,James Hahn,85,14.93,143,958,+0.08
81,T82,T82,Andrew Landry,53,14.94,69,462,+0.03
82,T82,T82,Mark Wilson,66,14.94,114,763,+0.11
83,84,84,Steve Stricker,53,14.95,93,622,+0.03
84,85,85,Luke Donald,81,15.01,122,813,-0.02
85,86,86,Russell Henley,76,15.02,144,959,+0.01
86,87,87,Shawn Stefani,91,15.04,160,1064,+0.03
87,88,88,Greg Owen,85,15.11,142,940,+0.09
88,89,89,Ben Martin,92,15.12,169,1118,+0.18
89,90,90,Si Woo Kim,113,15.19,207,1363,+0.14
90,91,91,Chris Stroud,82,15.22,145,953,+0.04
91,92,92,Sam Saunders,69,15.24,107,702,+0.07
92,T93,T93,Thomas Aiken,70,15.29,102,667,+0.17
93,T93,T93,Jordan Spieth,80,15.29,124,811,-0.03
94,T93,T93,Daniel Summerhays,99,15.29,168,1099,+0.13
95,96,96,Geoff Ogilvy,63,15.3,106,693,+0.09
96,97,97,Kevin Chappell,93,15.39,167,1085,+0.07
97,98,98,Michael Kim,100,15.42,182,1180,+0.14
98,99,99,Mark Hubbard,101,15.45,178,1152,+0.06
99,100,100,Rickie Fowler,80,15.53,139,895,-0.07
100,101,101,Anirban Lahiri,72,15.62,104,666,+0.10
101,102,102,Dicky Pride,55,15.79,90,570,+0.07
102,103,103,Fabián Gómez,82,15.9,163,1025,+0.09
103,104,104,Bill Haas,86,15.93,141,885,+0.04
104,105,105,Troy Merritt,77,15.95,144,903,+0.14
105,106,106,Dawie van der Walt,72,15.96,124,777,+0.20
106,107,107,Brandt Snedeker,93,16.04,166,1035,-0.05
107,108,108,Jamie Lovemark,91,16.05,182,1134,-0.01
108,109,109,Graham DeLaet,70,16.06,129,803,+0.09
109,110,110,Robert Allenby,51,16.08,91,566,+0.35
110,111,111,Brendon Todd,66,16.13,121,750,+0.12
111,112,112,Stuart Appleby,71,16.16,148,916,+0.17
112,113,113,Marc Leishman,89,16.17,146,903,+0.03
113,114,114,Hideki Matsuyama,76,16.19,131,809,+0.05
114,115,115,Morgan Hoffmann,71,16.2,132,815,+0.01
115,116,116,Sean O'Hair,89,16.21,188,1160,-0.01
116,117,117,Steve Wheatcroft,85,16.26,158,972,+0.12
117,118,118,Freddie Jacobson,86,16.28,160,983,-0.03
118,119,119,Peter Malnati,85,16.31,169,1036,+0.11
119,120,120,Rory McIlroy,69,16.32,109,668,E
120,121,121,Wes Roach,59,16.33,98,600,+0.07
121,122,122,Vijay Singh,72,16.35,147,899,+0.02
122,123,123,Hunter Mahan,61,16.37,111,678,+0.11
123,124,124,Harold Varner III,92,16.45,180,1094,+0.12
124,125,125,John Senden,88,16.57,180,1086,+0.02
125,126,126,Brett Stegmaier,87,16.63,172,1034,+0.08
126,127,127,Ryan Palmer,86,16.79,181,1078,+0.03
127,128,128,Andres Gonzales,80,16.93,149,880,+0.13
128,129,129,Justin Thomas,99,16.96,175,1032,+0.14
129,130,130,Cameron Smith,73,17.01,108,635,+0.11
130,131,131,Francesco Molinari,64,17.17,136,792,+0.11
131,132,132,Nick Taylor,83,17.21,158,918,+0.16
132,133,133,Brendan Steele,88,17.3,164,948,+0.09
133,134,134,George McNeill,51,17.32,110,635,+0.09
134,135,135,Jhonattan Vegas,97,17.39,193,1110,+0.08
135,T136,T136,Ricky Barnes,97,17.42,192,1102,+0.03
136,T136,T136,Martin Laird,82,17.42,169,970,+0.09
137,138,138,Ángel Cabrera,62,17.49,117,669,+0.10
138,139,139,Patrick Rodgers,89,17.5,172,983,-0.01
139,140,140,Steve Marino,72,17.54,134,764,+0.07
140,141,141,Jonas Blixt,79,17.55,162,923,+0.02
141,142,142,D.H. Lee,61,17.57,113,643,+0.13
142,143,143,Harris English,97,17.61,175,994,-0.05
143,T144,T144,Charl Schwartzel,73,17.71,136,768,E
144,T144,T144,Tyrone Van Aswegen,105,17.71,212,1197,+0.06
145,146,146,Bubba Watson,72,17.72,126,711,E
146,147,147,Kelly Kraft,63,17.84,109,611,+0.16
147,148,148,Derek Ernst,59,17.89,107,598,+0.14
148,149,149,Dustin Johnson,87,18.19,157,863,-0.08
149,150,150,Patton Kizzire,93,18.32,187,1021,+0.08
150,151,151,Robert Garrigus,69,18.34,137,747,+0.02
151,152,152,Whee Kim,82,18.42,166,901,+0.08
152,153,153,Luke Guthrie,57,18.51,114,616,+0.12
153,154,154,Scott Langley,65,18.67,138,739,+0.06
154,155,155,Camilo Villegas,83,18.71,183,978,+0.10
155,156,156,Seung-Yul Noh,85,18.73,177,945,-0.02
156,157,157,Jason Day,76,18.75,141,752,E
157,158,158,Tom Hoge,81,18.85,164,870,+0.02
158,159,159,Aaron Baddeley,93,18.91,191,1010,+0.07
159,T160,T160,Bronson Burgoon,83,18.92,168,888,+0.08
160,T160,T160,Chad Collins,73,18.92,168,888,+0.11
161,162,162,J.B. Holmes,77,18.93,156,824,+0.08
162,163,163,Derek Fathauer,94,18.97,196,1033,+0.06
163,164,164,Ernie Els,66,19.12,147,769,+0.14
164,165,165,Tyler Aldridge,83,19.14,178,930,E
165,166,166,Hiroshi Iwata,85,19.26,176,914,+0.07
166,167,167,Scott Piercy,87,19.37,173,893,+0.12
167,168,168,Justin Rose,65,19.53,133,681,+0.04
168,169,169,Matt Jones,83,19.91,171,859,+0.12
169,170,170,Branden Grace,63,19.97,116,581,+0.01
170,171,171,Rob Oppenheim,67,20.03,137,684,E
171,172,172,Patrick Reed,105,20.09,217,1080,-0.03
172,173,173,Steven Bowditch,71,20.14,149,740,+0.18
173,174,174,Jeff Overton,69,20.17,162,803,+0.10
174,175,175,Luke List,79,20.23,179,885,-0.11
175,176,176,Bryce Molder,80,20.41,190,931,+0.12
176,177,177,Tony Finau,95,20.51,217,1058,+0.08
177,178,178,Charley Hoffman,91,20.6,200,971,+0.06
178,179,179,Daniel Berger,92,20.7,207,1000,+0.03
179,180,180,Rhein Gibson,58,21.12,128,606,+0.05
180,181,181,Andrew Loupe,75,21.36,191,894,+0.10
181,182,182,Jimmy Walker,85,21.58,208,964,-0.02
182,183,183,Scott Stallings,74,21.61,185,856,+0.05
183,184,184,Charles Howell III,91,21.77,234,1075,-0.06
184,185,185,Smylie Kaufman,91,21.86,214,979,+0.06
