,Apex_Height_RANK THIS WEEK,Apex_Height_RANK LAST WEEK,Apex_Height_PLAYER NAME,Apex_Height_ROUNDS,Apex_Height_AVG.,Apex_Height_TOTAL APEX HEIGHT,Apex_Height_TOTAL ATTEMPTS,Apex_Height_HIGHEST APEX POINT,Apex_Height_LOWEST APEX POINT
0,1,1,J.B. Holmes,77,"130' 10""","7982' 1""",61,"169' 2""","80' 0"""
1,2,2,Smylie Kaufman,91,"129' 9""","8302' 3""",64,"165' 10""","92' 1"""
2,3,3,Justin Thomas,99,"126' 11""","28' 11""",79,"174' 10""","83' 11"""
3,4,4,Jamie Lovemark,91,"124' 10""","9739' 0""",78,"159' 5""","71' 11"""
4,5,5,Gary Woodland,95,"124' 1""","8065' 0""",65,"161' 4""","90' 5"""
5,6,6,Keegan Bradley,82,"123' 7""","7786' 1""",63,"154' 10""","90' 1"""
6,7,7,Rhein Gibson,58,"123' 4""","4932' 2""",40,"153' 2""","85' 0"""
7,8,8,Phil Mickelson,75,"121' 7""","6442' 2""",53,"160' 10""","80' 5"""
8,9,9,Rickie Fowler,80,"120' 7""","7232' 7""",60,"183' 3""","65' 3"""
9,10,10,Patrick Rodgers,89,"119' 10""","7432' 2""",62,"184' 6""","55' 4"""
10,11,11,Hudson Swafford,104,"119' 9""","8262' 8""",69,"158' 8""","84' 4"""
11,12,12,Jason Day,76,"119' 8""","6342' 3""",53,"147' 9""","91' 3"""
12,13,13,Billy Horschel,73,"119' 5""","7285' 7""",61,"168' 10""","75' 8"""
13,14,14,Dustin Johnson,87,"118' 6""","7229' 8""",61,"162' 6""","76' 9"""
14,15,15,Andrew Loupe,75,"116' 11""","7832' 2""",67,"161' 10""","64' 2"""
15,16,16,David Hearn,95,"116' 10""","516' 7""",90,"145' 11""","91' 7"""
16,17,17,Brett Stegmaier,87,"116' 9""","9571' 4""",82,"149' 1""","88' 3"""
17,18,18,Luke List,79,"116' 7""","7810' 9""",67,"159' 2""","83' 5"""
18,19,19,Hideki Matsuyama,76,"116' 4""","6513' 5""",56,"145' 5""","64' 1"""
19,20,20,Carlos Ortiz,79,"115' 3""",7374',64,"151' 6""","57' 0"""
20,21,21,Bill Haas,86,"114' 5""","7096' 2""",62,"149' 3""","73' 8"""
21,22,22,Rory McIlroy,69,"114' 1""","5703' 6""",50,"148' 2""","48' 5"""
22,23,23,Retief Goosen,55,"113' 11""","6379' 3""",56,"149' 0""","68' 9"""
23,24,24,James Hahn,85,"113' 6""","7148' 0""",63,"144' 3""","69' 11"""
24,25,25,Danny Lee,93,"113' 1""","8483' 7""",75,"153' 0""","69' 3"""
25,26,26,Padraig Harrington,54,"113' 0""",4746',42,"156' 8""","51' 9"""
26,27,27,Kevin Chappell,93,"112' 11""","7451' 5""",66,"144' 2""","71' 9"""
27,28,28,Hunter Mahan,61,"112' 0""","6274' 3""",56,"143' 11""","61' 1"""
28,29,29,Brooks Koepka,75,"111' 11""","5818' 7""",52,"138' 5""","67' 0"""
29,30,30,Charley Hoffman,91,"111' 10""","8496' 9""",76,"143' 10""","79' 2"""
30,T31,T31,Ryan Palmer,86,"111' 9""","8828' 4""",79,"143' 3""","85' 7"""
31,T31,T31,Bubba Watson,72,"111' 9""","4917' 1""",44,"173' 9""","69' 8"""
32,33,33,Shawn Stefani,91,"111' 7""","9262' 1""",83,"157' 4""","70' 9"""
33,34,34,Justin Rose,65,"111' 1""","4443' 7""",40,"153' 4""","64' 3"""
34,35,35,Scott Piercy,87,"110' 7""","6968' 1""",63,"144' 1""","64' 9"""
35,T36,T36,Morgan Hoffmann,71,"110' 3""","7053' 9""",64,"149' 10""","40' 1"""
36,T36,T36,Hiroshi Iwata,85,"110' 3""","7940' 4""",72,"155' 0""","73' 0"""
37,T38,T38,Tony Finau,95,"110' 2""",7932',72,"151' 7""","77' 2"""
38,T38,T38,Brandt Snedeker,93,"110' 2""","7494' 2""",68,"140' 6""","68' 7"""
39,40,40,Martin Laird,82,"109' 1""","6873' 0""",63,"140' 8""","73' 11"""
40,41,41,Luke Donald,81,"109' 0""","6756' 8""",62,"140' 6""","82' 7"""
41,42,42,Jason Kokrak,89,"108' 11""","7298' 2""",67,"136' 10""","56' 7"""
42,43,43,Andrew Landry,53,"108' 10""","2939' 1""",27,"137' 2""","87' 10"""
43,44,44,Martin Piller,59,"108' 9""","4893' 3""",45,"139' 2""","73' 6"""
44,45,45,Kelly Kraft,63,"108' 8""",4673',43,"144' 1""","61' 3"""
45,46,46,Sean O'Hair,89,"108' 5""",7915',73,"148' 4""","41' 8"""
46,47,47,Thomas Aiken,70,"108' 3""","4980' 1""",46,"157' 9""","40' 1"""
47,48,48,Seung-Yul Noh,85,"108' 2""","8005' 0""",74,"141' 3""","49' 8"""
48,49,49,Scott Pinckney,87,"108' 0""","7238' 2""",67,"141' 2""","70' 7"""
49,50,50,Harold Varner III,92,"107' 11""","8523' 4""",79,"143' 4""","70' 3"""
50,51,51,Chesson Hadley,81,"107' 5""","8059' 1""",75,"148' 4""","46' 8"""
51,52,52,Sung Kang,89,"107' 4""","7298' 9""",68,"178' 6""","20' 5"""
52,53,53,Steve Marino,72,"106' 6""",5217',49,"135' 4""","55' 7"""
53,54,54,Ángel Cabrera,62,"106' 4""","5315' 2""",50,"149' 10""","52' 5"""
54,55,55,Sam Saunders,69,"106' 1""","5411' 3""",51,"155' 2""","74' 8"""
55,56,56,Graham DeLaet,70,"106' 0""","6148' 9""",58,"144' 2""","71' 5"""
56,T57,T57,Jon Curran,99,"105' 11""","9529' 6""",90,"128' 8""","59' 5"""
57,T57,T57,Adam Hadwin,93,"105' 11""","9425' 7""",89,"136' 2""","75' 11"""
58,T57,T57,Jordan Spieth,80,"105' 11""","5933' 8""",56,"133' 1""","86' 8"""
59,60,60,Patrick Reed,105,"105' 10""","8675' 4""",82,"152' 1""","72' 10"""
60,T61,T61,Bronson Burgoon,83,"105' 6""","6225' 1""",59,"146' 11""","78' 3"""
61,T61,T61,Mark Hubbard,101,"105' 6""","9600' 8""",91,"132' 7""","55' 1"""
62,T61,T61,Vaughn Taylor,72,"105' 6""","7597' 9""",72,"130' 9""","66' 6"""
63,64,64,Blayne Barber,84,"105' 1""","7358' 8""",70,"154' 2""","60' 11"""
64,T65,T65,Luke Guthrie,57,"104' 11""","4616' 4""",44,"129' 3""","78' 4"""
