,Distance_from_Edge_of_Fairway_RANK THIS WEEK,Distance_from_Edge_of_Fairway_RANK LAST WEEK,Distance_from_Edge_of_Fairway_PLAYER NAME,Distance_from_Edge_of_Fairway_EVENTS,Distance_from_Edge_of_Fairway_AVG,Distance_from_Edge_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Edge_of_Fairway_TOTAL STROKES
0,1,1,Brian Stuard,20,"17' 3""",4130.333,239
1,2,2,Jim Furyk,14,"18' 5""",3284.0,178
2,3,3,Colt Knost,26,"19' 6""",5038.417,258
3,4,4,Abraham Ancer,19,"19' 10""",3455.667,174
4,5,5,Russell Knox,25,"19' 11""",5506.4169999999995,276
5,6,6,Jerry Kelly,23,"20' 0""",4899.083,245
6,7,7,Jim Herman,29,"20' 2""",6847.0830000000005,339
7,8,8,Ken Duke,20,"20' 5""",5067.0,248
8,9,9,Russell Henley,25,"20' 6""",6885.5830000000005,336
9,10,10,Ryan Moore,23,"20' 7""",5955.3330000000005,289
10,11,11,Boo Weekley,26,"20' 9""",6232.3330000000005,300
11,12,12,Spencer Levin,32,"20' 10""",7505.3330000000005,360
12,13,13,Zac Blair,31,"21' 0""",7017.5,334
13,14,14,Matt Kuchar,26,"21' 1""",7568.75,359
14,15,15,Scott Langley,22,"21' 4""",5595.8330000000005,262
15,16,16,Graeme McDowell,21,"21' 5""",4182.0,195
16,T17,T17,Ben Martin,28,"21' 8""",8821.583,407
17,T17,T17,Chez Reavie,27,"21' 8""",7222.9169999999995,333
18,19,19,Emiliano Grillo,25,"21' 11""",7150.0,326
19,20,20,Thomas Aiken,23,"22' 1""",4157.0,188
20,21,21,Andrew Landry,18,"22' 3""",3178.5,143
21,T22,T22,Bryce Molder,26,"22' 5""",7971.5830000000005,355
22,T22,T22,Webb Simpson,20,"22' 5""",6520.0,291
23,T24,T24,Kyle Reifers,34,"22' 7""",10083.5,447
24,T24,T24,David Toms,19,"22' 7""",5336.0,236
25,26,26,Daniel Summerhays,28,"22' 8""",10126.75,447
26,T27,T27,Brian Harman,31,"22' 11""",10533.833,459
27,T27,T27,William McGirt,28,"22' 11""",9532.083,416
28,T29,T29,Francesco Molinari,18,"23' 0""",6659.0,290
29,T29,T29,Kevin Na,26,"23' 0""",7782.6669999999995,338
30,T31,T31,Roberto Castro,27,"23' 2""",8440.833,365
31,T31,T31,Zach Johnson,24,"23' 2""",7680.6669999999995,331
32,T33,T33,Jason Bohn,21,"23' 3""",6111.1669999999995,263
33,T33,T33,Kevin Chappell,27,"23' 3""",9703.583,417
34,T33,T33,Kevin Streelman,26,"23' 3""",7033.8330000000005,303
35,36,36,Kevin Kisner,27,"23' 6""",8360.583,356
36,37,37,Chad Campbell,28,"23' 7""",8977.25,381
37,38,38,Jason Dufner,28,"23' 8""",9785.833,413
38,39,39,Lucas Glover,23,"23' 9""",7723.0,325
39,40,40,Dicky Pride,21,"23' 11""",4308.167,180
40,41,41,Louis Oosthuizen,17,"24' 0""",5201.5,217
