,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
0,1,1,J.B. Holmes,77,66.34,259506.6,391151
1,2,2,Dustin Johnson,87,66.3,267398.1,403285
2,3,3,Bubba Watson,72,66.15,219423.9,331682
3,4,4,Andrew Loupe,75,65.55,276781.7,422236
4,5,5,Tony Finau,95,65.06,321093.4,493546
5,6,6,Rory McIlroy,69,65.03,202741.1,311743
6,7,7,Luke List,79,64.61,268080.0,414933
7,8,8,Brooks Koepka,75,64.52,248961.6,385872
8,9,9,Jason Day,76,64.36,225913.5,351011
9,10,10,Patrick Rodgers,89,64.34,292105.8,453993
10,11,11,Robert Garrigus,69,64.21,221346.6,344724
11,T12,T12,Smylie Kaufman,91,64.12,294235.1,458860
12,T12,T12,Ryan Palmer,86,64.12,319641.3,498491
13,14,14,Jamie Lovemark,91,64.04,337222.1,526550
14,T15,T15,Jason Kokrak,89,63.95,303018.4,473845
15,T15,T15,Justin Thomas,99,63.95,308207.1,481973
16,17,17,Adam Scott,79,63.9,231094.9,361632
17,18,18,Gary Woodland,95,63.85,316081.6,495025
18,19,19,Sean O'Hair,89,63.79,342016.9,536150
19,20,20,Hudson Swafford,104,63.71,370588.5,581671
20,21,21,Jimmy Walker,85,63.69,287565.4,451478
21,22,22,Rickie Fowler,80,63.57,264793.6,416560
22,23,23,Charles Howell III,91,63.54,317677.8,499995
23,24,24,Rhein Gibson,58,63.53,178157.1,280430
24,25,25,Scott Pinckney,87,63.5,287222.3,452306
25,26,26,Jhonattan Vegas,97,63.41,327061.4,515794
26,27,27,Carlos Ortiz,79,63.34,242380.5,382665
