,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Rory McIlroy,69,-.157
1,2,2,Luke Guthrie,57,-.122
2,3,3,Sergio Garcia,54,-.086
3,4,4,Gary Woodland,95,-.077
4,5,5,Dustin Johnson,87,-.066
5,6,6,Smylie Kaufman,91,-.064
6,7,7,Jason Day,76,-.063
7,8,8,Thomas Aiken,70,-.057
8,T9,T9,Rickie Fowler,80,-.046
9,T9,T9,Luke List,79,-.046
10,11,11,Branden Grace,63,-.038
11,12,12,Jason Kokrak,89,-.035
12,13,13,Tony Finau,95,-.030
13,14,14,Geoff Ogilvy,63,-.025
14,T15,T15,Aaron Baddeley,93,-.023
15,T15,T15,Ben Crane,80,-.023
16,T15,T15,J.J. Henry,68,-.023
17,18,18,Phil Mickelson,75,-.020
18,19,19,Andrew Loupe,75,-.013
19,20,20,Boo Weekley,83,-.010
20,21,21,Brooks Koepka,75,-.008
21,22,22,Andres Gonzales,80,-.007
22,23,23,Jimmy Walker,85,-.006
23,T24,T24,J.B. Holmes,77,E
24,T24,T24,Francesco Molinari,64,E
25,T24,T24,Martin Piller,59,E
26,T24,T24,Webb Simpson,70,E
27,T24,T24,Scott Stallings,74,E
28,T24,T24,David Toms,62,E
29,T24,T24,Johnson Wagner,86,E
30,T24,T24,Bubba Watson,72,E
31,T32,T32,Chad Campbell,90,+.006
32,T32,T32,Kevin Chappell,93,+.006
33,T32,T32,Jason Dufner,105,+.006
34,T32,T32,Brian Harman,104,+.006
35,T32,T32,Jamie Lovemark,91,+.006
36,T32,T32,Jhonattan Vegas,97,+.006
37,38,38,Chris Kirk,90,+.007
38,T39,T39,Graham DeLaet,70,+.009
39,T39,T39,Hunter Mahan,61,+.009
40,T41,T41,Seung-Yul Noh,85,+.013
41,T41,T41,Shawn Stefani,91,+.013
42,T43,T43,Martin Laird,82,+.014
43,T43,T43,Brandt Snedeker,93,+.014
44,45,45,Scott Brown,88,+.015
45,46,46,Stuart Appleby,71,+.017
46,T47,T47,Jordan Spieth,80,+.018
47,T47,T47,Kevin Streelman,82,+.018
48,49,49,Justin Rose,65,+.020
49,T50,T50,K.J. Choi,73,+.031
50,T50,T50,Justin Thomas,99,+.031
51,T52,T52,Sung Kang,89,+.034
52,T52,T52,Louis Oosthuizen,63,+.034
53,T54,T54,Scott Pinckney,87,+.035
54,T54,T54,Daniel Summerhays,99,+.035
55,T56,T56,Charles Howell III,91,+.038
56,T56,T56,D.A. Points,55,+.038
57,58,58,William McGirt,98,+.039
58,59,59,Robert Garrigus,69,+.041
59,T60,T60,Bill Haas,86,+.042
60,T60,T60,Hudson Swafford,104,+.042
61,62,62,Ernie Els,66,+.043
62,T63,T63,Matt Jones,83,+.044
63,T63,T63,Ryan Palmer,86,+.044
64,65,65,Ángel Cabrera,62,+.045
65,T66,T66,Retief Goosen,55,+.047
66,T66,T66,Patton Kizzire,93,+.047
67,68,68,Greg Owen,85,+.049
68,T69,T69,Lucas Glover,75,+.050
69,T69,T69,Steve Wheatcroft,85,+.050
70,71,71,Ken Duke,58,+.052
71,T72,T72,Patrick Rodgers,89,+.053
72,T72,T72,Rory Sabbatini,57,+.053
73,T74,T74,Harris English,97,+.055
74,T74,T74,Brendan Steele,88,+.055
75,T76,T76,Adam Scott,79,+.056
76,T76,T76,Tyrone Van Aswegen,105,+.056
77,78,78,Bryce Molder,80,+.057
78,79,79,Daniel Berger,92,+.059
79,80,80,Hideki Matsuyama,76,+.060
80,81,81,Mark Hubbard,101,+.062
81,82,82,Stewart Cink,61,+.064
82,83,83,Jonas Blixt,79,+.065
83,T84,T84,Steve Stricker,53,+.066
84,T84,T84,Vaughn Taylor,72,+.066
85,T86,T86,Scott Langley,65,+.068
86,T86,T86,Chez Reavie,90,+.068
87,T88,T88,Jason Gore,78,+.069
88,T88,T88,Billy Hurley III,66,+.069
89,T88,T88,Cameron Tringale,81,+.069
90,T91,T91,Billy Horschel,73,+.070
91,T91,T91,Willy Wilcox,67,+.070
92,T93,T93,Jason Bohn,67,+.071
93,T93,T93,Rod Pampling,54,+.071
94,95,95,James Hahn,85,+.072
95,96,96,Ricky Barnes,97,+.073
96,97,97,Chesson Hadley,81,+.074
97,98,98,Scott Piercy,87,+.076
98,T99,T99,Michael Kim,100,+.077
99,T99,T99,Marc Leishman,89,+.077
100,T99,T99,Kyle Reifers,115,+.077
101,T102,T102,Russell Henley,76,+.078
102,T102,T102,Charl Schwartzel,73,+.078
103,T102,T102,John Senden,88,+.078
104,105,105,Kyle Stanley,92,+.079
105,106,106,Zach Johnson,90,+.080
106,T107,T107,Derek Ernst,59,+.082
107,T107,T107,Andrew Landry,53,+.082
108,T107,T107,Sean O'Hair,89,+.082
109,110,110,Paul Casey,77,+.083
110,111,111,Carlos Ortiz,79,+.084
111,T112,T112,Chris Stroud,82,+.085
112,T112,T112,Brendon Todd,66,+.085
113,114,114,Derek Fathauer,94,+.087
114,T115,T115,Graeme McDowell,63,+.088
115,T115,T115,Troy Merritt,77,+.088
116,117,117,Vijay Singh,72,+.089
117,T118,T118,Brendon de Jonge,83,+.090
118,T118,T118,Cameron Smith,73,+.090
119,T118,T118,Robert Streb,87,+.090
120,T121,T121,Chad Collins,73,+.092
121,T121,T121,Hiroshi Iwata,85,+.092
122,T121,T121,Patrick Reed,105,+.092
123,T124,T124,Alex Cejka,71,+.094
124,T124,T124,Dicky Pride,55,+.094
125,126,126,Luke Donald,81,+.097
126,127,127,Matt Kuchar,100,+.098
127,128,128,Tim Wilkinson,72,+.101
128,129,129,Jim Herman,93,+.102
129,130,130,Rhein Gibson,58,+.104
130,131,131,Spencer Levin,104,+.106
131,132,132,Zac Blair,99,+.107
132,133,133,Si Woo Kim,113,+.108
133,134,134,Ben Martin,92,+.109
134,135,135,John Huh,86,+.113
135,136,136,Emiliano Grillo,93,+.114
136,137,137,Harold Varner III,92,+.115
137,138,138,Jon Curran,99,+.116
138,139,139,Padraig Harrington,54,+.118
139,140,140,Bronson Burgoon,83,+.119
140,T141,T141,Will MacKenzie,84,+.122
141,T141,T141,Dawie van der Walt,72,+.122
142,143,143,Kevin Na,96,+.124
143,T144,T144,Ryan Moore,86,+.125
144,T144,T144,Mark Wilson,66,+.125
145,146,146,Colt Knost,90,+.126
146,147,147,Erik Compton,65,+.127
147,148,148,Jeff Overton,69,+.129
148,T149,T149,Robert Allenby,51,+.130
149,T149,T149,Jerry Kelly,76,+.130
150,T151,T151,Morgan Hoffmann,71,+.132
151,T151,T151,Anirban Lahiri,72,+.132
152,T151,T151,Brian Stuard,66,+.132
153,154,154,David Hearn,95,+.138
154,155,155,Charley Hoffman,91,+.140
155,156,156,Kelly Kraft,63,+.141
156,T157,T157,Roberto Castro,97,+.142
157,T157,T157,Sam Saunders,69,+.142
158,T159,T159,Tyler Aldridge,83,+.143
159,T159,T159,D.H. Lee,61,+.143
160,161,161,Brett Stegmaier,87,+.146
161,162,162,Keegan Bradley,82,+.149
162,163,163,Wes Roach,59,+.152
163,164,164,Danny Lee,93,+.157
164,165,165,Rob Oppenheim,67,+.158
165,166,166,Freddie Jacobson,86,+.161
166,T167,T167,Jim Furyk,52,+.164
167,T167,T167,Nick Taylor,83,+.164
168,169,169,Peter Malnati,85,+.165
169,170,170,Camilo Villegas,83,+.166
