,Carry_Efficiency_RANK THIS WEEK,Carry_Efficiency_RANK LAST WEEK,Carry_Efficiency_PLAYER NAME,Carry_Efficiency_ROUNDS,Carry_Efficiency_AVG.,Carry_Efficiency_AVERAGE CARRY DIST. YARDS,Carry_Efficiency_AVERAGE CLUB HEAD SPEED,Carry_Efficiency_TOTAL ATTEMPTS,Carry_Efficiency_HIGHEST CARRY EFFICIENCY
0,1,1,Andrew Landry,53,2.5639999999999996,282.9,110.314,25,2.701
1,2,2,Brett Stegmaier,87,2.54,285.2,112.314,75,2.824
2,3,3,Scott Stallings,74,2.5340000000000003,285.1,112.51700000000001,59,2.842
3,T4,T4,Chesson Hadley,81,2.522,282.7,112.071,70,2.838
4,T4,T4,Sean O'Hair,89,2.522,287.6,114.02600000000001,69,2.825
5,6,6,Justin Thomas,99,2.517,294.1,116.851,70,2.807
6,7,7,David Toms,62,2.516,253.4,100.74700000000001,56,2.7060000000000004
7,8,8,J.B. Holmes,77,2.515,304.8,121.17,54,2.8080000000000003
8,T9,T9,Retief Goosen,55,2.512,280.3,111.619,51,2.778
9,T9,T9,Vaughn Taylor,72,2.512,269.3,107.18799999999999,64,2.727
10,T11,T11,Ernie Els,66,2.508,276.2,110.164,50,2.761
11,T11,T11,Wes Roach,59,2.508,281.1,112.087,32,2.658
12,13,13,Blayne Barber,84,2.504,274.5,109.60799999999999,62,2.68
13,14,14,Martin Piller,59,2.503,274.3,109.584,41,2.685
14,T15,T15,Martin Laird,82,2.502,288.6,115.366,56,2.68
15,T15,T15,Ryan Palmer,86,2.502,287.6,114.963,70,2.7030000000000003
16,T17,T17,Keegan Bradley,82,2.5,291.9,116.76,55,2.8510000000000004
17,T17,T17,Alex Cejka,71,2.5,269.1,107.647,47,2.7969999999999997
18,T17,T17,Carlos Ortiz,79,2.5,290.1,116.059,49,2.7710000000000004
19,T17,T17,D.A. Points,55,2.5,272.0,108.78299999999999,28,2.7769999999999997
20,21,21,Bronson Burgoon,83,2.498,281.4,112.646,49,2.7030000000000003
21,22,22,Derek Fathauer,94,2.494,276.4,110.79700000000001,70,2.7539999999999996
