,Driving_Distance_-_All_Drives_RANK THIS WEEK,Driving_Distance_-_All_Drives_RANK LAST WEEK,Driving_Distance_-_All_Drives_PLAYER NAME,Driving_Distance_-_All_Drives_ROUNDS,Driving_Distance_-_All_Drives_ALL DRIVES,Driving_Distance_-_All_Drives_TOTAL DISTANCE,Driving_Distance_-_All_Drives_# OF DRIVES
0,1,1,J.B. Holmes,77,307.6,259592,844
1,2,2,Dustin Johnson,87,306.7,267424,872
2,3,3,Bubba Watson,72,305.7,219478,718
3,4,4,Rory McIlroy,69,301.8,202815,672
4,5,5,Andrew Loupe,75,300.3,276852,922
5,6,6,Tony Finau,95,298.5,321151,1076
6,7,7,Jason Day,76,297.3,225946,760
7,8,8,Luke List,79,295.3,268152,908
8,9,9,Brooks Koepka,75,295.1,249039,844
9,10,10,Smylie Kaufman,91,294.9,294296,998
10,T11,T11,Jamie Lovemark,91,294.8,337229,1144
11,T11,T11,Adam Scott,79,294.8,231138,784
12,13,13,Patrick Rodgers,89,294.5,292153,992
13,T14,T14,Rickie Fowler,80,294.4,264933,900
14,T14,T14,Gary Woodland,95,294.4,316134,1074
15,16,16,Ryan Palmer,86,293.9,319746,1088
16,17,17,Justin Rose,65,293.8,201539,686
17,18,18,Justin Thomas,99,293.6,308286,1050
18,19,19,Jason Kokrak,89,293.1,303080,1034
19,20,20,Robert Garrigus,69,292.8,221368,756
20,21,21,Jimmy Walker,85,292.3,287647,984
21,22,22,Jhonattan Vegas,97,292.1,327108,1120
22,23,23,Charles Howell III,91,292.0,317734,1088
23,24,24,Hudson Swafford,104,291.9,370662,1270
24,T25,T25,Charley Hoffman,91,291.2,284220,976
25,T25,T25,Scott Piercy,87,291.2,262051,900
26,27,27,Sean O'Hair,89,291.1,342073,1175
27,28,28,Patrick Reed,105,290.8,317537,1092
28,29,29,Jordan Spieth,80,290.6,235993,812
29,30,30,Charl Schwartzel,73,290.5,226602,780
30,31,31,Harold Varner III,92,290.4,320552,1104
31,T32,T32,Phil Mickelson,75,290.3,239771,826
32,T32,T32,Brendan Steele,88,290.3,276337,952
33,34,34,Sergio Garcia,54,290.2,125941,434
34,35,35,Carlos Ortiz,79,290.0,242398,836
35,36,36,Shane Lowry,57,289.9,146104,504
36,37,37,Scott Pinckney,87,289.6,287265,992
37,38,38,Martin Laird,82,289.5,283151,978
38,39,39,Rhein Gibson,58,289.2,178157,616
39,T40,T40,Daniel Berger,92,288.7,289811,1004
40,T40,T40,Hideki Matsuyama,76,288.7,234401,812
41,42,42,Hunter Mahan,61,288.3,196600,682
42,T43,T43,Keegan Bradley,82,288.1,253522,880
43,T43,T43,Harris English,97,288.1,289781,1006
44,45,45,Si Woo Kim,113,287.8,394287,1370
45,46,46,Greg Owen,85,287.7,273870,952
46,47,47,Branden Grace,63,287.6,167958,584
