,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
0,1,1,Thomas Aiken,70,7.95,53,667,-0.06
1,2,2,Jeff Overton,69,8.72,70,803,+0.13
2,3,3,David Toms,62,9.15,69,754,E
3,4,4,Dicky Pride,55,9.3,53,570,+0.09
4,5,5,Bryce Molder,80,9.34,87,931,+0.06
5,6,6,Francesco Molinari,64,9.72,77,792,E
6,7,7,John Huh,86,9.77,106,1085,+0.11
7,8,8,Scott Langley,65,9.88,73,739,+0.07
8,9,9,Zac Blair,99,9.92,112,1129,+0.11
9,10,10,Boo Weekley,83,10.2,101,990,-0.01
10,11,11,Roberto Castro,97,10.33,127,1230,+0.14
11,12,12,Mark Wilson,66,10.48,80,763,+0.13
12,13,13,Colt Knost,90,10.54,103,977,+0.13
13,14,14,K.J. Choi,73,10.59,97,916,+0.03
14,15,15,Andrew Landry,53,10.61,49,462,+0.08
15,16,16,Graeme McDowell,63,10.79,68,630,+0.09
16,17,17,D.H. Lee,61,10.89,70,643,+0.14
17,18,18,Charley Hoffman,91,11.02,107,971,+0.14
18,19,19,Mark Hubbard,101,11.2,129,1152,+0.06
19,20,20,David Hearn,95,11.4,130,1140,+0.14
20,21,21,Whee Kim,82,11.43,103,901,+0.18
21,22,22,Si Woo Kim,113,11.52,157,1363,+0.11
22,23,23,David Lingmerth,84,11.53,97,841,+0.21
23,24,24,Geoff Ogilvy,63,11.54,80,693,-0.03
24,25,25,Kyle Reifers,115,11.58,155,1338,+0.08
25,26,26,Brendan Steele,88,11.6,110,948,+0.05
26,27,27,Kelly Kraft,63,11.62,71,611,+0.14
27,28,28,Kyle Stanley,92,11.71,127,1085,+0.08
28,29,29,Scott Piercy,87,11.76,105,893,+0.08
29,30,30,Jim Furyk,52,11.87,73,615,+0.16
30,31,31,Alex Cejka,71,11.9,85,714,+0.09
31,32,32,Jason Bohn,67,11.91,98,823,+0.07
32,33,33,Scott Stallings,74,11.92,102,856,E
33,34,34,Hiroshi Iwata,85,11.93,109,914,+0.09
34,T35,T35,Russell Henley,76,11.99,115,959,+0.08
35,T35,T35,Russell Knox,92,11.99,109,909,+0.19
36,37,37,George McNeill,51,12.13,77,635,+0.21
37,38,38,Derek Ernst,59,12.21,73,598,+0.08
38,39,39,Steve Wheatcroft,85,12.24,119,972,+0.05
39,40,40,Cameron Smith,73,12.28,78,635,+0.09
40,41,41,Ryan Moore,86,12.36,112,906,+0.13
41,T42,T42,Matt Kuchar,100,12.43,133,1070,+0.10
