,Spin_Rate_RANK THIS WEEK,Spin_Rate_RANK LAST WEEK,Spin_Rate_PLAYER NAME,Spin_Rate_ROUNDS,Spin_Rate_AVG.,Spin_Rate_TOTAL SPIN SPEED,Spin_Rate_TOTAL ATTEMPTS,Spin_Rate_HIGHEST SPIN RATE,Spin_Rate_LOWEST SPIN RATE
0,1,1,Mark Hubbard,101,3179.2,257516,81,3861,1865
1,2,2,Smylie Kaufman,91,2985.1,155225,52,5887,1551
2,3,3,Freddie Jacobson,86,2963.3,177799,60,4091,1576
3,4,4,Patrick Reed,105,2950.3,206519,70,4048,2133
4,5,5,John Senden,88,2920.8,134359,46,3769,2152
5,6,6,Sergio Garcia,54,2910.3,43654,15,3504,2327
6,7,7,Derek Ernst,59,2898.8,107256,37,3721,2093
7,8,8,Kevin Na,96,2886.3,164521,57,3699,1522
8,9,9,Steve Stricker,53,2873.2,117801,41,3901,2083
9,10,10,Roberto Castro,97,2862.6,226142,79,3874,1772
10,11,11,Ben Martin,92,2860.0,211640,74,3938,2046
11,12,12,George McNeill,51,2856.8,105701,37,3710,2054
12,13,13,Brendon de Jonge,83,2840.4,161901,57,4083,1598
13,14,14,Luke Guthrie,57,2822.3,104424,37,3776,1874
14,15,15,Andrew Loupe,75,2818.3,166282,59,4864,1508
15,16,16,Matt Jones,83,2816.3,101387,36,3663,2235
16,17,17,Graeme McDowell,63,2814.2,123826,44,5971,2225
17,18,18,Scott Pinckney,87,2812.0,179971,64,4289,1562
18,19,19,Luke Donald,81,2811.1,148990,53,3768,1532
19,20,20,Bill Haas,86,2797.4,156652,56,3357,1982
20,21,21,Hiroshi Iwata,85,2792.8,181530,65,5557,1427
21,22,22,Robert Streb,87,2777.5,172206,62,3557,2072
22,23,23,William McGirt,98,2777.4,197195,71,3711,1519
23,24,24,Chad Collins,73,2765.6,138281,50,3976,2004
24,25,25,Rob Oppenheim,67,2763.7,116077,42,3869,1777
25,26,26,Jon Curran,99,2763.1,215524,78,3461,1499
26,27,27,Jhonattan Vegas,97,2746.7,173039,63,3855,2056
27,28,28,Troy Merritt,77,2737.0,156009,57,4599,1622
28,29,29,Geoff Ogilvy,63,2728.5,139153,51,3461,1933
29,T30,T30,Colt Knost,90,2722.9,190603,70,3593,1506
30,T30,T30,Steve Marino,72,2722.9,114363,42,4068,1913
