,SG_Tee-to-Green_RANK THIS WEEK,SG_Tee-to-Green_RANK LAST WEEK,SG_Tee-to-Green_PLAYER NAME,SG_Tee-to-Green_ROUNDS,SG_Tee-to-Green_AVERAGE,SG_Tee-to-Green_SG:OTT,SG_Tee-to-Green_SG:APR,SG_Tee-to-Green_SG:ARG,SG_Tee-to-Green_MEASURED ROUNDS
0,1,1,Adam Scott,79,2.062,0.522,1.4909999999999999,0.049,56
1,2,2,Rory McIlroy,69,1.8880000000000001,1.23,0.447,0.21100000000000002,48
2,3,3,Dustin Johnson,87,1.6640000000000001,1.117,0.47700000000000004,0.07,62
3,4,4,Bubba Watson,72,1.359,0.983,0.39299999999999996,-0.017,51
4,5,5,Justin Rose,65,1.325,0.6779999999999999,0.409,0.237,49
5,6,6,Hideki Matsuyama,76,1.315,0.527,0.774,0.015,58
6,7,7,Paul Casey,77,1.26,0.494,0.616,0.15,57
7,8,8,Rickie Fowler,80,1.224,0.529,0.308,0.387,64
8,9,9,Sergio Garcia,54,1.189,0.737,0.48200000000000004,-0.031,31
9,10,10,Charl Schwartzel,73,1.18,0.304,0.652,0.22399999999999998,56
10,11,11,Webb Simpson,70,1.149,0.146,0.728,0.276,58
11,12,12,Gary Woodland,95,1.097,0.547,0.46299999999999997,0.08800000000000001,77
12,13,13,Kevin Chappell,93,1.08,0.321,0.634,0.126,78
13,14,14,Jason Day,76,0.987,0.18600000000000003,0.426,0.375,54
14,15,15,Branden Grace,63,0.96,0.326,0.603,0.032,42
15,16,16,Matt Kuchar,100,0.932,0.364,0.326,0.242,77
16,17,17,Keegan Bradley,82,0.929,0.305,0.419,0.205,63
17,18,18,Ryan Palmer,86,0.868,0.625,0.23399999999999999,0.009000000000000001,78
18,19,19,Francesco Molinari,64,0.8590000000000001,0.192,0.484,0.183,57
19,20,20,Louis Oosthuizen,63,0.857,0.387,0.3,0.17,42
20,T21,T21,Roberto Castro,97,0.8440000000000001,0.217,0.43700000000000006,0.19,88
21,T21,T21,Robert Garrigus,69,0.8440000000000001,0.401,0.685,-0.242,54
22,23,23,Jason Dufner,105,0.84,0.29,0.469,0.081,79
23,24,24,Jason Kokrak,89,0.83,0.603,0.426,-0.19899999999999998,74
24,25,25,Chad Campbell,90,0.821,0.145,0.306,0.37,79
25,26,26,Jordan Spieth,80,0.8109999999999999,0.402,0.145,0.264,58
26,27,27,Phil Mickelson,75,0.799,-0.145,0.726,0.218,59
27,28,28,Lucas Glover,75,0.764,0.565,0.309,-0.11,67
28,29,29,Chez Reavie,90,0.7609999999999999,0.262,0.5670000000000001,-0.068,76
29,30,30,Patrick Reed,105,0.746,0.183,0.158,0.406,78
30,31,31,Billy Horschel,73,0.733,0.35200000000000004,0.493,-0.11199999999999999,56
31,32,32,Daniel Berger,92,0.718,0.32899999999999996,0.49,-0.1,72
32,33,33,Luke List,79,0.7090000000000001,0.42700000000000005,0.278,0.004,65
33,34,34,Bill Haas,86,0.693,0.068,0.272,0.353,64
34,35,35,Chris Kirk,90,0.66,0.086,0.369,0.205,74
35,36,36,Jimmy Walker,85,0.649,-0.141,0.58,0.21,70
36,37,37,Brooks Koepka,75,0.648,0.542,0.139,-0.033,60
37,38,38,J.B. Holmes,77,0.634,0.633,-0.20800000000000002,0.209,60
38,39,39,Alex Cejka,71,0.631,-0.292,0.626,0.297,51
39,40,40,Si Woo Kim,113,0.608,0.336,-0.131,0.40299999999999997,98
40,T41,T41,Charley Hoffman,91,0.598,0.496,0.188,-0.085,70
41,T41,T41,William McGirt,98,0.598,0.37,0.256,-0.028999999999999998,88
42,43,43,Russell Knox,92,0.56,0.13,0.35700000000000004,0.073,65
43,44,44,Robert Streb,87,0.555,0.062,0.27899999999999997,0.213,65
44,45,45,Kevin Na,96,0.5529999999999999,-0.322,0.7879999999999999,0.087,69
45,46,46,Ryan Moore,86,0.544,-0.11199999999999999,0.418,0.237,65
46,47,47,Charles Howell III,91,0.54,0.131,0.08199999999999999,0.327,78
47,48,48,Emiliano Grillo,93,0.534,0.446,0.255,-0.16699999999999998,73
48,T49,T49,Greg Owen,85,0.532,0.28,0.532,-0.28,68
49,T49,T49,Brendan Steele,88,0.532,0.449,0.272,-0.18899999999999997,68
50,51,51,Brandt Snedeker,93,0.518,0.032,0.17600000000000002,0.31,74
51,52,52,Danny Lee,93,0.51,0.20600000000000002,0.287,0.017,70
52,53,53,Justin Thomas,99,0.506,0.028999999999999998,0.494,-0.017,75
53,54,54,Jhonattan Vegas,97,0.505,0.478,0.15,-0.12300000000000001,80
54,55,55,Patrick Rodgers,89,0.504,0.35600000000000004,-0.009000000000000001,0.157,71
55,56,56,Shane Lowry,57,0.491,0.489,-0.13699999999999998,0.139,36
56,T57,T57,Scott Piercy,87,0.478,0.44799999999999995,0.039,-0.009000000000000001,64
57,T57,T57,Harold Varner III,92,0.478,0.529,0.021,-0.07200000000000001,79
58,59,59,Jim Furyk,52,0.46299999999999997,-0.23399999999999999,0.465,0.23199999999999998,44
59,60,60,Stewart Cink,61,0.45899999999999996,-0.049,0.49200000000000005,0.017,49
60,61,61,Vaughn Taylor,72,0.457,-0.113,0.612,-0.042,67
61,62,62,Scott Stallings,74,0.449,0.225,0.201,0.023,62
62,63,63,Kevin Streelman,82,0.447,0.255,0.203,-0.011000000000000001,63
63,64,64,Jerry Kelly,76,0.381,0.013000000000000001,0.42700000000000005,-0.059000000000000004,60
64,65,65,Russell Henley,76,0.366,0.26899999999999996,0.135,-0.038,69
65,66,66,Jamie Lovemark,91,0.321,0.532,-0.49700000000000005,0.28600000000000003,82
66,67,67,David Hearn,95,0.311,-0.303,0.532,0.081,82
67,68,68,Boo Weekley,83,0.307,0.5710000000000001,-0.09,-0.174,71
68,69,69,Graham DeLaet,70,0.28300000000000003,0.268,0.601,-0.586,58
69,70,70,Padraig Harrington,54,0.275,-0.292,0.159,0.408,44
70,71,71,Kyle Stanley,92,0.272,0.076,0.258,-0.062,78
71,72,72,Marc Leishman,89,0.258,0.159,-0.092,0.191,65
72,73,73,Geoff Ogilvy,63,0.249,-0.081,0.17300000000000001,0.157,50
73,74,74,David Toms,62,0.248,-0.39,0.36,0.278,54
74,T75,T75,Luke Donald,81,0.23,-0.665,0.465,0.429,59
75,T75,T75,Spencer Levin,104,0.23,0.043,0.003,0.183,82
76,77,77,Tony Finau,95,0.226,0.455,-0.174,-0.054000000000000006,77
77,78,78,Tim Wilkinson,72,0.225,-0.45899999999999996,0.425,0.26,50
78,79,79,Vijay Singh,72,0.222,0.023,-0.01,0.209,65
79,80,80,Zach Johnson,90,0.214,-0.26899999999999996,0.163,0.321,73
