,Rough_Tendency_RANK THIS WEEK,Rough_Tendency_RANK LAST WEEK,Rough_Tendency_PLAYER NAME,Rough_Tendency_ROUNDS,Rough_Tendency_%,Rough_Tendency_TOTAL ROUGH,Rough_Tendency_POSSIBLE FWYS,Rough_Tendency_RELATIVE TO PAR
0,1,1,Colt Knost,90,20.68,202,977,+1.29
1,2,2,Zac Blair,99,21.08,238,1129,+1.43
2,3,3,Jerry Kelly,76,22.33,186,833,+0.75
3,4,4,David Lingmerth,84,22.95,193,841,+1.61
4,5,5,Roberto Castro,97,23.17,285,1230,+0.70
5,6,6,Thomas Aiken,70,23.24,155,667,+0.90
6,7,7,David Toms,62,23.34,176,754,+0.57
7,8,8,John Huh,86,23.87,259,1085,+0.85
8,9,9,Russell Knox,92,24.2,220,909,+1.82
9,10,10,Jason Bohn,67,24.3,200,823,+0.75
10,11,11,Boo Weekley,83,24.34,241,990,+0.41
11,12,12,K.J. Choi,73,24.45,224,916,+1.16
12,13,13,Zach Johnson,90,24.56,251,1022,+0.52
13,14,14,Brian Stuard,66,24.64,207,840,+1.40
14,15,15,Chez Reavie,90,24.83,263,1059,+0.65
15,16,16,Kyle Reifers,115,24.89,333,1338,+1.32
16,17,17,Kyle Stanley,92,24.98,271,1085,+1.14
17,18,18,Jim Furyk,52,25.04,154,615,+2.14
18,19,19,Dicky Pride,55,25.09,143,570,+0.77
19,20,20,Spencer Levin,104,25.13,288,1146,+1.25
20,21,21,Graeme McDowell,63,25.24,159,630,+1.64
21,22,22,Emiliano Grillo,93,25.29,259,1024,+1.24
22,T23,T23,Alex Cejka,71,25.35,181,714,+1.10
23,T23,T23,David Hearn,95,25.35,289,1140,+1.18
24,T25,T25,Lucas Glover,75,25.43,237,932,+0.21
25,T25,T25,Mark Wilson,66,25.43,194,763,+1.19
26,27,27,Andrew Landry,53,25.54,118,462,+0.51
27,28,28,Rod Pampling,54,25.58,132,516,+0.76
28,29,29,Jon Curran,99,26.11,306,1172,+1.37
29,30,30,Danny Lee,93,26.23,256,976,+1.21
30,31,31,Ryan Moore,86,26.38,239,906,+0.88
31,32,32,Billy Hurley III,66,26.4,217,822,+0.92
32,33,33,Matt Kuchar,100,26.54,284,1070,+0.53
33,34,34,Scott Brown,88,26.59,255,959,+0.86
34,35,35,Mark Hubbard,101,26.65,307,1152,+0.62
35,36,36,Si Woo Kim,113,26.71,364,1363,+1.24
36,37,37,Chad Campbell,90,26.75,294,1099,+0.54
37,38,38,Geoff Ogilvy,63,26.84,186,693,+0.43
38,39,39,Francesco Molinari,64,26.89,213,792,+0.70
39,40,40,Rory Sabbatini,57,26.9,145,539,+0.90
40,T41,T41,Keegan Bradley,82,26.97,236,875,+1.44
41,T41,T41,Henrik Norlander,71,26.97,195,723,+1.59
42,43,43,Sergio Garcia,54,26.98,116,430,+0.52
43,44,44,William McGirt,98,27.0,331,1226,+0.39
44,45,45,Russell Henley,76,27.01,259,959,+0.42
45,46,46,Adam Hadwin,93,27.06,328,1212,+1.43
46,47,47,Kevin Streelman,82,27.09,237,875,+0.21
47,48,48,Shane Lowry,57,27.35,137,501,+1.31
48,49,49,Paul Casey,77,27.42,218,795,+0.73
49,50,50,Kevin Kisner,97,27.62,282,1021,+1.52
50,51,51,Vaughn Taylor,72,27.63,257,930,+0.39
51,52,52,Ben Crane,80,27.65,250,904,+0.12
52,53,53,Brian Harman,104,27.72,352,1270,+0.48
53,54,54,Billy Horschel,73,27.82,217,780,+0.78
54,55,55,Jason Dufner,105,27.89,306,1097,-0.07
55,56,56,Webb Simpson,70,27.94,226,809,+0.09
56,57,57,Hudson Swafford,104,27.98,352,1258,+0.28
57,58,58,Jason Gore,78,28.03,229,817,+0.74
58,59,59,Kevin Na,96,28.23,271,960,+0.89
59,60,60,Abraham Ancer,51,28.25,150,531,+1.47
60,61,61,Jim Herman,93,28.35,277,977,+1.08
61,62,62,D.H. Lee,61,28.46,183,643,+1.37
62,63,63,Steve Wheatcroft,85,28.5,277,972,+0.90
63,64,64,Scott Langley,65,28.55,211,739,+0.62
64,65,65,Padraig Harrington,54,28.62,174,608,+0.46
65,66,66,Michael Kim,100,28.64,338,1180,+1.09
66,67,67,Martin Piller,59,28.68,183,638,+0.16
67,68,68,Rory McIlroy,69,28.74,192,668,-0.68
68,69,69,D.A. Points,55,28.86,155,537,+0.90
