,Distance_from_Center_of_Fairway_RANK THIS WEEK,Distance_from_Center_of_Fairway_RANK LAST WEEK,Distance_from_Center_of_Fairway_PLAYER NAME,Distance_from_Center_of_Fairway_EVENTS,Distance_from_Center_of_Fairway_AVG,Distance_from_Center_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Center_of_Fairway_TOTAL STROKES
0,T1,T1,John Senden,28,"21' 7""",13937.25,645
1,T1,T1,Kevin Streelman,26,"21' 7""",12144.75,562
2,T3,T3,K.J. Choi,22,"21' 8""",13019.0,601
3,T3,T3,Ben Crane,27,"21' 8""",12503.917,577
4,5,5,Jim Herman,29,"21' 10""",13774.0,631
5,T6,T6,Lucas Glover,23,"21' 11""",13019.417,593
6,T6,T6,Whee Kim,27,"21' 11""",12020.167,548
7,T6,T6,Michael Kim,29,"21' 11""",15260.583,696
8,T6,T6,Martin Laird,24,"21' 11""",11788.917,537
9,T6,T6,Adam Scott,20,"21' 11""",9430.583,431
10,T11,T11,Rory Sabbatini,20,"22' 0""",7054.6669999999995,321
11,T11,T11,Harold Varner III,28,"22' 0""",14232.583,646
12,13,13,Retief Goosen,16,"22' 1""",8195.5,371
13,T14,T14,Graham DeLaet,21,"22' 2""",10621.333,480
14,T14,T14,Tom Hoge,26,"22' 2""",10248.75,463
15,T14,T14,Francesco Molinari,18,"22' 2""",10825.0,488
16,T14,T14,Webb Simpson,20,"22' 2""",10873.75,490
17,18,18,Matt Kuchar,26,"22' 3""",15389.333,692
18,T19,T19,Erik Compton,24,"22' 4""",8493.75,381
19,T19,T19,Jason Dufner,28,"22' 4""",14850.25,666
20,T19,T19,Mark Hubbard,30,"22' 4""",16219.667,725
21,T22,T22,Roberto Castro,27,"22' 5""",18773.667,839
22,T22,T22,Kyle Stanley,28,"22' 5""",15625.833,697
23,T24,T24,Chesson Hadley,27,"22' 7""",11555.75,512
24,T24,T24,Chez Reavie,27,"22' 7""",15825.917,702
25,T24,T24,Boo Weekley,26,"22' 7""",14874.167,659
26,T27,T27,Jason Gore,27,"22' 8""",11724.167,517
27,T27,T27,Martin Piller,22,"22' 8""",8513.083,375
28,T27,T27,Scott Stallings,27,"22' 8""",11188.917,493
29,T27,T27,Brett Stegmaier,29,"22' 8""",13798.333,608
30,T31,T31,Jonas Blixt,26,"22' 9""",12168.583,534
31,T31,T31,Jason Bohn,21,"22' 9""",12337.083,543
32,T31,T31,William McGirt,28,"22' 9""",18048.583,794
33,T34,T34,Will MacKenzie,26,"22' 10""",12242.083,537
34,T34,T34,Louis Oosthuizen,17,"22' 10""",7954.8330000000005,348
35,T34,T34,Hudson Swafford,30,"22' 10""",17473.667,764
36,T37,T37,Keegan Bradley,26,"22' 11""",12567.0,548
37,T37,T37,Scott Brown,27,"22' 11""",14014.917,611
38,T37,T37,Brian Harman,31,"22' 11""",18109.0,791
39,T37,T37,Russell Henley,25,"22' 11""",13657.583,595
40,T37,T37,Anirban Lahiri,21,"22' 11""",8203.75,358
41,T42,T42,Charley Hoffman,26,"23' 0""",12225.75,532
42,T42,T42,Colt Knost,26,"23' 0""",16492.083,718
43,T42,T42,Greg Owen,29,"23' 0""",12694.25,551
44,T42,T42,Scott Pinckney,29,"23' 0""",13791.25,599
45,T42,T42,Robert Streb,27,"23' 0""",11923.833,518
46,T42,T42,Tyrone Van Aswegen,31,"23' 0""",14677.417,638
47,T48,T48,Adam Hadwin,27,"23' 1""",17755.75,768
48,T48,T48,Dawie van der Walt,25,"23' 1""",9960.083,431
49,T50,T50,Tyler Aldridge,28,"23' 2""",12147.25,524
50,T50,T50,Daniel Summerhays,28,"23' 2""",14292.833,617
51,T50,T50,Cameron Tringale,25,"23' 2""",13127.75,567
52,T53,T53,David Lingmerth,24,"23' 3""",13093.0,563
53,T53,T53,Steve Marino,24,"23' 3""",10435.083,449
54,T53,T53,Kevin Na,26,"23' 3""",14141.0,609
55,T53,T53,Charl Schwartzel,19,"23' 3""",9984.75,429
56,T57,T57,Stuart Appleby,23,"23' 4""",13172.167,564
57,T57,T57,Blayne Barber,27,"23' 4""",14774.083,633
58,T57,T57,Scott Langley,22,"23' 4""",10862.083,465
59,T57,T57,Phil Mickelson,22,"23' 4""",9981.083,427
60,T57,T57,Kyle Reifers,34,"23' 4""",20482.917,877
61,T57,T57,Sam Saunders,24,"23' 4""",9583.583,410
62,T57,T57,Nick Taylor,26,"23' 4""",12058.25,517
63,T64,T64,Ángel Cabrera,22,"23' 5""",8956.333,383
64,T64,T64,Kevin Chappell,27,"23' 5""",14962.75,640
65,T64,T64,Morgan Hoffmann,25,"23' 5""",10975.333,468
66,T64,T64,Marc Leishman,25,"23' 5""",12352.833,527
67,T68,T68,Chad Campbell,28,"23' 6""",16732.75,711
68,T68,T68,Harris English,27,"23' 6""",12547.167,533
69,T68,T68,Si Woo Kim,34,"23' 6""",19673.167,838
70,T68,T68,Hideki Matsuyama,23,"23' 6""",11462.167,488
71,T72,T72,Robert Allenby,23,"23' 7""",7303.4169999999995,310
72,T72,T72,Sergio Garcia,15,"23' 7""",6361.0,270
73,T72,T72,Billy Hurley III,20,"23' 7""",12623.0,535
74,T72,T72,Ben Martin,28,"23' 7""",16119.25,683
75,T72,T72,Wes Roach,21,"23' 7""",8321.417,353
76,T72,T72,Camilo Villegas,27,"23' 7""",11730.083,498
77,T72,T72,Steve Wheatcroft,26,"23' 7""",14007.5,593
78,T72,T72,Tim Wilkinson,22,"23' 7""",9802.167,415
79,T80,T80,Jerry Kelly,23,"23' 8""",13684.167,578
80,T80,T80,Brandt Snedeker,27,"23' 8""",14390.75,608
81,T82,T82,Emiliano Grillo,25,"23' 9""",15730.0,663
82,T82,T82,Patton Kizzire,27,"23' 9""",13573.75,571
83,T82,T82,George McNeill,23,"23' 9""",9059.417,381
84,T82,T82,Sean O'Hair,27,"23' 9""",16229.167,683
85,T86,T86,Branden Grace,18,"23' 10""",7376.3330000000005,309
86,T86,T86,Luke Guthrie,19,"23' 10""",7912.3330000000005,332
87,T86,T86,David Hearn,29,"23' 10""",17865.833,750
88,T86,T86,Billy Horschel,20,"23' 10""",11492.333,482
89,T86,T86,John Huh,28,"23' 10""",17590.75,738
90,T86,T86,Sung Kang,29,"23' 10""",13897.417,583
91,T86,T86,Jamie Lovemark,27,"23' 10""",15362.917,645
92,T86,T86,Rory McIlroy,18,"23' 10""",9586.5,402
93,T86,T86,Willy Wilcox,23,"23' 10""",10737.917,451
94,T95,T95,Aaron Baddeley,28,"23' 11""",13533.833,566
95,T95,T95,Tony Finau,28,"23' 11""",12776.667,534
96,T95,T95,Ryan Moore,23,"23' 11""",14113.75,590
97,T95,T95,Jeff Overton,25,"23' 11""",10931.333,457
98,T95,T95,Vaughn Taylor,24,"23' 11""",13398.0,561
99,T95,T95,Johnson Wagner,26,"23' 11""",15183.0,634
100,T101,T101,Luke Donald,23,"24' 0""",11145.667,464
101,T101,T101,Spencer Levin,32,"24' 0""",18231.917,760
102,T101,T101,Brendan Steele,25,"24' 0""",13659.917,569
103,T101,T101,Chris Stroud,27,"24' 0""",13558.25,564
104,T101,T101,Michael Thompson,23,"24' 0""",10619.667,442
105,T106,T106,Thomas Aiken,23,"24' 1""",11400.667,474
106,T106,T106,Paul Casey,22,"24' 1""",12060.167,501
107,T106,T106,Freddie Jacobson,26,"24' 1""",13942.583,578
108,T106,T106,Shane Lowry,17,"24' 1""",7461.4169999999995,310
109,T106,T106,Rod Pampling,18,"24' 1""",8062.0830000000005,335
110,T111,T111,Jim Furyk,14,"24' 2""",10306.0,426
111,T111,T111,Chris Kirk,28,"24' 2""",15385.917,637
112,T111,T111,Danny Lee,28,"24' 2""",15408.333,638
113,T111,T111,Ryan Palmer,23,"24' 2""",14951.25,618
114,T111,T111,Jordan Spieth,21,"24' 2""",11219.417,465
115,T116,T116,Daniel Berger,26,"24' 3""",13304.5,549
116,T116,T116,Derek Ernst,20,"24' 3""",8505.333,351
117,T116,T116,Shawn Stefani,29,"24' 3""",15013.667,619
118,T119,T119,Matt Jones,27,"24' 4""",11842.75,487
119,T119,T119,Andrew Loupe,27,"24' 4""",9789.917,403
120,T119,T119,Geoff Ogilvy,22,"24' 4""",10093.25,415
121,T119,T119,Carlos Ortiz,29,"24' 4""",10570.917,434
122,T119,T119,Cameron Smith,24,"24' 4""",8867.25,365
123,T124,T124,Kelly Kraft,20,"24' 5""",9298.5,381
124,T124,T124,Seung-Yul Noh,28,"24' 5""",11452.75,469
125,T124,T124,Patrick Reed,28,"24' 5""",14211.083,583
126,T124,T124,Jhonattan Vegas,27,"24' 5""",15354.167,629
127,T128,T128,Jason Kokrak,28,"24' 6""",14315.75,584
128,T128,T128,Vijay Singh,22,"24' 6""",12212.583,498
129,T128,T128,Jimmy Walker,25,"24' 6""",11165.083,455
130,T131,T131,Zac Blair,31,"24' 7""",19276.5,785
131,T131,T131,Brian Stuard,20,"24' 7""",14417.0,587
132,T131,T131,Gary Woodland,26,"24' 7""",14688.417,598
133,T134,T134,Ricky Barnes,29,"24' 8""",14779.333,600
134,T134,T134,Jon Curran,30,"24' 8""",18430.75,747
135,T134,T134,Ken Duke,20,"24' 8""",10169.917,412
136,T134,T134,Kevin Kisner,27,"24' 8""",16034.667,649
137,T138,T138,Brendon de Jonge,30,"24' 9""",13169.667,533
138,T138,T138,Zach Johnson,24,"24' 9""",16491.667,666
139,T138,T138,Bryce Molder,26,"24' 9""",13822.083,559
140,T138,T138,Rob Oppenheim,21,"24' 9""",9455.0,382
141,T142,T142,Rickie Fowler,23,"24' 10""",12869.25,519
142,T142,T142,Russell Knox,25,"24' 10""",15118.167,609
143,T142,T142,D.H. Lee,22,"24' 10""",9591.667,386
144,T142,T142,Luke List,27,"24' 10""",10786.583,435
145,T142,T142,Hunter Mahan,22,"24' 10""",9229.917,372
146,T147,T147,Chad Collins,26,"24' 11""",12315.083,494
147,T147,T147,Robert Garrigus,21,"24' 11""",10100.0,405
148,T147,T147,Hiroshi Iwata,29,"24' 11""",13139.75,528
149,T147,T147,Henrik Norlander,21,"24' 11""",11247.917,452
150,T151,T151,Abraham Ancer,19,"25' 0""",8631.333,345
151,T151,T151,Bill Haas,24,"25' 0""",13630.917,545
152,T151,T151,Steve Stricker,15,"25' 0""",9621.917,385
153,T154,T154,Andres Gonzales,28,"25' 1""",12233.083,488
154,T154,T154,D.A. Points,18,"25' 1""",8162.1669999999995,325
155,T154,T154,David Toms,19,"25' 1""",12684.833,506
156,T157,T157,Stewart Cink,19,"25' 2""",9376.0,373
157,T157,T157,Andrew Landry,18,"25' 2""",7724.75,307
158,T159,T159,Brendon Todd,29,"25' 3""",10421.667,413
159,T159,T159,Bubba Watson,19,"25' 3""",9086.0,360
160,T161,T161,Charles Howell III,25,"25' 4""",13921.917,549
161,T161,T161,Mark Wilson,21,"25' 4""",12580.75,496
162,T163,T163,Bronson Burgoon,27,"25' 5""",12519.25,492
163,T163,T163,Derek Fathauer,30,"25' 5""",13418.917,528
164,165,165,James Hahn,26,"25' 6""",14705.333,577
165,T166,T166,Ernie Els,21,"25' 7""",10319.083,403
166,T166,T166,J.B. Holmes,22,"25' 7""",10782.5,421
167,T166,T166,Troy Merritt,26,"25' 7""",13379.5,523
168,T166,T166,Patrick Rodgers,28,"25' 7""",14004.083,547
169,T166,T166,Justin Rose,18,"25' 7""",10069.75,394
170,171,171,Jason Day,20,"25' 8""",9535.417,372
171,172,172,Brooks Koepka,21,"25' 10""",11995.5,465
172,T173,T173,Fabián Gómez,26,"26' 0""",16152.333,621
173,T173,T173,Justin Thomas,28,"26' 0""",14259.583,549
174,175,175,Smylie Kaufman,28,"26' 1""",13323.417,511
175,T176,T176,Rhein Gibson,20,"26' 2""",8130.3330000000005,311
176,T176,T176,Dicky Pride,21,"26' 2""",9982.583,381
177,T178,T178,Peter Malnati,32,"26' 4""",16410.417,624
178,T178,T178,Graeme McDowell,21,"26' 4""",11076.417,420
179,T178,T178,Scott Piercy,24,"26' 4""",13831.0,526
180,181,181,Padraig Harrington,16,"26' 8""",9725.083,365
181,182,182,J.J. Henry,24,"26' 9""",13267.417,496
182,183,183,Dustin Johnson,22,"26' 10""",13078.5,487
183,184,184,Steven Bowditch,26,"27' 6""",8740.333,318
184,185,185,Alex Cejka,22,"27' 11""",12966.417,465
