,Smash_Factor_RANK THIS WEEK,Smash_Factor_RANK LAST WEEK,Smash_Factor_PLAYER NAME,Smash_Factor_ROUNDS,Smash_Factor_AVG.,Smash_Factor_TOTAL SMASH FACTOR,Smash_Factor_TOTAL ATTEMPTS,Smash_Factor_HIGHEST VALUE,Smash_Factor_LOWEST VALUE
0,T1,T1,Harris English,97,1.5130000000000001,108.94200000000001,72,1.53,1.484
1,T1,T1,Ryan Palmer,86,1.5130000000000001,121.001,80,1.524,1.476
2,T3,T3,Jason Kokrak,89,1.5119999999999998,104.34100000000001,69,1.5219999999999998,1.4709999999999999
3,T3,T3,Vaughn Taylor,72,1.5119999999999998,108.869,72,1.528,1.4769999999999999
4,5,5,David Toms,62,1.511,96.73,64,1.538,1.444
5,T6,T6,Blayne Barber,84,1.51,111.726,74,1.5290000000000001,1.474
6,T6,T6,Derek Fathauer,94,1.51,128.32299999999998,85,1.525,1.462
7,T8,T8,Andrew Landry,53,1.5090000000000001,42.246,28,1.521,1.484
8,T8,T8,Brian Stuard,66,1.5090000000000001,89.031,59,1.525,1.4469999999999998
9,T8,T8,Jimmy Walker,85,1.5090000000000001,102.588,68,1.524,1.419
10,11,11,Ernie Els,66,1.507,85.87200000000001,57,1.527,1.443
11,T12,T12,Shane Lowry,57,1.506,57.245,38,1.527,1.474
12,T12,T12,Martin Piller,59,1.506,69.26,46,1.527,1.455
13,T12,T12,Nick Taylor,83,1.506,99.414,66,1.5290000000000001,1.443
14,T15,T15,Robert Garrigus,69,1.505,76.73,51,1.525,1.4480000000000002
15,T15,T15,Chesson Hadley,81,1.505,114.399,76,1.525,1.4409999999999998
16,T15,T15,Martin Laird,82,1.505,96.314,64,1.53,1.463
17,T15,T15,Louis Oosthuizen,63,1.505,66.23,44,1.528,1.4580000000000002
18,T15,T15,Adam Scott,79,1.505,78.245,52,1.5230000000000001,1.4580000000000002
19,T15,T15,Jordan Spieth,80,1.505,84.295,56,1.5219999999999998,1.4769999999999999
20,T15,T15,Scott Stallings,74,1.505,99.351,66,1.531,1.469
21,T22,T22,Robert Allenby,51,1.504,61.648999999999994,41,1.53,1.422
22,T22,T22,Ken Duke,58,1.504,90.262,60,1.536,1.4409999999999998
23,T22,T22,Scott Piercy,87,1.504,96.275,64,1.53,1.454
24,T22,T22,D.A. Points,55,1.504,49.619,33,1.528,1.445
25,T22,T22,Brett Stegmaier,87,1.504,126.35600000000001,84,1.528,1.432
26,T22,T22,Camilo Villegas,83,1.504,117.32700000000001,78,1.525,1.432
27,T28,T28,Bronson Burgoon,83,1.5030000000000001,90.162,60,1.527,1.469
28,T28,T28,Ben Crane,80,1.5030000000000001,106.745,71,1.5219999999999998,1.463
29,T28,T28,Luke Guthrie,57,1.5030000000000001,66.148,44,1.527,1.4380000000000002
30,T28,T28,Ryan Moore,86,1.5030000000000001,97.675,65,1.534,1.473
31,T32,T32,Padraig Harrington,54,1.5019999999999998,66.081,44,1.5190000000000001,1.4469999999999998
32,T32,T32,Danny Lee,93,1.5019999999999998,114.163,76,1.531,1.445
33,T34,T34,Charles Howell III,91,1.501,124.56,83,1.524,1.45
34,T34,T34,Tim Wilkinson,72,1.501,66.045,44,1.524,1.456
35,T36,T36,Sung Kang,89,1.5,103.531,69,1.538,1.4409999999999998
36,T36,T36,Chris Kirk,90,1.5,120.023,80,1.53,1.45
37,T36,T36,Marc Leishman,89,1.5,100.52,67,1.524,1.399
38,T36,T36,Jeff Overton,69,1.5,105.009,70,1.528,1.4369999999999998
39,T36,T36,Wes Roach,59,1.5,61.501000000000005,41,1.524,1.426
40,41,41,Branden Grace,63,1.499,58.443000000000005,39,1.5330000000000001,1.435
41,T42,T42,Tyler Aldridge,83,1.4980000000000002,98.86,66,1.525,1.4340000000000002
42,T42,T42,Jim Herman,93,1.4980000000000002,101.836,68,1.521,1.423
43,T42,T42,Phil Mickelson,75,1.4980000000000002,80.892,54,1.525,1.4269999999999998
44,T42,T42,Seung-Yul Noh,85,1.4980000000000002,113.874,76,1.525,1.429
45,T42,T42,Sean O'Hair,89,1.4980000000000002,110.833,74,1.528,1.4280000000000002
46,T42,T42,Kyle Reifers,115,1.4980000000000002,145.329,97,1.528,1.443
47,T42,T42,Steve Stricker,53,1.4980000000000002,67.426,45,1.526,1.4669999999999999
48,T49,T49,Andres Gonzales,80,1.4969999999999999,85.354,57,1.528,1.4340000000000002
49,T49,T49,Will MacKenzie,84,1.4969999999999999,104.76100000000001,70,1.52,1.276
50,T49,T49,Hideki Matsuyama,76,1.4969999999999999,85.348,57,1.5230000000000001,1.449
51,T49,T49,Carlos Ortiz,79,1.4969999999999999,97.316,65,1.527,1.443
52,T49,T49,Justin Thomas,99,1.4969999999999999,119.727,80,1.524,1.459
53,T49,T49,Tyrone Van Aswegen,105,1.4969999999999999,122.759,82,1.5230000000000001,1.442
54,T49,T49,Bubba Watson,72,1.4969999999999999,68.854,46,1.527,1.419
55,T56,T56,Alex Cejka,71,1.496,77.788,52,1.53,1.431
56,T56,T56,Jason Day,76,1.496,83.775,56,1.5219999999999998,1.423
57,T56,T56,John Huh,86,1.496,121.2,81,1.52,1.4240000000000002
58,T56,T56,Matt Kuchar,100,1.496,127.18,85,1.5230000000000001,1.4140000000000001
59,T56,T56,Rory McIlroy,69,1.496,74.797,50,1.5190000000000001,1.419
60,T61,T61,Stuart Appleby,71,1.495,106.162,71,1.531,1.433
61,T61,T61,J.J. Henry,68,1.495,88.19200000000001,59,1.5219999999999998,1.401
62,T61,T61,Johnson Wagner,86,1.495,118.105,79,1.535,1.4469999999999998
63,T64,T64,Billy Horschel,73,1.494,92.639,62,1.525,1.442
64,T64,T64,Zach Johnson,90,1.494,107.587,72,1.52,1.455
65,T64,T64,Kelly Kraft,63,1.494,65.735,44,1.5290000000000001,1.4480000000000002
66,T67,T67,Abraham Ancer,51,1.493,49.262,33,1.521,1.436
67,T67,T67,Chad Campbell,90,1.493,120.929,81,1.5219999999999998,1.43
