,Driving_Pct.__240_All_Drives_RANK THIS WEEK,Driving_Pct.__240_All_Drives_RANK LAST WEEK,Driving_Pct.__240_All_Drives_PLAYER NAME,Driving_Pct.__240_All_Drives_ROUNDS,Driving_Pct.__240_All_Drives_%,Driving_Pct.__240_All_Drives_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct.__240_All_Drives_RELATIVE TO PAR
0,1,1,Steven Bowditch,71,9.07,70,772,+0.400
1,2,2,Thomas Aiken,70,8.98,60,668,+0.100
2,3,3,Sam Saunders,69,8.73,62,710,+0.113
3,4,4,Freddie Jacobson,86,8.57,85,992,+0.024
4,5,5,Luke Donald,81,8.52,70,822,+0.086
5,6,6,K.J. Choi,73,8.48,78,920,+0.154
6,7,7,George McNeill,51,8.28,53,640,+0.170
7,8,8,John Huh,86,8.18,89,1088,+0.180
8,9,9,Ricky Barnes,97,8.05,90,1118,+0.078
9,10,10,Mark Wilson,66,7.96,61,766,+0.213
10,11,11,Hiroshi Iwata,85,7.83,72,920,+0.167
11,12,12,Jon Curran,99,7.67,90,1174,+0.022
12,13,13,Colt Knost,90,7.57,74,978,+0.068
13,14,14,Willy Wilcox,67,7.56,60,794,+0.083
14,15,15,Steve Stricker,53,7.51,47,626,+0.128
15,16,16,Dicky Pride,55,7.49,43,574,-0.093
16,T17,T17,Daniel Berger,92,7.47,75,1004,+0.013
17,T17,T17,Padraig Harrington,54,7.47,46,616,+0.065
18,19,19,Bronson Burgoon,83,7.27,65,894,+0.092
19,20,20,Derek Fathauer,94,7.25,76,1048,+0.145
20,21,21,Aaron Baddeley,93,7.24,75,1036,-0.027
21,22,22,Jerry Kelly,76,7.18,60,836,+0.267
22,23,23,David Toms,62,7.16,54,754,-0.019
23,24,24,Bill Haas,86,7.14,64,896,+0.016
24,T25,T25,Chesson Hadley,81,7.07,65,920,+0.108
25,T25,T25,David Hearn,95,7.07,81,1146,+0.173
26,T25,T25,Camilo Villegas,83,7.07,70,990,+0.329
27,28,28,Jim Herman,93,7.06,69,978,+0.029
28,T29,T29,Mark Hubbard,101,6.99,81,1158,+0.173
29,T29,T29,Tyrone Van Aswegen,105,6.99,85,1216,+0.059
30,31,31,Patton Kizzire,93,6.98,72,1032,+0.236
31,32,32,Louis Oosthuizen,63,6.85,40,584,+0.150
32,33,33,Chad Collins,73,6.82,61,894,+0.361
33,34,34,Jason Gore,78,6.81,56,822,+0.179
34,35,35,Brett Stegmaier,87,6.79,71,1046,+0.099
35,36,36,Chris Kirk,90,6.76,70,1036,+0.071
36,37,37,Retief Goosen,55,6.74,45,668,+0.067
37,38,38,Spencer Levin,104,6.72,77,1146,+0.026
38,T39,T39,Ángel Cabrera,62,6.7,45,672,+0.133
39,T39,T39,Carlos Ortiz,79,6.7,56,836,+0.214
40,41,41,Jim Furyk,52,6.66,41,616,+0.146
41,42,42,Branden Grace,63,6.51,38,584,-0.079
42,43,43,Graeme McDowell,63,6.49,41,632,-0.024
43,44,44,Seung-Yul Noh,85,6.44,62,962,+0.145
44,45,45,Rob Oppenheim,67,6.43,45,700,+0.111
45,46,46,Jonas Blixt,79,6.42,60,934,+0.250
46,T47,T47,Bryce Molder,80,6.41,60,936,+0.067
47,T47,T47,Cameron Smith,73,6.41,41,640,+0.146
48,T49,T49,D.H. Lee,61,6.37,41,644,+0.171
49,T49,T49,Marc Leishman,89,6.37,58,910,+0.052
50,T49,T49,Martin Piller,59,6.37,41,644,+0.146
51,T49,T49,Robert Streb,87,6.37,58,910,+0.155
52,T49,T49,Brendon Todd,66,6.37,48,754,+0.229
53,54,54,Scott Brown,88,6.34,61,962,+0.148
54,55,55,Henrik Norlander,71,6.32,46,728,+0.217
55,56,56,J.J. Henry,68,6.28,53,844,+0.132
56,57,57,Rory Sabbatini,57,6.27,34,542,+0.206
57,T58,T58,Chad Campbell,90,6.25,69,1104,+0.043
58,T58,T58,Troy Merritt,77,6.25,57,912,+0.053
59,T60,T60,Fabián Gómez,82,6.24,64,1026,+0.266
60,T60,T60,Zach Johnson,90,6.24,64,1026,+0.063
61,T60,T60,Shawn Stefani,91,6.24,67,1074,-0.030
62,63,63,Chez Reavie,90,6.23,66,1060,E
63,64,64,Tyler Aldridge,83,6.21,58,934,+0.103
64,T65,T65,Lucas Glover,75,6.2,58,936,+0.069
65,T65,T65,Brendan Steele,88,6.2,59,952,+0.288
66,67,67,Jason Kokrak,89,6.19,64,1034,E
67,T68,T68,Kevin Chappell,93,6.16,67,1088,+0.119
68,T68,T68,Hunter Mahan,61,6.16,42,682,+0.214
69,T70,T70,Kevin Na,96,6.13,59,962,+0.153
70,T70,T70,Sean O'Hair,89,6.13,72,1175,E
71,72,72,Robert Allenby,51,6.12,35,572,+0.286
72,T73,T73,Ryan Moore,86,6.07,55,906,-0.036
73,T73,T73,Kyle Stanley,92,6.07,66,1088,+0.167
