,Right_Rough_Tendency_RTP_Score_RANK THIS WEEK,Right_Rough_Tendency_RTP_Score_RANK LAST WEEK,Right_Rough_Tendency_RTP_Score_PLAYER NAME,Right_Rough_Tendency_RTP_Score_ROUNDS,Right_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Luke List,79,-.106
1,2,2,Dustin Johnson,87,-.076
2,3,3,Rickie Fowler,80,-.072
3,4,4,Charles Howell III,91,-.056
4,5,5,Harris English,97,-.051
5,6,6,Tim Wilkinson,72,-.049
6,7,7,Brandt Snedeker,93,-.048
7,8,8,Padraig Harrington,54,-.037
8,9,9,Jordan Spieth,80,-.032
9,10,10,Freddie Jacobson,86,-.031
10,11,11,Patrick Reed,105,-.028
11,12,12,Luke Donald,81,-.025
12,13,13,Jimmy Walker,85,-.024
13,14,14,Seung-Yul Noh,85,-.023
14,15,15,Jason Dufner,105,-.020
15,T16,T16,Jamie Lovemark,91,-.011
16,T16,T16,Sean O'Hair,89,-.011
17,T18,T18,Lucas Glover,75,-.009
18,T18,T18,Adam Scott,79,-.009
19,20,20,Brooks Koepka,75,-.008
20,21,21,Patrick Rodgers,89,-.006
21,T22,T22,Tyler Aldridge,83,E
22,T22,T22,Jason Day,76,E
23,T22,T22,Jerry Kelly,76,E
24,T22,T22,Rory McIlroy,69,E
25,T22,T22,Rob Oppenheim,67,E
26,T22,T22,Charl Schwartzel,73,E
27,T22,T22,Bubba Watson,72,E
28,29,29,Chris Kirk,90,+.007
29,T30,T30,Morgan Hoffmann,71,+.008
30,T30,T30,Vaughn Taylor,72,+.008
31,T32,T32,Branden Grace,63,+.009
32,T32,T32,Phil Mickelson,75,+.009
33,T34,T34,Roberto Castro,97,+.013
34,T34,T34,Matt Kuchar,100,+.013
35,36,36,Russell Henley,76,+.014
36,37,37,Hudson Swafford,104,+.016
37,38,38,John Senden,88,+.017
38,T39,T39,Tom Hoge,81,+.018
39,T39,T39,Zach Johnson,90,+.018
40,41,41,Jonas Blixt,79,+.019
41,T42,T42,Erik Compton,65,+.020
42,T42,T42,Vijay Singh,72,+.020
