,Distance_to_Apex_RANK THIS WEEK,Distance_to_Apex_RANK LAST WEEK,Distance_to_Apex_PLAYER NAME,Distance_to_Apex_ROUNDS,Distance_to_Apex_AVG.,Distance_to_Apex_TOTAL APEX RANGE,Distance_to_Apex_TOTAL ATTEMPTS,Distance_to_Apex_LONGEST DIST. TO APEX,Distance_to_Apex_SHORTEST DIST. TO APEX
0,1,1,Andrew Loupe,75,206.5,13835.4,67,216.8,187.9
1,2,2,Tony Finau,95,202.6,14590.4,72,221.4,167.9
2,3,3,Dustin Johnson,87,202.2,12331.6,61,217.7,175.2
3,4,4,J.B. Holmes,77,201.8,12308.0,61,214.6,176.2
4,5,5,Bubba Watson,72,200.7,8831.3,44,216.0,181.1
5,6,6,Luke List,79,199.2,13348.7,67,211.6,180.6
6,T7,T7,Jason Kokrak,89,199.1,13339.3,67,217.1,158.9
7,T7,T7,Gary Woodland,95,199.1,12939.3,65,211.5,168.5
8,T9,T9,Rory McIlroy,69,198.4,9919.4,50,212.4,166.7
9,T9,T9,Jhonattan Vegas,97,198.4,13691.7,69,214.6,179.4
10,T11,T11,Jamie Lovemark,91,197.6,15412.6,78,212.0,182.4
11,T11,T11,Hudson Swafford,104,197.6,13635.5,69,211.0,172.5
12,13,13,Smylie Kaufman,91,195.7,12523.7,64,206.6,181.1
13,14,14,Brooks Koepka,75,195.6,10172.1,52,209.1,156.8
14,15,15,Patrick Rodgers,89,194.0,12029.5,62,211.3,156.8
15,T16,T16,Jason Day,76,192.9,10223.9,53,209.8,168.8
16,T16,T16,Sergio Garcia,54,192.9,3857.0,20,203.0,172.4
17,18,18,Charles Howell III,91,192.6,15795.7,82,208.7,150.5
18,19,19,Adam Scott,79,192.5,10007.5,52,206.5,173.5
19,20,20,Keegan Bradley,82,192.1,12103.5,63,203.8,165.1
20,21,21,Martin Laird,82,192.0,12094.7,63,203.4,167.5
21,T22,T22,Scott Pinckney,87,191.9,12860.1,67,210.4,176.3
