,SG_Off-the-Tee_RANK THIS WEEK,SG_Off-the-Tee_RANK LAST WEEK,SG_Off-the-Tee_PLAYER NAME,SG_Off-the-Tee_ROUNDS,SG_Off-the-Tee_AVERAGE,SG_Off-the-Tee_TOTAL SG:OTT,SG_Off-the-Tee_MEASURED ROUNDS
0,1,1,Rory McIlroy,69,1.23,59.044,48
1,2,2,Dustin Johnson,87,1.117,69.252,62
2,3,3,Bubba Watson,72,0.983,50.136,51
3,4,4,Sergio Garcia,54,0.737,22.857,31
4,5,5,Justin Rose,65,0.6779999999999999,33.234,49
5,6,6,J.B. Holmes,77,0.633,38.009,60
6,7,7,Ryan Palmer,86,0.625,48.747,78
7,8,8,Jason Kokrak,89,0.603,44.61600000000001,74
8,9,9,Andrew Landry,53,0.594,19.59,33
9,10,10,Boo Weekley,83,0.5710000000000001,40.565,71
10,11,11,Lucas Glover,75,0.565,37.876999999999995,67
11,12,12,Gary Woodland,95,0.547,42.091,77
12,13,13,Brooks Koepka,75,0.542,32.498000000000005,60
13,14,14,Jamie Lovemark,91,0.532,43.617,82
14,T15,T15,Rickie Fowler,80,0.529,33.873000000000005,64
15,T15,T15,Harold Varner III,92,0.529,41.793,79
16,17,17,Hideki Matsuyama,76,0.527,30.545,58
17,18,18,Adam Scott,79,0.522,29.208000000000002,56
18,19,19,Scott Pinckney,87,0.511,36.251999999999995,71
19,20,20,Charley Hoffman,91,0.496,34.703,70
20,21,21,Paul Casey,77,0.494,28.176,57
21,22,22,Shane Lowry,57,0.489,17.619,36
22,23,23,Jhonattan Vegas,97,0.478,38.239000000000004,80
23,24,24,Jim Herman,93,0.466,32.622,70
24,25,25,Tony Finau,95,0.455,35.0,77
25,26,26,Brendan Steele,88,0.449,30.5,68
26,27,27,Scott Piercy,87,0.44799999999999995,28.675,64
27,28,28,Emiliano Grillo,93,0.446,32.589,73
28,29,29,Thomas Aiken,70,0.43799999999999994,21.039,48
29,30,30,Luke List,79,0.42700000000000005,27.776,65
30,31,31,Hudson Swafford,104,0.40299999999999997,36.66,91
31,32,32,Jordan Spieth,80,0.402,23.298000000000002,58
32,33,33,Robert Garrigus,69,0.401,21.662,54
33,34,34,Louis Oosthuizen,63,0.387,16.262,42
34,35,35,Scott Brown,88,0.37799999999999995,26.101,69
35,36,36,William McGirt,98,0.37,32.599000000000004,88
36,37,37,Matt Kuchar,100,0.364,28.053,77
37,38,38,Patrick Rodgers,89,0.35600000000000004,25.278000000000002,71
38,39,39,Billy Horschel,73,0.35200000000000004,19.7,56
39,40,40,Kevin Kisner,97,0.34700000000000003,25.35,73
40,41,41,Si Woo Kim,113,0.336,32.959,98
41,42,42,Daniel Berger,92,0.32899999999999996,23.653000000000002,72
42,43,43,Branden Grace,63,0.326,13.679,42
43,44,44,Sean O'Hair,89,0.325,27.325,84
44,45,45,Kevin Chappell,93,0.321,25.011,78
45,46,46,Keegan Bradley,82,0.305,19.233,63
