,Carry_Distance_RANK THIS WEEK,Carry_Distance_RANK LAST WEEK,Carry_Distance_PLAYER NAME,Carry_Distance_ROUNDS,Carry_Distance_AVG.,Carry_Distance_TOTAL DIST. TO IMPACT,Carry_Distance_TOTAL ATTEMPTS,Carry_Distance_LONGEST CARRY DISTANCE,Carry_Distance_SHORTEST CARRY DISTANCE
0,1,1,J.B. Holmes,77,304.8,16458.0,54,337.4,274.1
1,2,2,Andrew Loupe,75,303.7,17312.3,57,330.2,270.5
2,3,3,Gary Woodland,95,301.4,18082.6,60,337.9,270.2
3,4,4,Bubba Watson,72,300.6,12325.3,41,342.2,273.1
4,5,5,Dustin Johnson,87,299.7,16780.7,56,349.1,265.4
5,6,6,Tony Finau,95,298.7,19416.6,65,325.3,256.3
6,7,7,Luke List,79,298.0,16687.7,56,335.2,273.8
7,8,8,Jamie Lovemark,91,297.4,19330.8,65,324.1,265.7
8,9,9,Hudson Swafford,104,296.9,18704.5,63,327.4,254.8
9,10,10,Jason Kokrak,89,296.6,18683.5,63,338.9,247.4
10,11,11,Rory McIlroy,69,296.5,13343.0,45,335.4,252.7
11,12,12,Jason Day,76,295.0,13867.1,47,334.2,265.2
12,13,13,Patrick Rodgers,89,294.8,15921.0,54,347.4,252.2
13,14,14,Justin Thomas,99,294.1,20588.5,70,326.4,258.9
14,15,15,Justin Rose,65,292.1,10516.7,36,330.7,262.6
15,16,16,Smylie Kaufman,91,292.0,16641.9,57,312.9,266.0
16,17,17,Keegan Bradley,82,291.9,16056.9,55,332.6,256.0
17,18,18,Jhonattan Vegas,97,290.8,17449.1,60,314.4,269.0
18,19,19,Carlos Ortiz,79,290.1,14215.8,49,322.5,254.0
19,20,20,Adam Scott,79,289.8,12753.4,44,316.6,258.3
20,21,21,Brooks Koepka,75,289.6,14479.9,50,314.9,245.7
21,22,22,Brendan Steele,88,289.2,15036.4,52,314.9,252.2
22,T23,T23,Rickie Fowler,80,288.6,15586.8,54,319.3,232.8
23,T23,T23,Martin Laird,82,288.6,16164.2,56,311.1,257.7
24,25,25,Robert Garrigus,69,287.7,12657.2,44,316.2,264.7
25,T26,T26,Sean O'Hair,89,287.6,19845.3,69,319.7,245.0
26,T26,T26,Ryan Palmer,86,287.6,20132.8,70,312.5,248.8
27,28,28,Harris English,97,287.5,19264.2,67,318.3,252.6
28,29,29,Harold Varner III,92,287.2,20101.5,70,319.3,257.4
29,T30,T30,Ángel Cabrera,62,286.3,11453.7,40,323.6,243.3
30,T30,T30,Charles Howell III,91,286.3,19184.0,67,309.3,241.5
31,32,32,Scott Pinckney,87,285.7,16283.3,57,316.9,258.5
32,33,33,Charley Hoffman,91,285.3,18546.8,65,310.8,246.2
33,34,34,Brett Stegmaier,87,285.2,21393.3,75,315.9,243.7
34,35,35,Scott Stallings,74,285.1,16821.3,59,318.4,251.2
35,36,36,Graham DeLaet,70,285.0,15103.6,53,308.6,265.4
36,37,37,Phil Mickelson,75,284.6,13945.7,49,313.6,256.8
37,38,38,Rhein Gibson,58,284.5,9387.0,33,308.8,247.8
38,39,39,Charl Schwartzel,73,284.4,13367.0,47,314.1,235.9
39,40,40,Daniel Berger,92,284.0,17040.5,60,326.3,241.6
40,41,41,Seung-Yul Noh,85,283.8,18727.7,66,314.4,223.4
41,T42,T42,Kevin Chappell,93,282.9,14426.0,51,320.7,259.9
42,T42,T42,Andrew Landry,53,282.9,7072.4,25,296.1,263.6
43,T44,T44,Derek Ernst,59,282.7,9329.3,33,302.5,262.2
44,T44,T44,Chesson Hadley,81,282.7,19788.2,70,317.3,239.0
45,T46,T46,Sergio Garcia,54,282.6,5086.2,18,301.5,250.4
46,T46,T46,Hunter Mahan,61,282.6,14127.6,50,314.0,255.0
47,48,48,Greg Owen,85,282.5,17231.2,61,314.9,240.2
48,49,49,Shane Lowry,57,282.3,9034.5,32,301.6,238.8
49,50,50,Jimmy Walker,85,281.8,17751.0,63,316.2,242.5
50,51,51,Bronson Burgoon,83,281.4,13790.5,49,301.7,255.2
51,52,52,Aaron Baddeley,93,281.3,16599.3,59,299.3,250.6
52,53,53,Andres Gonzales,80,281.2,13779.5,49,305.2,239.1
53,54,54,Wes Roach,59,281.1,8995.1,32,298.7,236.8
54,T55,T55,Scott Piercy,87,280.8,15725.1,56,309.6,241.4
55,T55,T55,Dawie van der Walt,72,280.8,12917.0,46,305.9,250.5
56,57,57,Patrick Reed,105,280.7,21336.7,76,318.5,238.3
57,58,58,Billy Horschel,73,280.6,14591.9,52,305.7,225.5
58,T59,T59,Retief Goosen,55,280.3,14297.1,51,306.3,243.1
59,T59,T59,Hideki Matsuyama,76,280.3,14014.2,50,304.7,235.3
60,61,61,Morgan Hoffmann,71,279.4,15925.2,57,311.8,240.7
61,62,62,Steve Marino,72,279.2,12566.0,45,306.0,237.8
62,63,63,Shawn Stefani,91,279.1,20376.5,73,305.3,244.3
63,T64,T64,Stewart Cink,61,278.9,11434.9,41,304.7,248.2
64,T64,T64,Padraig Harrington,54,278.9,11155.4,40,314.6,238.0
65,T64,T64,Michael Thompson,71,278.9,13945.7,50,306.1,260.6
66,T67,T67,Bill Haas,86,278.5,14762.3,53,295.3,245.8
67,T67,T67,Marc Leishman,89,278.5,15318.3,55,305.2,237.2
68,T69,T69,James Hahn,85,278.3,15026.2,54,311.3,256.9
69,T69,T69,Matt Jones,83,278.3,11689.0,42,299.2,258.0
70,71,71,Jordan Spieth,80,278.2,14465.9,52,312.5,254.2
71,T72,T72,Paul Casey,77,277.7,11663.5,42,307.3,255.0
72,T72,T72,Si Woo Kim,113,277.7,22773.2,82,312.8,237.9
73,74,74,Patton Kizzire,93,277.5,17202.1,62,308.0,238.7
74,75,75,Nick Taylor,83,277.4,16920.4,61,301.9,256.0
75,76,76,Anirban Lahiri,72,277.3,13862.5,50,300.5,248.9
76,T77,T77,Jason Gore,78,277.1,18010.9,65,299.4,239.1
77,T77,T77,Russell Henley,76,277.1,16627.9,60,305.0,235.8
78,79,79,Lucas Glover,75,277.0,19115.7,69,306.9,241.2
79,80,80,Sung Kang,89,276.8,16328.4,59,312.2,191.0
80,81,81,Robert Streb,87,276.6,16874.3,61,309.1,242.7
81,82,82,Sam Saunders,69,276.4,11885.0,43,296.6,248.8
82,83,83,Derek Fathauer,94,276.3,19344.5,70,304.5,243.8
83,T84,T84,Ernie Els,66,276.2,13812.0,50,305.1,242.8
84,T84,T84,Adam Hadwin,93,276.2,21817.9,79,311.0,235.1
85,86,86,Jonas Blixt,79,275.6,16263.1,59,310.3,238.2
86,87,87,Tom Hoge,81,275.5,14048.0,51,299.3,252.0
87,T88,T88,Steven Bowditch,71,275.1,13481.6,49,307.5,232.9
88,T88,T88,Scott Brown,88,275.1,20358.2,74,308.0,233.5
89,T90,T90,Thomas Aiken,70,275.0,11276.2,41,309.3,235.8
90,T90,T90,Kelly Kraft,63,275.0,9900.1,36,295.9,251.5
91,T90,T90,Tyrone Van Aswegen,105,275.0,19797.8,72,299.2,232.4
92,93,93,Chris Stroud,82,274.9,17595.4,64,309.7,241.0
93,T94,T94,Blayne Barber,84,274.5,17017.9,62,296.0,246.5
94,T94,T94,Hiroshi Iwata,85,274.5,16471.0,60,297.1,218.7
95,T96,T96,Emiliano Grillo,93,274.4,16739.8,61,323.7,240.9
96,T96,T96,Rory Sabbatini,57,274.4,7409.1,27,292.5,236.5
97,98,98,Martin Piller,59,274.3,11245.5,41,295.6,248.8
98,T99,T99,J.J. Henry,68,274.1,13979.5,51,292.1,248.1
99,T99,T99,Brandt Snedeker,93,274.1,16997.0,62,309.6,244.1
100,T99,T99,Camilo Villegas,83,274.1,18640.0,68,300.3,222.1
101,T102,T102,Luke Guthrie,57,273.9,11777.4,43,292.2,250.8
102,T102,T102,Willy Wilcox,67,273.9,13422.6,49,295.8,203.5
103,104,104,Danny Lee,93,273.1,17478.4,64,301.2,238.7
104,T105,T105,Michael Kim,100,272.7,20995.4,77,297.2,241.9
105,T105,T105,John Senden,88,272.7,11725.1,43,300.4,245.7
106,T107,T107,Will MacKenzie,84,272.5,16348.5,60,298.2,244.6
107,T107,T107,Louis Oosthuizen,63,272.5,10901.3,40,306.2,236.9
108,109,109,Henrik Norlander,71,272.3,12796.7,47,296.7,238.7
109,110,110,Ben Martin,92,272.2,20955.9,77,295.5,243.4
110,T111,T111,Tyler Aldridge,83,272.1,16327.4,60,294.4,235.1
111,T111,T111,Geoff Ogilvy,63,272.1,13603.9,50,293.1,240.7
112,113,113,D.A. Points,55,272.0,7615.3,28,303.4,241.5
113,T114,T114,Whee Kim,82,271.9,16585.8,61,303.4,245.4
114,T114,T114,Webb Simpson,70,271.9,12505.4,46,294.1,238.4
