,Total_Distance_Efficiency_RANK THIS WEEK,Total_Distance_Efficiency_RANK LAST WEEK,Total_Distance_Efficiency_PLAYER NAME,Total_Distance_Efficiency_ROUNDS,Total_Distance_Efficiency_AVG.,Total_Distance_Efficiency_AVERAGE DISTANCE (YARDS),Total_Distance_Efficiency_AVERAGE CLUB HEAD SPEED,Total_Distance_Efficiency_TOTAL ATTEMPTS,Total_Distance_Efficiency_HIGHEST DIST. EFFICIENCY
0,1,1,Alex Cejka,71,2.7,290.901,107.756,52,3.1189999999999998
1,2,2,Andrew Landry,53,2.695,297.373,110.354,28,2.944
2,3,3,David Toms,62,2.6839999999999997,270.814,100.906,64,3.116
3,4,4,Brett Stegmaier,87,2.676,300.622,112.338,84,3.282
4,T5,T5,Thomas Aiken,70,2.667,297.452,111.53,46,3.1630000000000003
5,T5,T5,Nick Taylor,83,2.667,297.191,111.435,66,3.1239999999999997
6,7,7,Ernie Els,66,2.665,293.675,110.182,58,2.9730000000000003
7,8,8,Sean O'Hair,89,2.6639999999999997,304.223,114.211,74,3.2510000000000003
8,9,9,Rory Sabbatini,57,2.6630000000000003,295.535,110.98700000000001,29,3.068
9,10,10,Martin Piller,59,2.656,291.14599999999996,109.62299999999999,46,3.1660000000000004
10,11,11,Wes Roach,59,2.655,298.235,112.318,41,3.01
11,12,12,Ryan Moore,86,2.653,284.383,107.184,65,2.971
12,13,13,Blayne Barber,84,2.6519999999999997,290.722,109.64299999999999,74,3.0069999999999997
13,T14,T14,Kevin Kisner,97,2.6510000000000002,292.074,110.18299999999999,74,3.113
14,T14,T14,Tim Wilkinson,72,2.6510000000000002,282.79400000000004,106.691,44,3.049
15,16,16,Jeff Overton,69,2.6489999999999996,287.67900000000003,108.6,70,3.185
16,17,17,Brian Stuard,66,2.648,276.801,104.544,59,3.148
17,18,18,Camilo Villegas,83,2.6460000000000004,291.205,110.06299999999999,78,3.002
18,T19,T19,Jordan Spieth,80,2.642,295.48400000000004,111.85600000000001,56,3.053
19,T19,T19,Vaughn Taylor,72,2.642,282.824,107.066,72,3.16
20,21,21,Ryan Palmer,86,2.641,303.509,114.931,80,2.9539999999999997
21,22,22,Sam Saunders,69,2.633,295.224,112.104,52,3.0810000000000004
22,23,23,Anirban Lahiri,72,2.6319999999999997,295.507,112.26,55,3.195
23,24,24,Scott Stallings,74,2.63,300.36,114.184,65,3.0860000000000003
24,25,25,Will MacKenzie,84,2.627,288.406,109.76700000000001,70,3.2110000000000003
25,26,26,Zach Johnson,90,2.6260000000000003,278.677,106.125,72,2.9810000000000003
26,T27,T27,Chesson Hadley,81,2.625,298.29900000000004,113.617,75,3.154
27,T27,T27,Matt Kuchar,100,2.625,285.827,108.89399999999999,85,3.182
28,T29,T29,Jason Day,76,2.6239999999999997,310.334,118.257,56,3.054
29,T29,T29,Justin Thomas,99,2.6239999999999997,306.518,116.792,80,3.253
30,31,31,Phil Mickelson,75,2.6210000000000004,302.506,115.414,54,3.056
31,T32,T32,Robert Allenby,51,2.6189999999999998,281.05400000000003,107.319,41,2.9939999999999998
32,T32,T32,Martin Laird,82,2.6189999999999998,302.07,115.32600000000001,64,2.949
33,T34,T34,Brian Harman,104,2.6180000000000003,289.232,110.492,91,3.12
34,T34,T34,Morgan Hoffmann,71,2.6180000000000003,294.698,112.553,64,3.2260000000000004
