,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
0,1,1,Andrew Landry,53,3,1,2
1,2,2,Brett Stegmaier,87,6,2,4
2,3,3,David Toms,62,10,7,3
3,4,4,Sean O'Hair,89,12,4,8
4,T5,T5,Alex Cejka,71,18,17,1
5,T5,T5,Ernie Els,66,18,11,7
6,7,7,Wes Roach,59,22,11,11
7,8,8,Martin Piller,59,24,14,10
8,9,9,Blayne Barber,84,26,13,13
9,10,10,Scott Stallings,74,27,3,24
10,11,11,Vaughn Taylor,72,28,9,19
11,12,12,Chesson Hadley,81,31,4,27
12,13,13,Nick Taylor,83,32,27,5
13,14,14,Justin Thomas,99,35,6,29
14,15,15,Ryan Palmer,86,36,15,21
15,16,16,Tim Wilkinson,72,38,24,14
16,17,17,Camilo Villegas,83,43,25,18
17,18,18,Jordan Spieth,80,46,27,19
18,19,19,Martin Laird,82,47,15,32
19,20,20,D.A. Points,55,51,17,34
20,21,21,Jason Day,76,52,23,29
21,22,22,Retief Goosen,55,55,9,46
22,23,23,Will MacKenzie,84,60,35,25
23,T24,T24,Thomas Aiken,70,62,57,5
24,T24,T24,Rory Sabbatini,57,62,53,9
25,26,26,Ryan Moore,86,63,51,12
26,27,27,Zach Johnson,90,69,43,26
27,T28,T28,David Hearn,95,71,30,41
28,T28,T28,Morgan Hoffmann,71,71,37,34
29,T30,T30,Padraig Harrington,54,72,32,40
30,T30,T30,Matt Kuchar,100,72,45,27
31,32,32,Anirban Lahiri,72,74,51,23
32,T33,T33,Robert Allenby,51,77,45,32
33,T33,T33,Jeff Overton,69,77,61,16
34,35,35,Sam Saunders,69,79,57,22
35,T36,T36,Hideki Matsuyama,76,81,30,51
36,T36,T36,Brian Stuard,66,81,64,17
37,38,38,Rory McIlroy,69,82,41,41
38,39,39,J.B. Holmes,77,83,8,75
39,40,40,Keegan Bradley,82,86,17,69
40,41,41,Phil Mickelson,75,87,56,31
41,42,42,Ben Crane,80,92,53,39
42,T43,T43,Kevin Kisner,97,96,82,14
43,T43,T43,Michael Thompson,71,96,29,67
44,45,45,Danny Lee,93,98,37,61
45,46,46,Bubba Watson,72,101,45,56
46,T47,T47,Bronson Burgoon,83,102,21,81
47,T47,T47,Harris English,97,102,35,67
48,T47,T47,Luke Guthrie,57,102,43,59
49,50,50,Jonas Blixt,79,105,32,73
50,T51,T51,Tyler Aldridge,83,106,53,53
51,T51,T51,Scott Piercy,87,106,45,61
52,53,53,Chez Reavie,90,107,73,34
53,54,54,Derek Fathauer,94,109,22,87
54,55,55,Chris Kirk,90,115,72,43
55,56,56,David Lingmerth,84,117,74,43
56,57,57,Justin Rose,65,120,57,63
57,58,58,Johnson Wagner,86,123,80,43
58,59,59,Chris Stroud,82,131,75,56
59,T60,T60,K.J. Choi,73,133,70,63
60,T60,T60,Brian Harman,104,133,99,34
61,T60,T60,Whee Kim,82,133,87,46
62,63,63,J.J. Henry,68,137,62,75
63,64,64,Jimmy Walker,85,140,87,53
64,65,65,Patrick Rodgers,89,142,39,103
65,66,66,Daniel Berger,92,143,94,49
66,67,67,Hunter Mahan,61,144,25,119
67,68,68,Vijay Singh,72,146,96,50
68,69,69,Steve Marino,72,153,83,70
69,70,70,Brandt Snedeker,93,157,79,78
70,T71,T71,Sung Kang,89,158,84,74
71,T71,T71,Michael Kim,100,158,66,92
72,73,73,Jason Bohn,67,161,106,55
73,74,74,Scott Pinckney,87,163,84,79
74,75,75,Shane Lowry,57,164,32,132
75,76,76,Jason Gore,78,165,63,102
76,77,77,Carlos Ortiz,79,168,17,151
77,78,78,Kelly Kraft,63,169,45,124
78,79,79,Brendan Steele,88,172,87,85
79,80,80,John Huh,86,173,84,89
80,81,81,D.H. Lee,61,174,92,82
81,82,82,Jamie Lovemark,91,175,45,130
82,83,83,Scott Langley,65,177,102,75
83,84,84,Dustin Johnson,87,178,80,98
84,85,85,Rickie Fowler,80,179,76,103
85,86,86,Scott Brown,88,182,66,116
86,T87,T87,Troy Merritt,77,184,118,66
87,T87,T87,Seung-Yul Noh,85,184,57,127
88,89,89,James Hahn,85,185,66,119
89,T90,T90,Luke Donald,81,189,91,98
90,T90,T90,Ken Duke,58,189,133,56
91,92,92,Boo Weekley,83,190,152,38
92,T93,T93,Russell Henley,76,191,104,87
93,T93,T93,Jerry Kelly,76,191,132,59
94,T93,T93,William McGirt,98,191,107,84
95,T96,T96,Billy Horschel,73,192,40,152
96,T96,T96,Dicky Pride,55,192,144,48
97,T96,T96,Cameron Tringale,81,192,99,93
98,99,99,Webb Simpson,70,193,98,95
99,100,100,Patton Kizzire,93,194,76,118
100,T101,T101,Shawn Stefani,91,195,92,103
101,T101,T101,Tyrone Van Aswegen,105,195,87,108
102,103,103,Adam Scott,79,196,111,85
103,104,104,Robert Garrigus,69,198,64,134
104,T105,T105,Abraham Ancer,51,200,137,63
105,T105,T105,Ángel Cabrera,62,200,41,159
106,T105,T105,Jason Kokrak,89,200,66,134
107,108,108,Stuart Appleby,71,204,96,108
108,109,109,Mark Wilson,66,206,126,80
109,110,110,Emiliano Grillo,93,218,148,70
110,111,111,Peter Malnati,85,219,119,100
111,112,112,Rhein Gibson,58,221,76,145
112,113,113,Brendon Todd,66,222,129,93
113,T114,T114,Jim Furyk,52,226,175,51
114,T114,T114,Kyle Reifers,115,226,123,103
115,116,116,Kyle Stanley,92,229,113,116
116,117,117,Steve Wheatcroft,85,230,148,82
117,118,118,Erik Compton,65,232,122,110
118,T119,T119,Zac Blair,99,235,140,95
119,T119,T119,Charley Hoffman,91,235,71,164
120,T119,T119,Russell Knox,92,235,165,70
121,T119,T119,Louis Oosthuizen,63,235,135,100
122,123,123,Roberto Castro,97,236,123,113
123,124,124,Andres Gonzales,80,239,107,132
124,T125,T125,Bill Haas,86,242,95,147
125,T125,T125,Si Woo Kim,113,242,114,128
126,127,127,Henrik Norlander,71,243,130,113
127,T128,T128,Brendon de Jonge,83,251,156,95
128,T128,T128,Luke List,79,251,102,149
129,130,130,Fabián Gómez,82,252,142,110
130,131,131,Lucas Glover,75,254,141,113
131,132,132,Smylie Kaufman,91,255,99,156
132,T133,T133,Kevin Chappell,93,260,117,143
133,T133,T133,Adam Hadwin,93,260,114,146
134,T133,T133,Charles Howell III,91,260,119,141
135,136,136,Jason Dufner,105,261,170,91
136,137,137,Spencer Levin,104,262,172,90
137,138,138,Billy Hurley III,66,263,123,140
138,139,139,Graeme McDowell,63,265,158,107
139,140,140,Hiroshi Iwata,85,266,110,156
140,141,141,Harold Varner III,92,270,104,166
141,142,142,Ben Martin,92,271,142,129
142,143,143,Chad Campbell,90,273,154,119
143,T144,T144,Francesco Molinari,64,275,151,124
144,T144,T144,Charl Schwartzel,73,275,137,138
145,146,146,Chad Collins,73,276,154,122
146,147,147,Cameron Smith,73,277,133,144
147,148,148,Bryce Molder,80,279,167,112
148,149,149,Marc Leishman,89,280,114,166
149,150,150,Kevin Streelman,82,281,107,174
150,151,151,Tom Hoge,81,284,146,138
151,T152,T152,Aaron Baddeley,93,285,112,173
152,T152,T152,Willy Wilcox,67,285,161,124
153,154,154,Andrew Loupe,75,290,119,171
154,155,155,Graham DeLaet,70,292,130,162
155,T156,T156,Stewart Cink,61,294,163,131
156,T156,T156,Jim Herman,93,294,171,123
157,158,158,Dawie van der Walt,72,296,146,150
158,T159,T159,Mark Hubbard,101,297,136,161
159,T159,T159,Greg Owen,85,297,156,141
160,161,161,Geoff Ogilvy,63,298,144,154
161,T162,T162,Tony Finau,95,303,127,176
162,T162,T162,Daniel Summerhays,99,303,169,134
163,T164,T164,Colt Knost,90,306,172,134
164,T164,T164,Gary Woodland,95,306,127,179
165,166,166,Jon Curran,99,314,152,162
166,167,167,Hudson Swafford,104,315,137,178
167,168,168,Robert Streb,87,317,159,158
168,169,169,Rod Pampling,54,319,172,147
169,T170,T170,Paul Casey,77,321,167,154
170,T170,T170,Steve Stricker,53,321,161,160
171,172,172,Rob Oppenheim,67,331,150,181
172,T173,T173,Brooks Koepka,75,336,164,172
173,T173,T173,Patrick Reed,105,336,166,170
174,175,175,Branden Grace,63,338,185,153
175,176,176,Jhonattan Vegas,97,341,177,164
176,177,177,Matt Jones,83,342,159,183
177,178,178,Steven Bowditch,71,343,175,168
178,179,179,Kevin Na,96,348,180,168
179,180,180,Freddie Jacobson,86,354,179,175
180,181,181,John Senden,88,358,181,177
181,182,182,Derek Ernst,59,360,178,182
182,183,183,George McNeill,51,361,181,180
183,184,184,Ricky Barnes,97,366,183,183
184,185,185,Sergio Garcia,54,369,184,185
