,Right_Tendency_RANK THIS WEEK,Right_Tendency_RANK LAST WEEK,Right_Tendency_PLAYER NAME,Right_Tendency_EVENTS,Right_Tendency_%,Right_Tendency_NUMBER OF TIMES,Right_Tendency_ATTEMPTS,Right_Tendency_AVG RTP SCORE
0,1,1,Billy Hurley III,20,33.1,92,278,0.87
1,2,2,Webb Simpson,20,36.2,109,301,1.28
2,3,3,Spencer Levin,32,38.3,141,368,1.49
3,4,4,Phil Mickelson,22,40.3,149,370,0.74
4,5,5,Erik Compton,24,41.5,130,313,1.69
5,6,6,Jon Curran,30,42.0,173,412,2.31
6,7,7,Jerry Kelly,23,42.3,104,246,1.25
7,8,8,Keegan Bradley,26,42.4,131,309,1.98
8,9,9,Chesson Hadley,27,42.7,170,398,2.94
9,10,10,Martin Piller,22,42.9,115,268,1.04
10,T11,T11,Billy Horschel,20,43.0,128,298,0.78
11,T11,T11,Brian Stuard,20,43.0,104,242,2.31
12,13,13,Anirban Lahiri,21,43.6,129,296,1.86
13,14,14,Stewart Cink,19,43.9,130,296,1.23
14,15,15,Luke Donald,23,44.0,149,339,0.27
15,16,16,Carlos Ortiz,29,44.1,167,379,1.44
16,T17,T17,Danny Lee,28,44.4,148,333,1.35
17,T17,T17,Michael Thompson,23,44.4,131,295,1.76
18,19,19,Robert Allenby,23,44.7,110,246,4.0
19,20,20,Kevin Kisner,27,45.5,161,354,1.74
20,21,21,Padraig Harrington,16,45.6,103,226,0.58
21,22,22,D.A. Points,18,45.7,95,208,2.0
22,T23,T23,Cameron Tringale,25,45.8,180,393,2.06
23,T23,T23,Johnson Wagner,26,45.8,185,404,1.68
24,T25,T25,Brendon de Jonge,30,46.0,163,354,2.21
25,T25,T25,Jim Herman,29,46.0,159,346,2.64
26,T25,T25,Jason Kokrak,28,46.0,194,422,1.49
27,T25,T25,Rod Pampling,18,46.0,80,174,1.13
28,29,29,Sung Kang,29,46.1,185,401,1.35
29,30,30,Chad Campbell,28,46.2,177,383,1.75
30,31,31,Abraham Ancer,19,46.3,82,177,2.44
31,T32,T32,Will MacKenzie,26,47.0,173,368,1.68
32,T32,T32,Adam Scott,20,47.0,155,330,0.84
33,34,34,Robert Streb,27,47.3,183,387,1.58
34,35,35,Vijay Singh,22,47.4,182,384,1.37
35,36,36,Zach Johnson,24,47.5,162,341,1.98
36,T37,T37,Emiliano Grillo,25,47.8,162,339,2.28
37,T37,T37,Shawn Stefani,29,47.8,204,427,1.23
38,39,39,Gary Woodland,26,47.9,213,445,0.94
39,T40,T40,Retief Goosen,16,48.2,132,274,2.12
40,T40,T40,Sam Saunders,24,48.2,136,282,0.96
41,T40,T40,Hudson Swafford,30,48.2,230,477,0.87
42,43,43,Vaughn Taylor,24,48.3,171,354,1.23
43,44,44,Daniel Summerhays,28,48.5,221,456,1.67
44,45,45,Louis Oosthuizen,17,48.6,107,220,1.68
45,T46,T46,Blayne Barber,27,48.7,185,380,1.73
46,T46,T46,Brooks Koepka,21,48.7,165,339,1.33
47,T46,T46,David Lingmerth,24,48.7,128,263,1.41
48,T46,T46,Rory Sabbatini,20,48.7,97,199,2.68
49,T50,T50,Andres Gonzales,28,48.8,183,375,2.19
50,T50,T50,Hunter Mahan,22,48.8,148,303,1.96
51,T52,T52,Lucas Glover,23,49.1,161,328,0.93
52,T52,T52,Bubba Watson,19,49.1,157,320,0.57
53,T52,T52,Willy Wilcox,23,49.1,159,324,2.7
54,T55,T55,Harris English,27,49.3,224,454,0.04
55,T55,T55,Jason Gore,27,49.3,150,304,1.8
56,T55,T55,Chris Stroud,27,49.3,182,369,0.99
57,T58,T58,Jason Bohn,21,49.4,131,265,1.6
58,T58,T58,Ben Crane,27,49.4,161,326,1.18
59,T58,T58,Kevin Na,26,49.4,166,336,0.9
60,T58,T58,Scott Pinckney,29,49.4,179,362,1.45
61,62,62,Russell Knox,25,49.5,141,285,2.27
62,T63,T63,Luke Guthrie,19,49.6,136,274,1.84
63,T63,T63,J.J. Henry,24,49.6,168,339,3.39
64,65,65,Rickie Fowler,23,49.7,174,350,0.69
65,T66,T66,Steven Bowditch,26,49.8,201,404,3.88
66,T66,T66,Jamie Lovemark,27,49.8,231,464,0.65
67,68,68,Brett Stegmaier,29,49.9,204,409,1.03
68,T69,T69,Sergio Garcia,15,50.0,74,148,2.43
69,T69,T69,Ben Martin,28,50.0,209,418,1.96
70,T69,T69,Henrik Norlander,21,50.0,134,268,1.57
71,T69,T69,Justin Thomas,28,50.0,229,458,1.7
72,T69,T69,Tyrone Van Aswegen,31,50.0,273,546,1.47
73,T69,T69,Dawie van der Walt,25,50.0,165,330,2.06
74,T69,T69,Tim Wilkinson,22,50.0,137,274,1.02
75,76,76,Brandt Snedeker,27,50.1,210,419,0.29
76,77,77,Ángel Cabrera,22,50.2,143,285,1.75
77,T78,T78,Paul Casey,22,50.4,140,278,1.0
78,T78,T78,James Hahn,26,50.4,188,373,1.76
79,T80,T80,Scott Brown,27,50.6,170,336,2.24
80,T80,T80,Brendon Todd,29,50.6,165,326,2.24
81,82,82,Morgan Hoffmann,25,50.8,169,333,1.12
82,T83,T83,Derek Fathauer,30,50.9,254,499,1.3
83,T83,T83,Michael Kim,29,50.9,243,477,1.48
84,85,85,Shane Lowry,17,51.0,101,198,1.29
85,T86,T86,Jason Day,20,51.1,183,358,0.44
86,T86,T86,Freddie Jacobson,26,51.1,205,401,1.12
