,Driving_Pct._300-320_Measured_RANK THIS WEEK,Driving_Pct._300-320_Measured_RANK LAST WEEK,Driving_Pct._300-320_Measured_PLAYER NAME,Driving_Pct._300-320_Measured_ROUNDS,Driving_Pct._300-320_Measured_%,Driving_Pct._300-320_Measured_TOTAL DRIVES FOR 300-320,Driving_Pct._300-320_Measured_TOTAL DRVS - OVERALL,Driving_Pct._300-320_Measured_RELATIVE TO PAR
0,1,1,Brendan Steele,88,50.0,70,140,3.93
1,2,2,Sergio Garcia,54,45.16,28,62,3.79
2,3,3,Rory McIlroy,69,43.75,42,96,3.69
3,4,4,Justin Thomas,99,42.76,65,152,4.0
4,5,5,Brooks Koepka,75,42.5,51,120,4.06
5,6,6,Jamie Lovemark,91,42.35,72,170,3.85
6,7,7,Harris English,97,42.0,63,150,3.87
7,8,8,Luke List,79,41.67,60,144,3.77
8,9,9,Justin Rose,65,40.82,40,98,3.95
9,10,10,Jason Kokrak,89,40.51,64,158,3.91
10,11,11,Charles Howell III,91,40.36,67,166,4.04
11,12,12,Bubba Watson,72,40.2,41,102,3.8
12,13,13,Ryan Palmer,86,39.74,62,156,3.76
13,14,14,Charley Hoffman,91,39.58,57,144,3.88
14,15,15,Paul Casey,77,38.6,44,114,3.64
15,16,16,Branden Grace,63,38.1,32,84,3.97
16,17,17,Greg Owen,85,38.03,54,142,3.76
17,18,18,Scott Pinckney,87,37.82,59,156,3.66
18,19,19,Tony Finau,95,37.65,61,162,3.93
19,T20,T20,Adam Scott,79,37.5,42,112,3.55
20,T20,T20,Hudson Swafford,104,37.5,72,192,3.89
21,22,22,Jhonattan Vegas,97,37.36,65,174,3.89
22,23,23,Keegan Bradley,82,37.31,50,134,3.82
23,24,24,Dustin Johnson,87,37.1,46,124,3.91
24,25,25,Sean O'Hair,89,37.06,63,170,3.75
25,26,26,Gary Woodland,95,37.01,57,154,3.88
26,27,27,Daniel Berger,92,36.81,53,144,4.06
27,28,28,Charl Schwartzel,73,36.61,41,112,3.83
28,29,29,Robert Garrigus,69,36.44,43,118,3.67
29,30,30,Graham DeLaet,70,36.29,45,124,3.96
30,31,31,Andrew Loupe,75,36.23,50,138,3.82
31,32,32,Jason Day,76,36.11,39,108,3.9
32,33,33,Kevin Chappell,93,36.08,57,158,3.67
33,T34,T34,Rickie Fowler,80,35.94,46,128,3.98
34,T34,T34,Scott Piercy,87,35.94,46,128,3.72
35,36,36,Seung-Yul Noh,85,34.87,53,152,3.75
36,37,37,Martin Laird,82,34.46,51,148,3.78
37,38,38,Ángel Cabrera,62,34.0,34,100,4.09
38,39,39,Harold Varner III,92,33.93,57,168,3.33
39,40,40,Jordan Spieth,80,33.62,39,116,3.9
40,41,41,Geoff Ogilvy,63,32.69,34,104,3.76
41,42,42,J.B. Holmes,77,32.5,39,120,3.54
42,43,43,Lucas Glover,75,32.35,44,136,3.77
43,44,44,Brett Stegmaier,87,31.88,51,160,3.86
44,45,45,Stewart Cink,61,31.73,33,104,3.45
45,T46,T46,Rhein Gibson,58,31.63,31,98,3.42
46,T46,T46,Hunter Mahan,61,31.63,31,98,3.77
47,48,48,Jimmy Walker,85,31.43,44,140,3.39
48,49,49,Scott Stallings,74,31.34,42,134,3.86
49,T50,T50,Ernie Els,66,31.25,35,112,3.8
50,T50,T50,Patrick Rodgers,89,31.25,50,160,3.88
51,52,52,Hideki Matsuyama,76,31.03,36,116,3.56
52,53,53,Louis Oosthuizen,63,30.95,26,84,3.88
53,54,54,Marc Leishman,89,30.77,40,130,3.75
54,55,55,Phil Mickelson,75,30.51,36,118,3.86
55,56,56,Andres Gonzales,80,30.28,43,142,3.47
56,57,57,Anirban Lahiri,72,30.21,29,96,3.76
57,T58,T58,Carlos Ortiz,79,30.0,39,130,3.85
58,T58,T58,Wes Roach,59,30.0,30,100,3.83
59,60,60,Matt Jones,83,29.84,37,124,3.7
60,61,61,Robert Streb,87,29.55,39,132,3.51
61,62,62,Patrick Reed,105,29.49,46,156,3.8
62,63,63,Billy Horschel,73,29.46,33,112,3.55
63,64,64,Chesson Hadley,81,28.99,40,138,3.95
64,65,65,Scott Brown,88,28.85,45,156,3.91
65,66,66,Brandt Snedeker,93,28.67,43,150,3.77
66,67,67,Smylie Kaufman,91,28.29,43,152,3.86
67,68,68,Russell Henley,76,27.86,39,140,3.72
68,69,69,Shane Lowry,57,27.78,20,72,3.7
69,70,70,Padraig Harrington,54,27.27,24,88,3.63
70,71,71,Jason Dufner,105,26.79,45,168,3.44
71,72,72,Sam Saunders,69,26.67,32,120,3.78
72,73,73,Morgan Hoffmann,71,26.61,33,124,3.48
73,74,74,Nick Taylor,83,26.43,37,140,3.73
74,75,75,Sung Kang,89,26.28,41,156,3.51
75,76,76,Steve Marino,72,25.78,33,128,3.45
76,77,77,Si Woo Kim,113,25.73,53,206,3.62
77,78,78,Shawn Stefani,91,25.6,43,168,3.56
78,79,79,Bill Haas,86,25.38,33,130,3.52
79,80,80,James Hahn,85,25.36,35,138,3.51
80,81,81,Emiliano Grillo,93,25.34,37,146,3.3
81,T82,T82,Derek Ernst,59,25.0,26,104,3.35
82,T82,T82,Andrew Landry,53,25.0,20,80,3.75
83,84,84,Ryan Moore,86,24.62,32,130,3.75
84,85,85,Steven Bowditch,71,24.55,27,110,3.33
85,86,86,Tom Hoge,81,24.29,34,140,3.76
86,87,87,Jason Gore,78,24.22,31,128,3.29
87,88,88,Kevin Streelman,82,23.53,32,136,3.72
88,89,89,Michael Thompson,71,23.39,29,124,3.07
89,90,90,Chad Campbell,90,23.17,38,164,3.32
90,91,91,Willy Wilcox,67,22.95,28,122,3.64
91,92,92,Thomas Aiken,70,22.73,25,110,3.48
92,93,93,Bronson Burgoon,83,22.6,33,146,3.7
93,94,94,Martin Piller,59,22.55,23,102,3.74
94,95,95,Rory Sabbatini,57,22.22,20,90,3.35
95,96,96,Jim Herman,93,22.0,33,150,3.24
96,97,97,Hiroshi Iwata,85,21.92,32,146,3.72
97,98,98,Brian Harman,104,21.88,42,192,3.4
98,99,99,Aaron Baddeley,93,21.69,36,166,3.69
99,100,100,Dawie van der Walt,72,21.54,28,130,3.18
100,101,101,Jonas Blixt,79,21.43,30,140,3.3
101,102,102,Whee Kim,82,21.23,31,146,3.77
102,103,103,John Senden,88,21.15,33,156,3.48
103,104,104,William McGirt,98,21.11,38,180,3.42
104,105,105,Chez Reavie,90,20.99,34,162,3.18
105,106,106,Patton Kizzire,93,20.89,33,158,3.33
106,107,107,J.J. Henry,68,20.83,25,120,3.24
107,108,108,Ricky Barnes,97,20.79,37,178,3.65
108,109,109,Blayne Barber,84,20.78,32,154,3.19
109,110,110,Kevin Kisner,97,20.27,30,148,3.77
110,111,111,Retief Goosen,55,20.19,21,104,3.81
111,T112,T112,Cameron Smith,73,20.0,20,100,3.0
112,T112,T112,Boo Weekley,83,20.0,32,160,3.34
113,114,114,Tyrone Van Aswegen,105,19.79,38,192,3.13
114,115,115,Henrik Norlander,71,19.67,24,122,3.08
115,116,116,Erik Compton,65,19.49,23,118,3.91
116,117,117,Steve Wheatcroft,85,19.48,30,154,2.8
117,118,118,Kyle Stanley,92,18.67,31,166,3.45
118,119,119,Derek Fathauer,94,18.45,31,168,3.55
119,120,120,Camilo Villegas,83,18.42,28,152,3.57
120,121,121,Russell Knox,92,18.12,25,138,2.8
121,122,122,Webb Simpson,70,18.1,21,116,3.05
122,123,123,Luke Guthrie,57,18.0,18,100,3.33
123,124,124,Fabián Gómez,82,17.57,26,148,2.62
124,125,125,Francesco Molinari,64,17.54,20,114,3.35
125,126,126,Vijay Singh,72,17.42,23,132,3.65
126,127,127,Adam Hadwin,93,16.85,30,178,3.47
127,T128,T128,Chris Kirk,90,16.67,25,150,3.0
128,T128,T128,George McNeill,51,16.67,16,96,3.13
129,T130,T130,Matt Kuchar,100,16.46,27,164,3.07
130,T130,T130,Daniel Summerhays,99,16.46,26,158,3.12
131,132,132,Danny Lee,93,16.43,23,140,2.74
132,133,133,Scott Langley,65,16.38,19,116,3.16
133,134,134,Rod Pampling,54,16.28,14,86,3.43
134,135,135,Michael Kim,100,15.76,29,184,3.14
135,136,136,Freddie Jacobson,86,15.63,25,160,3.08
136,137,137,Brendon de Jonge,83,15.54,23,148,3.52
137,138,138,Vaughn Taylor,72,15.44,21,136,3.71
138,139,139,Will MacKenzie,84,15.33,23,150,3.09
139,140,140,Chris Stroud,82,15.13,23,152,3.26
140,141,141,Johnson Wagner,86,15.06,25,166,2.96
141,142,142,Cameron Tringale,81,15.0,21,140,2.86
142,143,143,Troy Merritt,77,14.62,19,130,3.0
143,144,144,Luke Donald,81,14.29,18,126,3.5
144,145,145,D.A. Points,55,14.13,13,92,2.92
145,146,146,David Lingmerth,84,13.93,17,122,3.35
146,147,147,Ben Martin,92,13.75,22,160,2.86
147,148,148,Jeff Overton,69,13.49,17,126,2.29
148,149,149,Kyle Reifers,115,13.11,27,206,3.11
149,150,150,Jim Furyk,52,12.5,11,88,2.36
150,151,151,John Huh,86,12.35,20,162,2.5
151,152,152,Spencer Levin,104,12.07,21,174,2.67
152,153,153,Peter Malnati,85,11.73,19,162,2.79
153,154,154,Tyler Aldridge,83,11.49,17,148,2.71
154,155,155,Kelly Kraft,63,11.32,12,106,2.83
155,156,156,Roberto Castro,97,11.29,21,186,2.86
156,157,157,David Hearn,95,10.92,19,174,3.0
157,T158,T158,Stuart Appleby,71,10.87,15,138,3.07
158,T158,T158,Kevin Na,96,10.87,15,138,2.33
159,160,160,Abraham Ancer,51,10.47,9,86,2.44
160,161,161,Bryce Molder,80,10.27,15,146,3.33
161,162,162,Chad Collins,73,10.14,14,138,2.79
162,163,163,Graeme McDowell,63,10.0,10,100,2.2
163,164,164,Dicky Pride,55,9.78,9,92,1.67
164,165,165,Ken Duke,58,9.62,10,104,2.2
165,166,166,Brian Stuard,66,9.52,12,126,2.17
166,T167,T167,Brendon Todd,66,9.32,11,118,3.09
167,T167,T167,Tim Wilkinson,72,9.32,11,118,2.64
