,Driving_Accuracy_Percentage_RANK THIS WEEK,Driving_Accuracy_Percentage_RANK LAST WEEK,Driving_Accuracy_Percentage_PLAYER NAME,Driving_Accuracy_Percentage_ROUNDS,Driving_Accuracy_Percentage_%,Driving_Accuracy_Percentage_FAIRWAYS HIT,Driving_Accuracy_Percentage_POSSIBLE FAIRWAYS
0,1,1,Colt Knost,90,73.36,881,1201
1,2,2,Thomas Aiken,70,72.36,665,919
2,3,3,Jerry Kelly,76,71.2,754,1059
3,4,4,Brian Stuard,66,71.07,656,923
4,5,5,Zac Blair,99,69.86,927,1327
5,6,6,Roberto Castro,97,69.37,940,1355
6,7,7,Jim Furyk,52,69.09,503,728
7,8,8,Russell Knox,92,68.51,853,1245
8,9,9,John Huh,86,68.3,810,1186
9,10,10,Chez Reavie,90,68.22,818,1199
10,11,11,David Toms,62,67.98,588,865
11,12,12,Spencer Levin,104,67.79,947,1397
12,13,13,Graeme McDowell,63,67.7,570,842
13,14,14,Jason Bohn,67,67.56,633,937
14,15,15,David Lingmerth,84,67.36,747,1109
15,16,16,Boo Weekley,83,66.98,777,1160
16,17,17,Emiliano Grillo,93,66.93,846,1264
17,18,18,Ryan Moore,86,66.52,751,1129
18,19,19,Mark Wilson,66,66.2,572,864
19,20,20,K.J. Choi,73,66.18,673,1017
20,21,21,David Hearn,95,65.94,875,1327
21,22,22,Alex Cejka,71,65.89,620,941
22,23,23,Dicky Pride,55,65.86,488,741
23,24,24,Matt Kuchar,100,65.67,880,1340
24,25,25,Jim Herman,93,65.59,852,1299
25,26,26,Andrew Landry,53,65.55,449,685
26,27,27,Abraham Ancer,51,65.42,439,671
27,28,28,Billy Hurley III,66,65.36,602,921
28,29,29,Kevin Na,96,65.3,847,1297
29,30,30,Kyle Reifers,115,65.29,1012,1550
30,31,31,William McGirt,98,65.28,895,1371
31,32,32,Zach Johnson,90,65.23,788,1208
32,33,33,Kevin Kisner,97,64.92,857,1320
33,34,34,Mark Hubbard,101,64.82,877,1353
34,35,35,Scott Langley,65,64.81,571,881
35,36,36,Paul Casey,77,64.67,670,1036
36,37,37,Keegan Bradley,82,64.57,740,1146
37,38,38,Kyle Stanley,92,64.54,801,1241
38,39,39,Chad Campbell,90,64.39,810,1258
39,T40,T40,Lucas Glover,75,64.37,674,1047
40,T40,T40,Kevin Streelman,82,64.37,737,1145
41,42,42,Jon Curran,99,64.35,890,1383
42,43,43,Ken Duke,58,64.18,482,751
43,44,44,Danny Lee,93,64.05,807,1260
44,45,45,Rod Pampling,54,63.95,447,699
45,46,46,Francesco Molinari,64,63.76,570,894
46,47,47,Scott Brown,88,63.65,781,1227
47,48,48,Jason Gore,78,63.63,656,1031
48,49,49,Adam Hadwin,93,63.62,827,1300
49,50,50,Whee Kim,82,63.48,690,1087
50,51,51,Brian Harman,104,63.41,922,1454
51,52,52,Henrik Norlander,71,63.39,594,937
52,53,53,Steve Stricker,53,63.23,466,737
53,54,54,Ben Crane,80,63.18,671,1062
54,55,55,Russell Henley,76,63.15,670,1061
55,56,56,Scott Pinckney,87,63.05,749,1188
56,57,57,Si Woo Kim,113,62.84,957,1523
57,58,58,Jason Dufner,105,62.83,894,1423
58,59,59,Bryce Molder,80,62.53,681,1089
59,60,60,Blayne Barber,84,62.37,696,1116
60,61,61,Tim Wilkinson,72,62.36,593,951
61,62,62,Bill Haas,86,62.34,715,1147
62,63,63,Stuart Appleby,71,62.24,600,964
63,64,64,Rory Sabbatini,57,62.18,467,751
64,65,65,Webb Simpson,70,62.17,608,978
65,66,66,Ben Martin,92,62.14,765,1231
66,67,67,Hideki Matsuyama,76,62.04,634,1022
67,68,68,Chris Kirk,90,62.02,738,1190
68,69,69,Shane Lowry,57,61.85,467,755
69,70,70,Sergio Garcia,54,61.76,441,714
70,71,71,Louis Oosthuizen,63,61.67,481,780
71,72,72,Vaughn Taylor,72,61.59,619,1005
72,73,73,Fabián Gómez,82,61.44,682,1110
73,74,74,Hudson Swafford,104,61.43,892,1452
74,75,75,Geoff Ogilvy,63,61.24,504,823
75,76,76,Johnson Wagner,86,61.13,736,1204
76,77,77,Rory McIlroy,69,61.06,530,868
77,T78,T78,George McNeill,51,60.99,433,710
78,T78,T78,Wes Roach,59,60.99,469,769
79,80,80,Brett Stegmaier,87,60.93,722,1185
80,81,81,Troy Merritt,77,60.89,657,1079
81,82,82,D.H. Lee,61,60.85,485,797
82,83,83,Will MacKenzie,84,60.81,678,1115
83,T84,T84,James Hahn,85,60.71,723,1191
84,T84,T84,Billy Horschel,73,60.71,595,980
85,86,86,Chris Stroud,82,60.7,678,1117
86,87,87,Kevin Chappell,93,60.68,787,1297
87,88,88,Padraig Harrington,54,60.66,458,755
88,89,89,Michael Thompson,71,60.57,576,951
89,90,90,Marc Leishman,89,60.55,729,1204
90,91,91,Peter Malnati,85,60.54,721,1191
91,92,92,Kelly Kraft,63,60.36,498,825
92,93,93,Steve Wheatcroft,85,60.32,681,1129
