,Missed_Fairway_Percent_-_Other_RANK THIS WEEK,Missed_Fairway_Percent_-_Other_RANK LAST WEEK,Missed_Fairway_Percent_-_Other_PLAYER NAME,Missed_Fairway_Percent_-_Other_ROUNDS,Missed_Fairway_Percent_-_Other_%,Missed_Fairway_Percent_-_Other_TOTAL MISSED,Missed_Fairway_Percent_-_Other_TOTAL FWYS,Missed_Fairway_Percent_-_Other_RELATIVE TO PAR
0,1,1,Brian Stuard,66,1.07,9,840,0.78
1,2,2,Abraham Ancer,51,1.13,6,531,1.33
2,3,3,Jim Furyk,52,1.3,8,615,1.0
3,4,4,Thomas Aiken,70,1.5,10,667,0.2
4,5,5,Rod Pampling,54,1.55,8,516,1.0
5,6,6,Zac Blair,99,1.59,18,1129,0.17
6,7,7,Whee Kim,82,1.66,15,901,0.73
7,8,8,Colt Knost,90,1.84,18,977,0.61
8,9,9,William McGirt,98,1.88,23,1226,0.3
9,10,10,Graeme McDowell,63,1.9,12,630,1.08
10,11,11,Jerry Kelly,76,1.92,16,833,0.69
11,12,12,Danny Lee,93,1.95,19,976,0.58
12,13,13,Chez Reavie,90,1.98,21,1059,0.57
13,14,14,Jim Herman,93,2.15,21,977,0.86
14,15,15,Billy Hurley III,66,2.19,18,822,0.83
15,16,16,Hideki Matsuyama,76,2.22,18,809,-0.06
16,T17,T17,Ken Duke,58,2.25,15,667,0.67
17,T17,T17,David Toms,62,2.25,17,754,0.35
18,19,19,Chad Campbell,90,2.27,25,1099,0.44
19,20,20,J.J. Henry,68,2.38,20,842,0.8
20,T21,T21,John Huh,86,2.4,26,1085,0.77
21,T21,T21,Francesco Molinari,64,2.4,19,792,0.74
22,T21,T21,Kevin Na,96,2.4,23,960,0.26
23,T24,T24,Rory Sabbatini,57,2.41,13,539,1.0
24,T24,T24,Steve Stricker,53,2.41,15,622,0.67
25,T26,T26,Ben Martin,92,2.42,27,1118,0.74
26,T26,T26,Brett Stegmaier,87,2.42,25,1034,0.6
27,T28,T28,Blayne Barber,84,2.43,25,1029,0.84
28,T28,T28,Ben Crane,80,2.43,22,904,0.55
29,30,30,Dicky Pride,55,2.46,14,570,0.43
30,31,31,Russell Knox,92,2.53,23,909,0.39
31,32,32,Shane Lowry,57,2.59,13,501,0.46
32,T33,T33,Andrew Landry,53,2.6,12,462,0.92
33,T33,T33,Webb Simpson,70,2.6,21,809,0.86
34,35,35,Spencer Levin,104,2.62,30,1146,0.57
35,T36,T36,Kevin Kisner,97,2.64,27,1021,0.44
