,Club_Head_Speed_RANK THIS WEEK,Club_Head_Speed_RANK LAST WEEK,Club_Head_Speed_PLAYER NAME,Club_Head_Speed_ROUNDS,Club_Head_Speed_AVG.,Club_Head_Speed_TOTAL CLUB HEAD SPEED,Club_Head_Speed_TOTAL ATTEMPTS,Club_Head_Speed_FASTEST SPEED,Club_Head_Speed_SLOWEST SPEED
0,1,1,Andrew Loupe,75,125.55,8788.4,70,130.92,121.67
1,2,2,Gary Woodland,95,124.78,8110.82,65,129.9,120.76
2,3,3,Jhonattan Vegas,97,123.94,8675.94,70,127.19,120.34
3,T4,T4,Tony Finau,95,123.67,8904.18,72,127.75,120.0
4,T4,T4,Hudson Swafford,104,123.67,8656.86,70,128.44,120.06
5,6,6,Sergio Garcia,54,122.83,2456.62,20,127.62,115.85
6,7,7,Luke List,79,122.58,8457.8,69,126.43,118.88
7,8,8,Dustin Johnson,87,122.42,7712.55,63,125.94,118.92
8,9,9,Brooks Koepka,75,121.9,6460.51,53,129.06,117.23
9,10,10,Bubba Watson,72,121.63,5594.83,46,126.61,118.42
10,11,11,J.B. Holmes,77,121.16,7511.75,62,127.3,117.12
11,12,12,Derek Ernst,59,120.73,5070.47,42,124.77,115.7
12,13,13,Jason Kokrak,89,120.46,8312.07,69,124.41,116.57
13,14,14,Jamie Lovemark,91,120.21,9376.73,78,126.7,116.47
14,15,15,Smylie Kaufman,91,119.89,8032.8,67,124.18,116.41
15,16,16,Rory McIlroy,69,119.84,5992.08,50,125.15,116.75
16,17,17,Adam Scott,79,119.75,6226.86,52,123.91,116.11
17,18,18,Patrick Rodgers,89,118.89,7489.97,63,124.0,115.54
18,19,19,Charles Howell III,91,118.53,9838.25,83,123.53,115.26
19,20,20,Patrick Reed,105,118.5,9954.21,84,121.6,114.8
20,21,21,Charl Schwartzel,73,118.45,6159.43,52,123.96,114.34
21,22,22,Justin Rose,65,118.38,4853.51,41,123.88,113.17
22,T23,T23,Greg Owen,85,118.35,8284.16,70,121.61,114.4
23,T23,T23,Brendan Steele,88,118.35,7101.16,60,123.69,114.87
24,25,25,Jason Day,76,118.26,6622.42,56,123.71,113.99
25,26,26,Graham DeLaet,70,118.21,6974.66,59,122.54,114.49
26,27,27,Harold Varner III,92,118.12,9449.74,80,122.94,113.8
27,28,28,Ricky Barnes,97,117.9,8960.36,76,123.92,113.53
