,Ball_Striking_RANK THIS WEEK,Ball_Striking_RANK LAST WEEK,Ball_Striking_PLAYER NAME,Ball_Striking_ROUNDS,Ball_Striking_VALUE,Ball_Striking_TOTAL DRV RANK,Ball_Striking_GIR RANK
0,1,1,Lucas Glover,75,3,2,1
1,2,2,Paul Casey,77,9,7,2
2,T3,T3,Thomas Aiken,70,13,8,5
3,T3,T3,Keegan Bradley,82,13,1,12
4,5,5,Sergio Garcia,54,15,9,6
5,6,6,Rory McIlroy,69,17,6,11
6,7,7,Hudson Swafford,104,25,3,22
7,8,8,Jason Dufner,105,26,20,6
8,9,9,Scott Pinckney,87,30,10,20
9,10,10,Emiliano Grillo,93,31,4,27
10,11,11,Brendan Steele,88,40,15,25
11,T12,T12,Rickie Fowler,80,42,27,15
12,T12,T12,Russell Henley,76,42,13,29
13,14,14,Jason Kokrak,89,43,17,26
14,15,15,Russell Knox,92,47,38,9
15,16,16,Greg Owen,85,48,40,8
16,17,17,Graham DeLaet,70,49,21,28
17,18,18,Boo Weekley,83,52,11,41
18,19,19,Kevin Streelman,82,54,37,17
19,20,20,Hideki Matsuyama,76,56,21,35
20,21,21,Chez Reavie,90,62,25,37
21,22,22,Stewart Cink,61,63,59,4
22,23,23,Louis Oosthuizen,63,65,32,33
23,24,24,Adam Scott,79,67,64,3
24,25,25,Roberto Castro,97,68,49,19
25,T26,T26,Patrick Rodgers,89,69,53,16
26,T26,T26,Jhonattan Vegas,97,69,59,10
27,28,28,Gary Woodland,95,70,47,23
28,T29,T29,Sean O'Hair,89,75,21,54
29,T29,T29,Ryan Palmer,86,75,33,42
30,T31,T31,Dustin Johnson,87,76,33,43
31,T31,T31,Justin Rose,65,76,36,40
32,33,33,Bubba Watson,72,80,62,18
33,34,34,Brett Stegmaier,87,81,21,60
34,T35,T35,Chad Campbell,90,82,49,33
35,T35,T35,Scott Piercy,87,82,30,52
36,37,37,Brooks Koepka,75,86,27,59
37,38,38,Johnson Wagner,86,91,78,13
38,39,39,Harold Varner III,92,93,18,75
39,T40,T40,Jim Furyk,52,94,65,29
40,T40,T40,William McGirt,98,94,43,51
41,T40,T40,Henrik Norlander,71,94,62,32
42,T40,T40,Kyle Reifers,115,94,46,48
43,44,44,Kevin Chappell,93,96,25,71
44,45,45,Billy Horschel,73,97,52,45
45,46,46,Kyle Stanley,92,98,44,54
46,47,47,Matt Kuchar,100,101,58,43
47,48,48,Jim Herman,93,106,14,92
48,49,49,Robert Garrigus,69,109,95,14
49,50,50,Bill Haas,86,112,55,57
50,51,51,Jason Gore,78,113,45,68
51,52,52,David Hearn,95,114,83,31
52,53,53,Blayne Barber,84,116,53,63
53,54,54,Alex Cejka,71,117,78,39
54,55,55,Adam Hadwin,93,118,35,83
55,56,56,Charl Schwartzel,73,119,95,24
56,57,57,Andrew Landry,53,122,5,117
57,58,58,Scott Brown,88,123,16,107
58,59,59,John Huh,86,124,47,77
59,60,60,John Senden,88,128,107,21
60,61,61,Si Woo Kim,113,130,18,112
61,62,62,Daniel Berger,92,132,86,46
62,T63,T63,Derek Ernst,59,134,55,79
63,T63,T63,Kevin Kisner,97,134,30,104
64,T65,T65,Shane Lowry,57,135,12,123
65,T65,T65,Ben Martin,92,135,71,64
66,67,67,Marc Leishman,89,138,38,100
67,68,68,Jamie Lovemark,91,139,40,99
68,69,69,Spencer Levin,104,140,68,72
69,T70,T70,Charles Howell III,91,141,103,38
70,T70,T70,Kelly Kraft,63,141,91,50
71,72,72,Jerry Kelly,76,144,78,66
72,T73,T73,Martin Laird,82,150,103,47
73,T73,T73,Michael Thompson,71,150,71,79
74,T75,T75,Brian Harman,104,151,40,111
75,T75,T75,Luke List,79,151,97,54
76,77,77,Ryan Moore,86,153,66,87
77,78,78,Whee Kim,82,155,66,89
78,79,79,Jason Day,76,168,115,53
79,80,80,Rhein Gibson,58,173,138,35
80,81,81,Webb Simpson,70,174,117,57
81,82,82,Nick Taylor,83,176,90,86
82,83,83,Wes Roach,59,180,29,151
83,84,84,Jason Bohn,67,183,111,72
84,T85,T85,Sung Kang,89,184,83,101
85,T85,T85,Scott Stallings,74,184,102,82
86,T87,T87,Francesco Molinari,64,185,76,109
87,T87,T87,Kevin Na,96,185,121,64
88,T87,T87,Robert Streb,87,185,107,78
89,90,90,Tony Finau,95,187,81,106
90,91,91,Shawn Stefani,91,188,119,69
91,T92,T92,James Hahn,85,189,70,119
92,T92,T92,David Lingmerth,84,189,55,134
93,T92,T92,Brandt Snedeker,93,189,99,90
94,T95,T95,J.B. Holmes,77,191,86,105
95,T95,T95,Geoff Ogilvy,63,191,49,142
96,97,97,Rod Pampling,54,192,59,133
97,T98,T98,Branden Grace,63,193,132,61
98,T98,T98,Graeme McDowell,63,193,68,125
99,100,100,Colt Knost,90,194,91,103
100,T101,T101,J.J. Henry,68,197,148,49
101,T101,T101,Justin Thomas,99,197,103,94
102,103,103,Smylie Kaufman,91,200,126,74
103,104,104,Steve Marino,72,202,117,85
104,105,105,Chris Stroud,82,207,140,67
105,T106,T106,Bronson Burgoon,83,208,133,75
106,T106,T106,Chesson Hadley,81,208,107,101
107,T106,T106,Danny Lee,93,208,71,137
108,T106,T106,David Toms,62,208,112,96
109,110,110,Scott Langley,65,209,71,138
110,111,111,Sam Saunders,69,211,83,128
111,112,112,Will MacKenzie,84,213,143,70
112,113,113,Harris English,97,215,103,112
113,T114,T114,Jordan Spieth,80,216,71,145
114,T114,T114,Dawie van der Walt,72,216,154,62
115,116,116,Rory Sabbatini,57,219,89,130
116,117,117,K.J. Choi,73,221,124,97
117,118,118,Fabián Gómez,82,222,81,141
118,119,119,Patrick Reed,105,223,107,116
119,120,120,Willy Wilcox,67,224,77,147
120,121,121,Phil Mickelson,75,225,141,84
121,122,122,Andres Gonzales,80,226,145,81
122,T123,T123,Matt Jones,83,234,99,135
123,T123,T123,Mark Wilson,66,234,126,108
124,125,125,Brian Stuard,66,235,86,149
125,T126,T126,Charley Hoffman,91,243,124,119
126,T126,T126,Zach Johnson,90,243,121,122
127,128,128,Brendon de Jonge,83,246,153,93
128,129,129,Vaughn Taylor,72,248,121,127
129,130,130,Andrew Loupe,75,249,101,148
130,131,131,Padraig Harrington,54,250,91,159
131,T132,T132,Ángel Cabrera,62,252,97,155
132,T132,T132,Cameron Tringale,81,252,161,91
133,134,134,Carlos Ortiz,79,253,128,125
134,T135,T135,Zac Blair,99,260,91,169
135,T135,T135,Chris Kirk,90,260,128,132
136,137,137,Morgan Hoffmann,71,262,112,150
137,138,138,Ricky Barnes,97,263,175,88
138,139,139,Mark Hubbard,101,264,119,145
139,140,140,D.A. Points,55,266,168,98
140,T141,T141,Tyler Aldridge,83,268,173,95
141,T141,T141,Jimmy Walker,85,268,133,135
142,143,143,Tim Wilkinson,72,269,154,115
143,144,144,Hunter Mahan,61,274,112,162
144,145,145,George McNeill,51,277,146,131
145,146,146,Seung-Yul Noh,85,278,157,121
146,147,147,Ben Crane,80,281,138,143
147,148,148,Freddie Jacobson,86,284,174,110
148,149,149,Troy Merritt,77,285,133,152
149,150,150,Patton Kizzire,93,287,163,124
150,T151,T151,Martin Piller,59,290,161,129
151,T151,T151,Tyrone Van Aswegen,105,290,176,114
152,T153,T153,Billy Hurley III,66,294,128,166
153,T153,T153,Dicky Pride,55,294,115,179
154,155,155,Luke Donald,81,298,180,118
155,156,156,Jon Curran,99,302,146,156
156,T157,T157,Abraham Ancer,51,305,131,174
157,T157,T157,Jeff Overton,69,305,166,139
158,T159,T159,Steve Stricker,53,307,149,158
159,T159,T159,Daniel Summerhays,99,307,151,156
160,161,161,Stuart Appleby,71,312,137,175
161,162,162,Aaron Baddeley,93,313,159,154
162,T163,T163,Ken Duke,58,315,133,182
163,T163,T163,Anirban Lahiri,72,315,154,161
164,165,165,Bryce Molder,80,319,143,176
165,166,166,Jonas Blixt,79,320,142,178
166,T167,T167,Luke Guthrie,57,321,169,152
167,T167,T167,Vijay Singh,72,321,158,163
168,169,169,Steve Wheatcroft,85,322,149,173
169,T170,T170,Robert Allenby,51,325,185,140
170,T170,T170,Cameron Smith,73,325,160,165
171,172,172,Rob Oppenheim,67,327,183,144
172,173,173,Michael Kim,100,331,172,159
173,T174,T174,Retief Goosen,55,333,170,163
174,T174,T174,Hiroshi Iwata,85,333,152,181
175,176,176,Tom Hoge,81,334,167,167
176,T177,T177,Ernie Els,66,342,165,177
177,T177,T177,Peter Malnati,85,342,171,171
178,179,179,D.H. Lee,61,343,163,180
179,180,180,Derek Fathauer,94,349,177,172
180,181,181,Chad Collins,73,350,182,168
181,182,182,Camilo Villegas,83,351,181,170
182,183,183,Steven Bowditch,71,362,178,184
183,184,184,Brendon Todd,66,363,178,185
184,185,185,Erik Compton,65,366,183,183
