,Launch_Angle_RANK THIS WEEK,Launch_Angle_RANK LAST WEEK,Launch_Angle_PLAYER NAME,Launch_Angle_ROUNDS,Launch_Angle_AVG.,Launch_Angle_TOTAL VERT. LAUNCH ANGLE,Launch_Angle_TOTAL ATTEMPTS,Launch_Angle_LOWEST LAUNCH ANGLE,Launch_Angle_STEEPEST LAUNCH ANGLE
0,1,1,David Toms,62,13.42,859.17,64,10.07,18.14
1,2,2,Zach Johnson,90,13.4,964.55,72,9.34,16.52
2,3,3,Mark Wilson,66,13.16,723.61,55,9.24,15.58
3,4,4,David Hearn,95,13.15,1183.15,90,8.35,16.17
4,5,5,Zac Blair,99,13.12,1036.57,79,8.51,17.0
5,6,6,Justin Thomas,99,12.91,1032.68,80,7.11,17.46
6,7,7,Brett Stegmaier,87,12.88,1082.17,84,9.89,16.39
7,8,8,Retief Goosen,55,12.85,745.06,58,6.86,17.11
8,9,9,Morgan Hoffmann,71,12.84,821.51,64,3.77,17.29
9,10,10,Rhein Gibson,58,12.65,518.79,41,7.16,17.4
10,11,11,Vaughn Taylor,72,12.63,909.59,72,9.79,15.38
11,12,12,Michael Kim,100,12.54,1140.9,91,9.08,16.14
12,13,13,Will MacKenzie,84,12.52,876.27,70,8.76,16.02
13,T14,T14,Chesson Hadley,81,12.47,947.57,76,7.47,17.11
14,T14,T14,Danny Lee,93,12.47,947.45,76,6.96,16.34
15,16,16,Jason Day,76,12.46,697.53,56,9.71,14.78
16,T17,T17,Thomas Aiken,70,12.42,571.38,46,6.72,17.88
17,T17,T17,Ernie Els,66,12.42,720.35,58,7.25,15.79
18,19,19,K.J. Choi,73,12.33,850.94,69,9.01,16.33
19,20,20,D.H. Lee,61,12.29,540.81,44,8.8,16.03
20,21,21,Scott Piercy,87,12.11,774.92,64,6.08,15.84
21,22,22,Alex Cejka,71,12.09,628.78,52,7.92,15.34
22,23,23,Keegan Bradley,82,12.08,760.91,63,8.97,15.8
23,24,24,James Hahn,85,12.07,760.59,63,8.42,15.81
24,25,25,Kelly Kraft,63,12.0,528.12,44,8.53,15.41
25,26,26,Jon Curran,99,11.99,1079.46,90,7.7,15.45
