,Consecutive_Fairways_Hit_RANK THIS WEEK,Consecutive_Fairways_Hit_RANK LAST WEEK,Consecutive_Fairways_Hit_PLAYER NAME,Consecutive_Fairways_Hit_EVENTS,Consecutive_Fairways_Hit_BEST STREAK,Consecutive_Fairways_Hit_CURRENT STREAK
0,1,1,Ryan Moore,22,40,3.0
1,2,2,Jim Furyk,22,32,
2,3,3,Joe Durant,7,31,6.0
3,4,4,Doug LaBelle II,23,28,3.0
4,T5,T5,Ken Duke,28,27,3.0
5,T5,T5,Jerry Kelly,22,27,4.0
6,7,7,Russell Knox,11,25,7.0
7,T8,T8,Jon Curran,3,24,3.0
8,T8,T8,J.J. Henry,26,24,3.0
9,10,10,George McNeill,21,23,2.0
10,T11,T11,Ricky Barnes,26,22,3.0
11,T11,T11,Brian Gay,24,22,6.0
12,T11,T11,Justin Rose,17,22,9.0
13,T11,T11,Robert Streb,25,22,
14,T15,T15,Stuart Appleby,25,21,1.0
15,T15,T15,Graham DeLaet,26,21,2.0
16,T15,T15,Justin Leonard,24,21,13.0
17,T15,T15,David Lingmerth,23,21,
18,T15,T15,Daniel Summerhays,26,21,5.0
19,T20,T20,Keegan Bradley,25,20,
20,T20,T20,Ryuji Imada,7,20,1.0
21,T20,T20,Zach Johnson,24,20,2.0
22,T20,T20,Steve LeBrun,21,20,
23,T20,T20,Jeff Maggert,21,20,1.0
24,T20,T20,Jin Park,20,20,6.0
25,T20,T20,Heath Slocum,9,20,
26,T20,T20,Jordan Spieth,23,20,1.0
27,T20,T20,Brian Stuard,25,20,
28,T20,T20,Cameron Tringale,24,20,1.0
29,T20,T20,Y.E. Yang,19,20,3.0
30,T31,T31,Brendon de Jonge,30,19,7.0
31,T31,T31,Bill Haas,25,19,
32,T31,T31,Justin Hicks,25,19,2.0
33,T31,T31,Billy Horschel,26,19,3.0
34,T31,T31,Dicky Pride,23,19,
35,T31,T31,Kevin Streelman,25,19,
36,T31,T31,Vaughn Taylor,16,19,4.0
37,T38,T38,Roberto Castro,29,18,
38,T38,T38,Matt Kuchar,23,18,2.0
39,T38,T38,Marc Leishman,23,18,
40,T38,T38,Nick O'Hern,10,18,13.0
41,T38,T38,Steve Stricker,13,18,
42,T38,T38,Josh Teater,24,18,2.0
43,T38,T38,Nicholas Thompson,29,18,1.0
44,T38,T38,David Toms,16,18,1.0
45,T38,T38,Bo Van Pelt,22,18,2.0
46,T47,T47,Joe Affrunti,5,17,
47,T47,T47,Ben Curtis,20,17,
48,T47,T47,Brian Davis,28,17,
49,T47,T47,Ross Fisher,15,17,8.0
50,T47,T47,Rickie Fowler,22,17,1.0
51,T47,T47,Brian Harman,29,17,1.0
52,T47,T47,Ben Kohles,25,17,1.0
53,T47,T47,Richard Lee,24,17,2.0
54,T47,T47,Bill Lunde,10,17,4.0
55,T47,T47,William McGirt,24,17,
56,T47,T47,Greg Owen,24,17,2.0
57,T47,T47,Kevin Stadler,25,17,3.0
58,T47,T47,Boo Weekley,27,17,
59,T47,T47,Charlie Wi,23,17,2.0
60,T47,T47,Mark Wilson,19,17,4.0
61,T62,T62,Thomas Bjørn,4,16,
62,T62,T62,Gary Christian,10,16,5.0
63,T62,T62,Chris DiMarco,11,16,
64,T62,T62,Jason Dufner,22,16,
65,T62,T62,Bob Estes,18,16,6.0
66,T62,T62,Tom Gillis,22,16,2.0
67,T62,T62,David Hearn,26,16,1.0
68,T62,T62,Russell Henley,24,16,3.0
69,T62,T62,John Huh,28,16,2.0
70,T62,T62,Michael Kim,2,16,9.0
71,T62,T62,David Lynn,22,16,8.0
72,T62,T62,David Mathis,24,16,
73,T62,T62,Graeme McDowell,16,16,4.0
74,T62,T62,Thorbjørn Olesen,11,16,2.0
75,T62,T62,Patrick Reed,26,16,4.0
76,T62,T62,John Senden,25,16,
77,T62,T62,Webb Simpson,25,16,4.0
78,T62,T62,Peter Tomasulo,10,16,1.0
79,T62,T62,Chris Williams,5,16,3.0
80,T81,T81,Tim Clark,20,15,3.0
81,T81,T81,Brad Fritsch,24,15,2.0
82,T81,T81,Steve Jones,1,15,15.0
83,T81,T81,Matt Jones,24,15,1.0
84,T81,T81,D.H. Lee,22,15,1.0
85,T81,T81,Morten Orum Madsen,1,15,1.0
86,T81,T81,John Merrick,23,15,8.0
87,T81,T81,Bryce Molder,24,15,4.0
88,T81,T81,Geoff Ogilvy,19,15,5.0
89,T81,T81,Pat Perez,22,15,1.0
90,T81,T81,D.A. Points,28,15,
91,T81,T81,Chez Reavie,22,15,
92,T81,T81,Joey Snyder III,15,15,
93,T81,T81,Darron Stiles,20,15,3.0
94,T81,T81,Brendon Todd,10,15,2.0
95,T81,T81,Bubba Watson,21,15,5.0
96,T81,T81,Gary Woodland,26,15,1.0
97,T98,T98,Stephen Ames,19,14,
98,T98,T98,Cameron Beckman,8,14,3.0
99,T98,T98,Glen Day,6,14,1.0
100,T98,T98,Martin Flores,25,14,1.0
101,T98,T98,Charles Howell III,26,14,4.0
102,T98,T98,Brandt Jobe,19,14,
103,T98,T98,Chris Kirk,24,14,
104,T98,T98,Martin Laird,21,14,3.0
105,T98,T98,Scott Langley,27,14,2.0
106,T98,T98,Frank Lickliter II,3,14,
107,T98,T98,Shane Lowry,9,14,
108,T98,T98,Hunter Mahan,25,14,
109,T98,T98,Billy Mayfair,14,14,5.0
110,T98,T98,Francesco Molinari,9,14,2.0
111,T98,T98,Ryan Palmer,22,14,1.0
112,T98,T98,Carl Pettersson,24,14,10.0
113,T98,T98,Chris Stroud,26,14,7.0
114,T98,T98,Kevin Sutherland,13,14,
115,T98,T98,Lee Westwood,19,14,1.0
116,T117,T117,Jonas Blixt,24,13,6.0
117,T117,T117,Jason Bohn,23,13,2.0
118,T117,T117,Justin Bolli,23,13,
119,T117,T117,Scott Brown,21,13,1.0
120,T117,T117,Kevin Chappell,24,13,
121,T117,T117,K.J. Choi,24,13,
122,T117,T117,Stewart Cink,22,13,2.0
123,T117,T117,Tommy Gainey,28,13,
124,T117,T117,Sergio Garcia,17,13,1.0
125,T117,T117,Jorge Garcia,1,13,
126,T117,T117,Retief Goosen,9,13,
127,T117,T117,Jeff Gove,17,13,2.0
128,T117,T117,Jim Herman,19,13,3.0
129,T117,T117,Morgan Hoffmann,20,13,
130,T117,T117,Trevor Immelman,24,13,1.0
131,T117,T117,Freddie Jacobson,19,13,
132,T117,T117,Martin Kaymer,17,13,5.0
133,T117,T117,Kevin Kisner,1,13,3.0
134,T117,T117,Colt Knost,25,13,2.0
135,T117,T117,Phil Mickelson,21,13,
136,T117,T117,Henrik Norlander,22,13,
137,T117,T117,Jeff Overton,24,13,1.0
138,T117,T117,Alistair Presnell,23,13,
139,T117,T117,Kyle Reifers,4,13,1.0
140,T117,T117,Brandt Snedeker,23,13,
141,T117,T117,Scott Stallings,27,13,2.0
142,T117,T117,Andrew Svoboda,18,13,1.0
143,T117,T117,Lee Williams,22,13,2.0
144,T117,T117,Tiger Woods,16,13,
145,T146,T146,Billy Andrade,3,12,
146,T146,T146,David Branshaw,1,12,2.0
