,Consecutive_Sand_Saves_RANK THIS WEEK,Consecutive_Sand_Saves_RANK LAST WEEK,Consecutive_Sand_Saves_PLAYER NAME,Consecutive_Sand_Saves_EVENTS,Consecutive_Sand_Saves_STREAK,Consecutive_Sand_Saves_CURRENT STREAK,Consecutive_Sand_Saves_ROUND,Consecutive_Sand_Saves_HOLE,Consecutive_Sand_Saves_YEAR/TOURN#
0,T1,T1,Stuart Appleby,25,12,1.0,1,2,2013130
1,T1,T1,Jonas Blixt,24,12,,1,7,2013220
2,T1,T1,Jason Day,21,12,3.0,1,13,2013340
3,T1,T1,Matt Kuchar,23,12,1.0,1,8,2013340
4,T5,T5,Martin Flores,25,11,1.0,2,2,2013290
5,T5,T5,Lee Janzen,11,11,1.0,1,9,2013030
6,T5,T5,Shawn Stefani,21,11,,1,11,2013100
7,T8,T8,K.J. Choi,24,10,,2,10,2013100
8,T8,T8,Brad Fritsch,24,10,,1,1,2013020
9,T8,T8,Brian Gay,24,10,,1,10,2013370
10,T8,T8,Lucas Glover,23,10,1.0,2,3,2013090
11,T8,T8,Peter Hanson,15,10,2.0,4,3,2013240
12,T8,T8,Russell Henley,24,10,,1,11,2013110
13,T8,T8,Hunter Mahan,25,10,1.0,1,13,2013320
14,T8,T8,Lee Williams,22,10,,3,7,2013170
15,T8,T8,Casey Wittenberg,27,10,,2,5,2013290
16,T17,T17,Sangmoon Bae,26,9,,2,18,2013260
17,T17,T17,Steven Bowditch,22,9,,4,2,2013280
18,T17,T17,Luke Guthrie,27,9,1.0,2,15,2013070
19,T17,T17,Dustin Johnson,22,9,,3,5,2013320
20,T17,T17,Robert Karlsson,18,9,,2,14,2013210
21,T17,T17,Justin Leonard,24,9,2.0,1,13,2013050
22,T17,T17,Rod Pampling,16,9,,3,7,2013290
23,T17,T17,John Rollins,24,9,2.0,3,1,2013040
24,T17,T17,Kevin Streelman,25,9,3.0,4,11,2013030
25,T17,T17,Nicholas Thompson,29,9,4.0,2,5,2013300
