,Current_Par_or_Better_Streak_RANK THIS WEEK,Current_Par_or_Better_Streak_RANK LAST WEEK,Current_Par_or_Better_Streak_PLAYER NAME,Current_Par_or_Better_Streak_EVENTS,Current_Par_or_Better_Streak_NUMBER OF ROUNDS
0,T1,T1,Jonathan Randolph,4,13
1,T1,T1,Rory Sabbatini,365,13
2,3,3,Bubba Watson,188,12
3,T4,T4,Zach Johnson,251,10
4,T4,T4,Russell Knox,33,10
5,T6,T6,Charles Howell III,375,9
6,T6,T6,Jin Park,58,9
7,T8,T8,Kelly Kraft,12,8
8,T8,T8,Heath Slocum,333,8
9,T10,T10,Billy Horschel,74,7
10,T10,T10,Ken Looper,2,7
11,T10,T10,Bill Lunde,119,7
12,T13,T13,Fred Funk,619,6
13,T13,T13,Peter Lonard,225,6
14,T15,T15,Ryan Blaum,6,5
15,T15,T15,Glen Day,444,5
16,T15,T15,Retief Goosen,218,5
17,T15,T15,Danny Lee,42,5
18,T19,T19,Ricky Barnes,149,4
19,T19,T19,Shane Bertsch,168,4
20,T19,T19,Bart Bryant,309,4
21,T19,T19,Stewart Cink,424,4
22,T19,T19,Marco Dawson,403,4
23,T19,T19,Joe Durant,424,4
24,T19,T19,Andres Gonzales,41,4
25,T19,T19,Ryo Ishikawa,63,4
26,T19,T19,Dustin Johnson,136,4
27,T19,T19,Kent Jones,349,4
28,T19,T19,Matt Jones,143,4
29,T19,T19,Michael Kim,2,4
30,T19,T19,John Kimbell,1,4
31,T19,T19,Ryan Moore,206,4
32,T19,T19,Joe Ogilvie,379,4
33,T19,T19,Chris Riley,327,4
34,T19,T19,Patrick Rodgers,3,4
35,T19,T19,Justin Rose,219,4
36,T19,T19,Roger Sloan,2,4
37,T19,T19,Paul Stankowski,387,4
38,T19,T19,Henrik Stenson,105,4
39,T19,T19,Andre Stolz,36,4
40,T19,T19,Robert Streb,24,4
41,T19,T19,Bo Van Pelt,336,4
42,T19,T19,Camilo Villegas,194,4
43,T44,T44,Mark Anderson,28,3
44,T44,T44,Stuart Appleby,437,3
45,T44,T44,Todd Baek,1,3
46,T44,T44,Jason Dufner,195,3
47,T44,T44,Matt Every,82,3
48,T44,T44,Rickie Fowler,102,3
49,T44,T44,David Hearn,113,3
50,T44,T44,Russell Henley,25,3
51,T44,T44,Chris Kirk,87,3
52,T44,T44,Marc Leishman,127,3
53,T44,T44,David Lynn,23,3
54,T44,T44,Phil Mickelson,460,3
55,T44,T44,Justin Peters,4,3
56,T44,T44,Sam Saunders,21,3
57,T44,T44,Cameron Tringale,105,3
58,T44,T44,Jimmy Walker,186,3
59,T44,T44,Marc Warren,3,3
60,T44,T44,Nick Watney,238,3
61,T62,T62,Rafa Cabrera Bello,10,2
62,T62,T62,Jason Day,132,2
63,T62,T62,Sergio Garcia,242,2
64,T62,T62,Lucas Glover,257,2
65,T62,T62,Steven Ihm,1,2
66,T62,T62,Yuta Ikeda,21,2
67,T62,T62,Ryuji Imada,234,2
68,T62,T62,Lee Janzen,597,2
69,T62,T62,Steve Jones,429,2
70,T62,T62,Martin Kaymer,58,2
71,T62,T62,Jerry Kelly,528,2
72,T62,T62,Jason Kokrak,53,2
73,T62,T62,Rory McIlroy,65,2
74,T62,T62,John Merrick,186,2
75,T62,T62,Chris Naegel,1,2
76,T62,T62,Garrett Osborn,2,2
77,T62,T62,David Peoples,551,2
78,T62,T62,Ian Poulter,154,2
79,T62,T62,Patrick Reed,40,2
80,T62,T62,Webb Simpson,139,2
81,T62,T62,Brandt Snedeker,187,2
82,T62,T62,Kevin Stadler,228,2
83,T62,T62,Steve Stricker,410,2
84,T62,T62,Tiger Woods,294,2
