,Consecutive_Birdies_Streak_RANK THIS WEEK,Consecutive_Birdies_Streak_RANK LAST WEEK,Consecutive_Birdies_Streak_PLAYER NAME,Consecutive_Birdies_Streak_EVENTS,Consecutive_Birdies_Streak_NUMBER OF HOLES
0,T1,T1,Russell Henley,24,7
1,T1,T1,Matt Jones,24,7
2,T1,T1,Brandt Snedeker,23,7
3,T4,T4,Sangmoon Bae,26,6
4,T4,T4,Scott Gardiner,23,6
5,T4,T4,Billy Horschel,26,6
6,T4,T4,John Mallinger,12,6
7,T4,T4,Louis Oosthuizen,12,6
8,T4,T4,Chris Stroud,26,6
9,T4,T4,Mike Weir,22,6
10,T11,T11,Stuart Appleby,25,5
11,T11,T11,Matt Bettencourt,9,5
12,T11,T11,Donald Constable,16,5
13,T11,T11,Graham DeLaet,26,5
14,T11,T11,James Driscoll,23,5
15,T11,T11,Harris English,26,5
16,T11,T11,Ross Fisher,15,5
17,T11,T11,Tommy Gainey,28,5
18,T11,T11,Sergio Garcia,17,5
19,T11,T11,Justin Hicks,25,5
20,T11,T11,Charley Hoffman,23,5
21,T11,T11,Miguel Angel Jiménez,3,5
22,T11,T11,Martin Kaymer,17,5
23,T11,T11,Chris Kirk,24,5
24,T11,T11,Colt Knost,25,5
25,T11,T11,Ben Kohles,25,5
26,T11,T11,D.H. Lee,22,5
27,T11,T11,Richard Lee,24,5
28,T11,T11,David Lingmerth,23,5
29,T11,T11,Graeme McDowell,16,5
30,T11,T11,Phil Mickelson,21,5
31,T11,T11,Ryan Palmer,22,5
32,T11,T11,Tim Petrovic,12,5
33,T11,T11,Scott Piercy,24,5
34,T11,T11,D.A. Points,28,5
35,T11,T11,"Ted Potter, Jr.",22,5
36,T11,T11,Adam Scott,16,5
37,T11,T11,Jordan Spieth,23,5
38,T11,T11,Scott Stallings,27,5
39,T11,T11,Brendan Steele,26,5
40,T11,T11,Andrew Svoboda,18,5
41,T11,T11,Vaughn Taylor,16,5
42,T11,T11,Peter Tomasulo,10,5
43,T11,T11,Steve Wheatcroft,1,5
44,T11,T11,Charlie Wi,23,5
45,T46,T46,Brad Adamonis,2,4
46,T46,T46,Stephen Ames,19,4
47,T46,T46,Woody Austin,8,4
48,T46,T46,Ricky Barnes,26,4
49,T46,T46,Cameron Beckman,8,4
50,T46,T46,Charlie Beljan,24,4
51,T46,T46,Jonas Blixt,24,4
52,T46,T46,Jason Bohn,23,4
53,T46,T46,Justin Bolli,23,4
54,T46,T46,Steven Bowditch,22,4
55,T46,T46,Keegan Bradley,25,4
56,T46,T46,Ángel Cabrera,21,4
57,T46,T46,Patrick Cantlay,7,4
58,T46,T46,Roberto Castro,29,4
59,T46,T46,Greg Chalmers,25,4
60,T46,T46,Kevin Chappell,24,4
61,T46,T46,K.J. Choi,24,4
62,T46,T46,Gary Christian,10,4
63,T46,T46,Stewart Cink,22,4
64,T46,T46,Tim Clark,20,4
65,T46,T46,George Coetzee,11,4
