,Best_Sub-Par_Rounds_Streak_RANK THIS WEEK,Best_Sub-Par_Rounds_Streak_RANK LAST WEEK,Best_Sub-Par_Rounds_Streak_PLAYER NAME,Best_Sub-Par_Rounds_Streak_CAREER BEST STREAK,Best_Sub-Par_Rounds_Streak_BEST YTD STREAK,Best_Sub-Par_Rounds_Streak_CURRENT STREAK
0,1,1,Tim Petrovic,26,8.0,
1,2,2,Jeff Sluman,23,,
2,T3,T3,Tim Clark,22,11.0,
3,T3,T3,Fred Couples,22,2.0,
4,T3,T3,Scott McCarron,22,1.0,
5,T6,T6,Stuart Appleby,21,6.0,
6,T6,T6,Bob Estes,21,6.0,
7,T6,T6,Scott Verplank,21,2.0,
8,T9,T9,Jay Don Blake,20,,
9,T9,T9,Joey Sindelar,20,,
10,T11,T11,Ben Crane,19,5.0,
11,T11,T11,Joe Durant,19,4.0,
12,T11,T11,Jesper Parnevik,19,2.0,
13,T11,T11,Dan Pohl,19,,
14,T15,T15,Glen Day,18,4.0,
15,T15,T15,Chris DiMarco,18,3.0,
16,T15,T15,Retief Goosen,18,5.0,
17,T15,T15,Charles Howell III,18,9.0,
18,T15,T15,Ryan Moore,18,7.0,
19,T15,T15,Craig Parry,18,,
20,T21,T21,Ronnie Black,17,,
21,T21,T21,Jonathan Byrd,17,4.0,
22,T21,T21,Brendon de Jonge,17,8.0,
23,T21,T21,Luke Donald,17,7.0,
24,T21,T21,Ed Fiori,17,,
25,T21,T21,Donnie Hammond,17,,
26,T21,T21,Jerry Kelly,17,6.0,
27,T21,T21,Chris Kirk,17,15.0,
28,T21,T21,Roger Maltbie,17,,
29,T21,T21,Shigeki Maruyama,17,,
30,T21,T21,Mark O'Meara,17,1.0,
31,T21,T21,Vijay Singh,17,5.0,
32,T21,T21,Kirk Triplett,17,,
33,T21,T21,Tiger Woods,17,9.0,
34,T35,T35,Ken Green,16,,
35,T35,T35,Bill Haas,16,8.0,
36,T35,T35,Lee Janzen,16,2.0,
37,T35,T35,Matt Kuchar,16,9.0,
38,T35,T35,Troy Matteson,16,4.0,
39,T35,T35,Blaine McCallister,16,,
40,T35,T35,Steve Pate,16,,
41,T35,T35,Corey Pavin,16,1.0,
42,T35,T35,Kenny Perry,16,2.0,
43,T35,T35,D.A. Points,16,7.0,
44,T35,T35,Chez Reavie,16,5.0,
45,T35,T35,Chris Riley,16,2.0,
46,T35,T35,Mike Weir,16,4.0,
47,T48,T48,Stephen Ames,15,6.0,
48,T48,T48,Brian Davis,15,5.0,
49,T48,T48,Carlos Franco,15,,
50,T48,T48,Scott Hoch,15,,
51,T48,T48,Tom Kite,15,,
52,T48,T48,Davis Love III,15,3.0,
53,T48,T48,Andrew Magee,15,,
54,T48,T48,Scott Simpson,15,,
55,T48,T48,Chris Smith,15,,
56,T48,T48,Craig Stadler,15,,
57,T48,T48,Bob Tway,15,,
58,T48,T48,Johnson Wagner,15,5.0,
59,T60,T60,Robert Allenby,14,3.0,
60,T60,T60,Woody Austin,14,4.0,
61,T60,T60,Brian Bateman,14,,
62,T60,T60,Russ Cochran,14,3.0,
63,T60,T60,Marco Dawson,14,3.0,
64,T60,T60,Steve Flesch,14,4.0,
65,T60,T60,Rickie Fowler,14,4.0,
66,T60,T60,Brent Geiberger,14,,
67,T60,T60,Mathew Goggin,14,1.0,
68,T60,T60,John Huston,14,,
69,T60,T60,Freddie Jacobson,14,4.0,
70,T60,T60,Kent Jones,14,2.0,
71,T60,T60,Justin Leonard,14,9.0,
72,T60,T60,Frank Lickliter II,14,1.0,
73,T60,T60,Peter Lonard,14,2.0,
74,T60,T60,Jeff Maggert,14,5.0,
75,T60,T60,Rocco Mediate,14,,
76,T60,T60,Joe Ogilvie,14,5.0,
77,T60,T60,Loren Roberts,14,,
78,T60,T60,Bo Van Pelt,14,5.0,
79,T60,T60,Grant Waite,14,,
80,T60,T60,Mark Wilson,14,6.0,
81,T82,T82,Billy Andrade,13,3.0,
82,T82,T82,Paul Azinger,13,,
83,T82,T82,Briny Baird,13,,
84,T82,T82,Cameron Beckman,13,6.0,
85,T82,T82,Jason Bohn,13,7.0,
86,T82,T82,Bart Bryant,13,2.0,
87,T82,T82,Brad Bryant,13,,
88,T82,T82,Rex Caldwell,13,,
89,T82,T82,John Cook,13,,
90,T82,T82,Ben Curtis,13,2.0,
91,T82,T82,Jay Delsing,13,,
92,T82,T82,David Duval,13,1.0,
93,T82,T82,Steve Elkington,13,,
94,T82,T82,Rick Fehr,13,,
95,T82,T82,Dan Forsman,13,,
96,T82,T82,Harrison Frazar,13,,
97,T82,T82,David Frost,13,1.0,
98,T82,T82,Fred Funk,13,1.0,
99,T82,T82,Jim Furyk,13,7.0,
100,T82,T82,Buddy Gardner,13,,
101,T82,T82,Brian Gay,13,9.0,
102,T82,T82,Tim Herron,13,3.0,
103,T82,T82,Peter Jacobsen,13,,
104,T82,T82,Neal Lancaster,13,2.0,
105,T82,T82,Bernhard Langer,13,2.0,
106,T82,T82,Tom Lehman,13,2.0,
107,T82,T82,Mark McCumber,13,,
108,T82,T82,Phil Mickelson,13,7.0,
109,T82,T82,Bryce Molder,13,9.0,
110,T82,T82,Calvin Peete,13,,
111,T82,T82,David Peoples,13,1.0,
112,T82,T82,Scott Piercy,13,4.0,
113,T82,T82,Ted Purdy,13,1.0,
114,T82,T82,Mike Reid,13,,
115,T82,T82,Dave Rummells,13,,
116,T82,T82,Tom Sieckmann,13,,
117,T82,T82,Tony Sills,13,,
118,T82,T82,Webb Simpson,13,7.0,
119,T82,T82,Brandt Snedeker,13,10.0,
120,T82,T82,Curtis Strange,13,,
121,T82,T82,Mike Sullivan,13,,
122,T82,T82,David Toms,13,3.0,
123,T82,T82,Duffy Waldorf,13,4.0,
124,T82,T82,Jimmy Walker,13,10.0,
125,T82,T82,Bubba Watson,13,5.0,
126,T127,T127,Aaron Baddeley,12,5.0,
127,T127,T127,Dave Barr,12,,
128,T127,T127,Mark Brooks,12,,
129,T127,T127,Mark Calcavecchia,12,,
130,T127,T127,Chad Campbell,12,9.0,
131,T127,T127,Greg Chalmers,12,4.0,
132,T127,T127,Stewart Cink,12,5.0,
133,T127,T127,Danny Edwards,12,,
134,T127,T127,David Edwards,12,,
135,T127,T127,Joel Edwards,12,,
136,T127,T127,Brad Faxon,12,1.0,
137,T127,T127,Robert Gamez,12,2.0,
138,T127,T127,Paul Goydos,12,,
139,T127,T127,Nathan Green,12,4.0,
140,T127,T127,Mathias Grönberg,12,,
141,T127,T127,Jay Haas,12,,
142,T127,T127,Mike Heinen,12,,
143,T127,T127,Richard Johnson,12,,
144,T127,T127,Jonathan Kaye,12,,
145,T127,T127,Skip Kendall,12,2.0,
146,T127,T127,Gary Koch,12,,
147,T127,T127,Greg Kraft,12,,
148,T127,T127,Bill Lunde,12,5.0,
149,T127,T127,Jim McGovern,12,,
150,T127,T127,Larry Mize,12,,
151,T127,T127,Gil Morgan,12,,
152,T127,T127,Frank Nobilo,12,,
153,T127,T127,José María Olazábal,12,,
154,T127,T127,Jeff Overton,12,10.0,
155,T127,T127,Don Pooley,12,,
156,T127,T127,Gene Sauers,12,,
157,T127,T127,John Senden,12,5.0,
158,T127,T127,Kevin Stadler,12,12.0,
159,T127,T127,Paul Stankowski,12,4.0,
160,T127,T127,Kevin Sutherland,12,9.0,
161,T127,T127,Hal Sutton,12,,
162,T127,T127,Jhonattan Vegas,12,2.0,
163,T127,T127,Jay Williamson,12,,
164,T127,T127,Willie Wood,12,,
165,T127,T127,Fuzzy Zoeller,12,,
166,T167,T167,Craig Barlow,11,1.0,
167,T167,T167,Chip Beck,11,,
168,T167,T167,Steven Bowditch,11,11.0,
169,T167,T167,Olin Browne,11,,
170,T167,T167,George Burns,11,,
171,T167,T167,Bob Burns,11,,
172,T167,T167,Tom Byrum,11,1.0,
173,T167,T167,Jim Carter,11,,
174,T167,T167,Brandel Chamblee,11,,
175,T167,T167,K.J. Choi,11,7.0,
176,T167,T167,Michael Clark II,11,,
177,T167,T167,John Daly,11,4.0,
178,T167,T167,Brad Fabel,11,,
179,T167,T167,Keith Fergus,11,,
180,T167,T167,Bruce Fleisher,11,,
181,T167,T167,Raymond Floyd,11,,
182,T167,T167,Sergio Garcia,11,3.0,
183,T167,T167,Jason Gore,11,2.0,
184,T167,T167,Todd Hamilton,11,2.0,
185,T167,T167,J.P. Hayes,11,,
186,T167,T167,J.J. Henry,11,4.0,
187,T167,T167,Charley Hoffman,11,11.0,
188,T167,T167,Zach Johnson,11,10.0,
189,T167,T167,Dustin Johnson,11,5.0,
190,T167,T167,Ian Leggatt,11,,
191,T167,T167,Michael Letzig,11,3.0,
192,T167,T167,Bruce Lietzke,11,,
193,T167,T167,John Mahaffey,11,,
194,T167,T167,Steve Marino,11,5.0,
195,T167,T167,Billy Mayfair,11,3.0,
