,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
0,1,1,Tiger Woods,3335350
1,2,2,Olin Browne,1716128
2,3,3,Bart Bryant,1559915
3,4,4,Mark Calcavecchia,1288302
4,5,5,Vaughn Taylor,1163345
5,6,6,Chris DiMarco,1101836
6,7,7,Ben Crane,1100647
7,8,8,Lucas Glover,1031121
8,9,9,Jason Bohn,960111
9,10,10,Tom Pernice Jr.,913939
10,11,11,Chad Campbell,910653
11,12,12,John Daly,867533
12,13,13,Jason Gore,850860
13,14,14,"Wes Short, Jr.",844688
14,15,15,Brad Faxon,844125
15,16,16,Tim Herron,837519
16,17,17,Brandt Jobe,778898
17,18,18,Robert Gamez,749892
18,19,19,Jim Furyk,746933
19,20,20,Heath Slocum,734705
20,21,21,Charles Howell III,674977
21,22,22,Ryan Moore,665270
22,23,23,Harrison Frazar,661152
23,24,24,Davis Love III,656383
24,25,25,Ryan Palmer,633107
25,26,26,Scott Verplank,607600
26,27,27,Tag Ridings,574674
27,28,28,Jerry Kelly,569381
28,29,29,Steve Lowery,557881
29,30,30,Bo Van Pelt,549416
30,31,31,Joey Sindelar,546745
31,32,32,Kenny Perry,524550
32,33,33,Ted Purdy,510545
33,34,34,Woody Austin,499603
34,35,35,Sean O'Hair,475470
35,36,36,Mark Wilson,473396
36,37,37,Jeff Brehaut,461640
37,38,38,David Toms,440800
38,39,39,John Huston,427814
39,40,40,Justin Leonard,419415
40,41,41,J.J. Henry,370957
41,42,42,Stewart Cink,349045
42,43,43,Jonathan Kaye,348476
43,44,44,Darron Stiles,336247
44,45,45,Dean Wilson,333843
45,46,46,Kent Jones,333668
46,47,47,Fred Couples,332683
47,48,48,Bob Heintz,322796
48,49,49,Billy Mayfair,314840
49,50,50,Scott Gutschewski,314478
50,51,51,Marco Dawson,306769
51,52,52,Charles Warren,298840
52,53,53,Cameron Beckman,295420
53,54,54,Todd Fischer,286431
54,55,55,Loren Roberts,282000
55,56,56,Fred Funk,278522
56,57,57,Jonathan Byrd,278452
57,58,58,Rocco Mediate,277978
58,59,59,Nick Watney,277070
59,60,60,Craig Barlow,251700
60,61,61,Joey Snyder III,247968
61,62,62,Briny Baird,246839
62,63,63,Rich Beem,246464
63,64,64,Zach Johnson,246422
64,65,65,Tom Lehman,235048
65,66,66,J.L. Lewis,228309
66,67,67,Tommy Armour III,203105
67,68,68,Will MacKenzie,201277
68,69,69,Ben Curtis,200328
69,70,70,Brett Wetterich,195695
70,71,71,John Rollins,194598
71,72,72,Jeff Maggert,188686
72,73,73,D.J. Trahan,185373
73,74,74,Dudley Hart,182436
74,75,75,Tim Petrovic,174874
75,76,76,Chris Smith,173363
76,77,77,Glen Day,169691
77,78,78,Corey Pavin,163040
78,79,79,Frank Lickliter II,160330
79,80,80,Matt Kuchar,152996
80,81,81,Bob Tway,152666
81,82,82,Billy Andrade,149500
82,83,83,Joe Ogilvie,145974
83,84,84,J.P. Hayes,142324
84,85,85,Patrick Sheehan,141955
85,86,86,Bob Estes,136331
86,87,87,Pat Perez,135858
87,88,88,Shaun Micheel,134069
88,89,89,Phil Mickelson,130830
89,90,90,Duffy Waldorf,130300
90,91,91,Jay Delsing,128620
91,92,92,D.A. Points,126322
92,93,93,Kevin Sutherland,126150
93,94,94,Kevin Na,116807
94,95,95,Dan Forsman,110761
95,96,96,Jeff Sluman,109319
96,97,97,Paul Claxton,107530
97,98,98,Brian Gay,106523
98,99,99,John Cook,105144
99,100,100,Spike McRoy,103499
100,101,101,Doug Barron,102652
101,102,102,Tom Gillis,96425
102,103,103,Mario Tiziani,96346
103,104,104,Michael Allen,95700
104,105,105,Brian Bateman,95693
105,106,106,Neal Lancaster,93467
106,107,107,Steve Flesch,92730
107,108,108,Robert Damron,90380
108,109,109,Tom Byrum,86355
109,110,110,Joe Durant,84963
110,111,111,Brent Geiberger,81199
111,112,112,Jay Haas,77000
112,113,113,Franklin Langham,76534
113,114,114,Hunter Haas,76410
114,115,115,D.J. Brigman,76311
115,116,116,Hunter Mahan,73332
116,117,117,Omar Uresti,71118
117,118,118,David Peoples,66650
118,119,119,Lee Janzen,63478
119,120,120,Jeff Hart,63323
120,121,121,Craig Bowden,59790
121,122,122,Paul Azinger,59730
122,123,123,Bill Glasson,56225
123,124,124,Chris Riley,55634
124,125,125,Jim Carter,48850
125,126,126,Hank Kuehne,47726
126,127,127,Justin Bolli,43340
127,128,128,Kevin Stadler,37819
128,129,129,Mark O'Meara,33931
129,130,130,Larry Mize,32700
130,131,131,Scott McCarron,31528
131,132,132,Steve Stricker,31500
132,133,133,Len Mattiace,30150
133,134,134,Matt Gogel,30104
134,135,135,Dennis Paulson,28688
135,136,136,Notah Begay III,28245
