,PGA_Championship_Points_RANK THIS WEEK,PGA_Championship_Points_RANK LAST WEEK,PGA_Championship_Points_PLAYER NAME,PGA_Championship_Points_EVENTS,PGA_Championship_Points_POINTS
0,1,1,Tiger Woods,6,3621350
1,2,2,Carl Pettersson,11,1793681
2,3,3,Olin Browne,12,1788753
3,4,4,Bart Bryant,9,1559915
4,5,5,Retief Goosen,6,1446830
5,6,6,Phil Mickelson,6,1430830
6,7,7,Brandt Jobe,10,1318898
7,8,8,Mark Calcavecchia,9,1300752
8,9,9,Vaughn Taylor,10,1204845
9,10,10,Vijay Singh,8,1195133
10,11,11,Ben Crane,9,1147010
11,12,12,Chris DiMarco,8,1101836
12,13,13,Lucas Glover,10,1031121
13,14,14,K.J. Choi,8,1019350
14,15,15,Jason Bohn,9,992028
15,16,16,Tom Pernice Jr.,11,981039
16,17,17,Charles Howell III,11,977477
17,18,18,Chad Campbell,8,952153
18,19,19,Shigeki Maruyama,11,942998
19,20,20,Davis Love III,8,942383
20,21,21,John Daly,7,879583
21,22,22,Brad Faxon,4,873063
22,23,23,Jason Gore,7,850860
23,24,24,Justin Rose,9,849881
24,25,25,"Wes Short, Jr.",7,844688
25,26,26,Tim Herron,9,837519
26,27,27,Jeff Brehaut,10,801640
27,28,28,Jim Furyk,6,778850
28,29,29,Heath Slocum,9,762876
29,30,30,Robert Gamez,8,749892
30,31,31,Tim Clark,9,746425
31,32,32,Sergio Garcia,6,721717
32,33,33,Ryan Palmer,10,721103
33,34,34,Stuart Appleby,10,702674
34,35,35,Harrison Frazar,9,680152
35,36,36,Ryan Moore,8,665270
36,37,37,Steve Elkington,6,647500
37,38,38,Ted Purdy,9,642345
38,39,39,Scott Verplank,7,639517
39,40,40,Bo Van Pelt,10,631916
40,41,41,David Toms,7,607350
41,42,42,Jerry Kelly,11,601297
42,43,43,Carlos Franco,7,593480
43,44,44,Tag Ridings,12,585024
44,45,45,Kenny Perry,5,580950
45,46,46,Thomas Bjørn,3,572000
46,47,47,Steve Lowery,10,569331
47,48,48,Joey Sindelar,8,546745
48,49,49,Geoff Ogilvy,7,521848
49,50,50,Sean O'Hair,9,517750
50,51,51,Tjaart van der Walt,10,514560
51,52,52,Woody Austin,9,512353
52,53,53,Rod Pampling,9,507358
53,54,54,Stewart Cink,8,495545
54,55,55,Luke Donald,5,493117
55,56,56,Mark Wilson,11,488446
56,57,57,John Huston,12,462564
57,58,58,Hidemichi Tanaka,12,445432
58,59,59,Jesper Parnevik,8,420810
59,60,60,Justin Leonard,8,419415
60,61,61,Joey Snyder III,10,409843
61,62,62,Stephen Ames,7,395361
62,63,63,Billy Mayfair,10,387465
63,64,64,Adam Scott,6,378313
64,65,65,J.J. Henry,10,370957
65,66,66,Jonathan Byrd,10,351077
66,67,67,Daniel Chopra,10,349039
67,68,68,Jonathan Kaye,7,348476
68,69,69,Darron Stiles,11,346597
69,70,70,Fred Couples,8,345133
70,71,71,Pat Perez,8,337358
71,72,72,Tim Petrovic,12,336749
72,73,73,Dean Wilson,10,333843
73,74,74,Kent Jones,12,333668
74,75,75,Cameron Beckman,11,330170
75,76,76,Steve Flesch,9,329530
76,77,77,Zach Johnson,8,328922
77,78,78,Padraig Harrington,5,327325
78,79,79,Scott Gutschewski,11,327278
79,80,80,Craig Barlow,9,324325
80,81,81,Bob Heintz,10,322796
81,82,82,Dudley Hart,9,314236
82,83,83,Marco Dawson,9,306769
83,84,84,Charles Warren,10,298840
84,85,85,Fred Funk,8,293893
85,86,86,Hank Kuehne,7,287726
86,87,87,Todd Fischer,12,286431
87,88,88,Loren Roberts,4,282000
88,89,89,Rocco Mediate,9,277978
89,90,90,Nick Watney,10,277070
90,91,91,Rich Beem,8,261514
91,92,92,Trevor Immelman,6,261320
92,93,93,Joe Ogilvie,10,257412
93,94,94,Briny Baird,12,257189
94,95,95,J.L. Lewis,8,243680
95,96,96,Tom Lehman,7,235048
96,97,97,Ben Curtis,8,232245
97,98,98,Michael Putnam,4,229733
98,99,99,Steve Allan,11,219292
99,100,100,Mike Weir,6,216996
100,101,101,John Rollins,10,216898
101,102,102,Jeff Maggert,9,207686
102,103,103,Robert Allenby,10,203895
103,104,104,Tommy Armour III,10,203105
104,105,105,Lee Westwood,5,202349
105,106,106,Michael Campbell,3,201500
106,107,107,Will MacKenzie,11,201277
107,108,108,José María Olazábal,4,200671
108,109,109,D.J. Trahan,10,200423
109,110,110,Aaron Baddeley,9,200023
110,111,111,Peter Lonard,8,198818
111,112,112,Brett Wetterich,10,195695
112,113,113,Rory Sabbatini,8,181515
113,114,114,Bob Estes,7,177831
114,115,115,Patrick Sheehan,12,175255
115,116,116,John Senden,8,175190
116,117,117,Scott McCarron,8,174871
117,118,118,Corey Pavin,5,174490
118,119,119,Chris Smith,10,173363
119,120,120,Frank Lickliter II,11,171530
120,121,121,Glen Day,9,169691
121,122,122,Paul Gow,11,166416
122,123,123,Bob Tway,8,164591
123,124,124,Phillip Price,9,162363
124,125,125,Arjun Atwal,5,160888
125,126,126,Duffy Waldorf,11,154362
126,127,127,Mathias Grönberg,8,153158
127,128,128,Matt Kuchar,7,152996
128,129,129,Charlie Wi,9,150369
129,130,130,Billy Andrade,8,149500
130,131,131,Ian Poulter,4,148371
131,132,132,D.A. Points,11,145322
132,133,133,Shaun Micheel,9,144419
133,134,134,Brian Davis,8,142656
134,135,135,J.P. Hayes,8,142324
135,136,136,Brian Bateman,11,140193
136,137,137,Kevin Sutherland,9,137950
137,138,138,Greg Owen,9,130585
138,139,139,Jay Delsing,5,128620
139,140,140,Bernhard Langer,2,126671
140,141,141,Stephen Leaney,9,126607
141,142,142,Freddie Jacobson,4,124917
142,143,143,Hunter Haas,10,120910
143,144,144,D.J. Brigman,10,120811
144,145,145,Alex Cejka,11,117555
145,146,146,Kevin Na,10,116807
146,147,147,Brian Gay,11,116323
147,148,148,Dan Forsman,7,110761
148,149,149,Jeff Sluman,8,109319
149,150,150,Paul Claxton,10,107530
150,151,151,John Cook,8,105144
151,152,152,Brenden Pappas,6,103636
152,153,153,Spike McRoy,2,103499
153,154,154,Doug Barron,7,102652
154,155,155,Gavin Coles,9,98214
155,156,156,Joe Durant,8,97213
156,157,157,Tom Gillis,10,96425
157,158,158,Mario Tiziani,8,96346
158,159,159,Michael Allen,11,95700
159,160,160,Mark Hensby,4,95623
160,161,161,Neal Lancaster,11,93467
161,162,162,Robert Damron,8,90380
162,163,163,Paul Casey,2,90343
163,164,164,Franklin Langham,10,87434
164,165,165,Tom Byrum,9,86355
165,166,166,Darren Clarke,3,85699
166,167,167,Brent Geiberger,10,81199
167,168,168,Jay Haas,3,77000
168,169,169,Hunter Mahan,12,73332
169,170,170,Omar Uresti,9,71118
170,171,171,Chris Riley,9,68384
171,172,172,Spencer Levin,2,67882
172,173,173,Chris Anderson,11,67210
173,174,174,Kevin Stadler,10,66756
174,175,175,David Peoples,5,66650
175,176,176,Lee Janzen,11,63478
176,177,177,Jeff Hart,9,63323
177,178,178,Craig Bowden,5,59790
178,179,179,Paul Azinger,8,59730
179,T180,T180,Shingo Katayama,1,56400
