,Presidents_Cup_International_RANK THIS WEEK,Presidents_Cup_International_RANK LAST WEEK,Presidents_Cup_International_PLAYER NAME,Presidents_Cup_International_EVENTS,Presidents_Cup_International_AVG POINTS,Presidents_Cup_International_TOTAL POINTS,Presidents_Cup_International_POINTS LOST,Presidents_Cup_International_POINTS GAINED
0,1,1,Vijay Singh,64,11.89,760.74,-448.9,442.03
1,2,2,Ernie Els,52,9.23,480.07,-336.93,235.03
2,3,3,Retief Goosen,52,8.29,430.86,-218.63,253.34
3,4,4,Adam Scott,52,5.7,296.63,-130.31,201.96
4,5,5,Ángel Cabrera,40,5.2,207.93,-57.07,140.48
5,6,6,Tim Clark,55,4.24,233.32,-74.92,209.1
6,7,7,Michael Campbell,51,4.13,210.84,-48.9,180.9
7,8,8,Stuart Appleby,54,3.49,188.63,-145.8,97.46
8,9,9,Mike Weir,47,3.33,156.48,-156.8,75.78
9,10,10,Nick O'Hern,54,3.26,176.3,-62.82,116.63
10,11,11,Mark Hensby,57,3.24,184.9,-65.19,112.11
11,12,12,Peter Lonard,64,2.95,188.68,-89.59,113.08
12,13,13,K.J. Choi,63,2.65,167.01,-113.65,77.43
13,14,14,Shigeki Maruyama,54,2.62,141.72,-90.52,67.96
14,15,15,Stephen Ames,54,2.59,139.87,-93.6,39.43
15,16,16,Rod Pampling,54,2.56,138.04,-67.63,78.79
16,17,17,Geoff Ogilvy,56,2.48,138.89,-63.71,103.55
17,18,18,Rory Sabbatini,51,2.47,125.99,-69.21,50.67
18,19,19,Steve Elkington,40,2.44,97.53,-9.01,94.56
19,20,20,Craig Parry,47,2.3,108.15,-50.93,79.11
20,21,21,Richard Green,53,2.26,119.86,-46.8,53.9
21,22,22,Trevor Immelman,57,2.18,124.23,-74.6,69.58
22,23,23,Robert Allenby,64,2.09,133.5,-88.83,61.69
23,24,24,S.K. Ho,45,1.71,77.06,-34.77,45.1
24,25,25,Nick Price,40,1.71,68.25,-61.47,43.8
25,26,26,Shingo Katayama,55,1.65,90.48,-59.4,35.87
26,27,27,Thongchai Jaidee,46,1.63,74.98,-32.56,45.0
27,28,28,Stephen Leaney,51,1.44,73.19,-57.41,35.54
28,29,29,Richard Sterne,56,1.38,77.12,-24.75,62.08
29,30,30,Carlos Franco,56,1.34,74.88,-53.65,24.78
30,31,31,Toru Taniguchi,56,1.31,73.6,-41.01,16.17
31,32,32,Y.E. Yang,45,1.29,58.02,-26.17,17.53
32,33,33,David Smail,52,1.28,66.4,-33.44,25.71
33,34,34,Jyoti Randhawa,51,1.26,64.08,-35.25,26.71
34,35,35,Paul Sheehan,54,1.24,66.88,-36.11,28.48
35,36,36,Steven Conran,52,1.24,64.39,-29.57,27.49
36,37,37,Ryoken Kawagishi,53,1.2,63.71,-20.32,30.78
37,38,38,Keiichiro Fukabori,55,1.17,64.29,-35.0,32.69
38,39,39,Hiroyuki Fujita,53,1.05,55.57,-25.81,33.34
39,40,40,Peter O'Malley,51,1.04,52.79,-28.01,28.51
40,41,41,Joe Ozaki,44,1.01,44.29,-18.54,36.43
41,42,42,Aaron Baddeley,56,1.01,56.34,-26.9,45.14
42,43,43,Tadahiro Takayama,51,0.97,49.51,-16.27,41.35
43,44,44,John Senden,65,0.96,62.47,-30.26,40.55
44,45,45,Tetsuji Hiratsuka,57,0.95,54.08,-38.62,22.64
45,46,46,Terry Pilkadaris,40,0.94,37.59,-11.74,17.17
