,Ryder_Cup_Points_RANK THIS WEEK,Ryder_Cup_Points_RANK LAST WEEK,Ryder_Cup_Points_PLAYER NAME,Ryder_Cup_Points_EVENTS,Ryder_Cup_Points_POINTS
51,52,52,Brent Geiberger,31,95.0
52,53,53,Arron Oberholser,28,92.5
53,54,54,Joey Sindelar,38,91.25
54,55,55,John Daly,31,90.0
55,56,56,Dean Wilson,38,89.25
56,57,57,Todd Fischer,44,83.125
57,T58,T58,J.L. Lewis,39,81.25
58,T58,T58,Jeff Sluman,34,81.25
59,60,60,Bob Tway,32,80.0
60,61,61,Robert Gamez,36,78.75
61,62,62,Jason Gore,8,75.0
62,T63,T63,Ben Curtis,28,70.0
63,T63,T63,John Rollins,38,70.0
64,T63,T63,Patrick Sheehan,43,70.0
65,66,66,Michael Allen,39,69.667
66,T67,T67,Rich Beem,32,67.5
67,T67,T67,Jonathan Byrd,39,67.5
68,T67,T67,J.P. Hayes,30,67.5
69,T67,T67,Chris Smith,42,67.5
70,71,71,Charles Warren,31,66.0
71,72,72,Mark Wilson,33,65.167
72,73,73,Doug Barron,24,65.0
73,74,74,Joey Snyder III,31,60.833999999999996
74,T75,T75,Tommy Armour III,37,60.0
75,T75,T75,Corey Pavin,30,60.0
76,77,77,Robert Damron,36,57.5
77,T78,T78,Cameron Beckman,41,55.0
78,T78,T78,Brett Quigley,40,55.0
79,80,80,Briny Baird,40,52.727
80,81,81,Kirk Triplett,24,51.875
81,82,82,James Driscoll,26,45.0
82,83,83,Ryan Moore,15,42.5
83,84,84,Steve Lowery,39,38.5
84,T85,T85,Billy Andrade,35,37.5
85,T85,T85,Dudley Hart,36,37.5
86,87,87,Glen Day,38,35.5
87,T88,T88,Steve Flesch,38,35.0
88,T88,T88,Brian Gay,44,35.0
89,T88,T88,Steve Stricker,29,35.0
90,T88,T88,Roland Thatcher,35,35.0
91,92,92,Paul Goydos,17,32.5
92,93,93,Matt Gogel,34,32.083
93,T94,T94,Lee Janzen,33,30.0
94,T94,T94,Shaun Micheel,37,30.0
95,T94,T94,Michael Putnam,5,30.0
96,97,97,Kevin Sutherland,33,28.958000000000002
97,T98,T98,Bob Heintz,24,27.5
98,T98,T98,Dicky Pride,14,27.5
99,T98,T98,Nick Watney,31,27.5
100,101,101,John Huston,35,26.333000000000002
101,T102,T102,Frank Lickliter II,40,25.0
102,T102,T102,Andrew Magee,29,25.0
103,104,104,Brett Wetterich,28,21.0
104,105,105,Todd Hamilton,35,20.0
105,106,106,Jay Haas,21,19.375
106,T107,T107,Scott Dunlap,4,17.5
107,T107,T107,Omar Uresti,35,17.5
108,T107,T107,Duffy Waldorf,35,17.5
109,110,110,Jay Williamson,25,16.0
110,111,111,John Cook,31,15.0
111,112,112,D.J. Trahan,28,14.667
112,113,113,Jeff Maggert,27,14.334000000000001
113,114,114,Spike McRoy,22,13.75
114,115,115,Danny Ellis,16,12.5
115,116,116,Neal Lancaster,40,10.833
116,117,117,Bob Estes,30,10.0
117,118,118,Jay Delsing,19,9.75
118,119,119,Kent Jones,42,9.333
119,T120,T120,Craig Barlow,34,7.5
120,T120,T120,Will MacKenzie,25,7.5
121,122,122,Darron Stiles,26,6.875
122,123,123,Bill Haas,10,5.0
123,124,124,Dennis Paulson,29,4.0
124,T125,T125,Tom Byrum,32,3.75
125,T125,T125,Jason Dufner,10,3.75
126,T125,T125,Craig Stadler,6,3.75
127,128,128,Kevin Stadler,33,3.542
128,T129,T129,Chris Anderson,25,3.0
129,T129,T129,Ken Duke,10,3.0
130,131,131,Danny Briggs,39,1.875
131,132,132,Matt Kuchar,31,1.666
132,T133,T133,Pat Bates,9,1.25
133,T133,T133,Jaxon Brigman,2,1.25
134,T133,T133,Mark Brooks,39,1.25
135,T133,T133,Chris Couch,10,1.25
136,T133,T133,Scott Simpson,15,1.25
137,T138,T138,Marco Dawson,23,1.0
138,T138,T138,Hunter Haas,28,1.0
