,Official_World_Golf_Ranking_RANK THIS WEEK,Official_World_Golf_Ranking_RANK LAST WEEK,Official_World_Golf_Ranking_PLAYER NAME,Official_World_Golf_Ranking_EVENTS,Official_World_Golf_Ranking_AVG POINTS,Official_World_Golf_Ranking_TOTAL POINTS,Official_World_Golf_Ranking_POINTS LOST,Official_World_Golf_Ranking_POINTS GAINED,Official_World_Golf_Ranking_COUNTRY
0,1,,Tiger Woods,44,17.39,765.34,-471.09,772.44,USA
1,2,,Vijay Singh,63,10.06,633.93,-648.21,514.53,FIJ
2,3,,Phil Mickelson,45,8.4,377.99,-328.04,369.93,USA
3,4,,Retief Goosen,52,8.02,416.84,-333.51,354.2,RSA
4,5,,Ernie Els,46,7.88,362.56,-474.45,255.03,RSA
5,6,,Sergio Garcia,46,7.38,339.37,-216.26,296.4,ESP
6,7,,Jim Furyk,41,5.91,242.43,-170.55,272.13,USA
7,8,,Adam Scott,50,5.07,253.3,-217.09,245.42,AUS
8,9,,Colin Montgomerie,56,4.86,271.89,-100.16,282.9,SCO
9,10,,Chris DiMarco,51,4.69,239.38,-193.7,224.69,USA
10,11,,Kenny Perry,46,4.68,215.21,-190.94,233.3,USA
11,12,,Ángel Cabrera,42,4.53,190.1,-114.55,180.13,ARG
12,13,,David Howell,52,4.52,234.92,-119.69,217.4,ENG
13,14,,Luke Donald,53,4.52,239.33,-158.22,226.91,ENG
14,15,,Michael Campbell,53,4.51,239.24,-89.47,249.88,NZL
15,16,,David Toms,49,4.34,212.87,-194.8,235.82,USA
16,17,,Padraig Harrington,51,4.33,220.83,-226.76,170.32,IRL
17,18,,Darren Clarke,50,4.09,204.57,-212.83,177.19,NIR
18,19,,Davis Love III,48,3.98,190.94,-239.95,177.87,USA
19,20,,Tim Clark,57,3.8,216.35,-119.84,237.04,RSA
20,21,,Paul McGinley,52,3.67,190.61,-91.24,186.26,IRL
21,22,,Bart Bryant,52,3.48,181.1,-55.35,193.07,USA
22,23,,Thomas Bjørn,52,3.45,179.63,-146.77,164.19,DEN
23,24,,Nick O'Hern,56,3.39,189.72,-112.75,179.98,AUS
24,25,,Fred Couples,42,3.33,139.71,-115.0,138.04,USA
25,26,,Stewart Cink,55,3.32,182.72,-202.32,115.13,USA
26,27,,José María Olazábal,55,3.3,181.75,-77.43,188.66,ESP
27,28,,Scott Verplank,49,3.3,161.86,-151.97,144.97,USA
28,29,,John Daly,50,3.07,153.67,-100.93,134.07,USA
29,30,,Stuart Appleby,58,2.99,173.6,-210.88,147.51,AUS
30,31,,K.J. Choi,61,2.95,179.83,-167.67,144.27,KOR
31,32,,Henrik Stenson,52,2.9,150.54,-58.94,151.33,SWE
32,33,,Justin Leonard,50,2.87,143.69,-125.8,145.08,USA
33,34,,Ben Crane,48,2.86,137.37,-70.35,139.08,USA
34,35,,Mark Hensby,55,2.85,156.95,-104.09,123.06,AUS
35,36,,Chad Campbell,55,2.85,156.76,-185.0,145.46,USA
36,37,,Robert Allenby,67,2.8,187.29,-135.69,162.34,AUS
37,38,,Sean O'Hair,40,2.74,109.75,-22.15,131.9,USA
38,39,,Fred Funk,59,2.71,159.97,-127.1,155.92,USA
39,40,,Shingo Katayama,52,2.7,140.44,-88.9,115.33,JPN
40,41,,Tom Lehman,42,2.66,111.57,-86.51,106.81,USA
41,42,,Shigeki Maruyama,56,2.63,147.42,-137.94,121.08,JPN
42,43,,Lee Westwood,53,2.62,138.7,-137.31,93.19,ENG
43,44,,Miguel Angel Jiménez,56,2.61,146.14,-166.68,92.54,ESP
