,Last_5_Events_-_Putting_RANK THIS WEEK,Last_5_Events_-_Putting_RANK LAST WEEK,Last_5_Events_-_Putting_PLAYER NAME,Last_5_Events_-_Putting_EVENTS,Last_5_Events_-_Putting_RATING
0,T1,T1,Doug Barron,1,9.5
1,T1,T1,Gabriel Hjertstedt,1,9.5
2,3,T18,Tiger Woods,2,9.4
3,4,3,Esteban Toledo,1,9.2
4,T5,T4,Tom Byrum,1,9.1
5,T5,T4,Bob Heintz,3,9.1
6,T5,T4,Rob Rashell,1,9.1
7,T8,T7,Kazuhiko Hosokawa,1,9.0
8,T8,T7,Jim Rutledge,1,9.0
9,T10,T9,James Driscoll,2,8.9
10,T10,T9,Kelly Grunewald,1,8.9
11,T10,T9,Larry Mize,2,8.9
12,T10,T9,Steve Stricker,1,8.9
13,14,13,Brian Henninger,1,8.8
14,T15,T14,Justin Bolli,2,8.7
15,T15,T14,John Daly,2,8.7
16,T15,T14,Brad Faxon,3,8.7
17,T15,T14,Hunter Mahan,1,8.7
18,T19,T18,Craig Bowden,3,8.6
19,T19,T18,K.J. Choi,2,8.6
20,T19,T83,Tim Clark,2,8.6
21,T19,T18,Gavin Flint,1,8.6
22,T19,T18,José María Olazábal,2,8.6
23,T19,T18,Ted Tryba,1,8.6
24,T19,T18,Mike Weir,2,8.6
25,T26,T25,Jay Haas,1,8.5
26,T26,T25,Jason Hartwick,1,8.5
27,T26,T25,Joel Kribel,2,8.5
28,T26,T25,Matt Kuchar,2,8.5
29,T26,T25,Pat Perez,2,8.5
30,T26,T25,Hal Sutton,1,8.5
31,T26,T25,Bob Tway,3,8.5
32,T33,T33,John Cook,1,8.4
33,T33,T33,Nick Faldo,1,8.4
34,T33,T33,Robert Gamez,5,8.4
35,T33,T33,Glen Hnatiuk,1,8.4
36,T33,T33,Wayne Levi,2,8.4
37,T33,T33,Graeme McDowell,2,8.4
38,T33,T33,Dennis Paulson,1,8.4
39,T33,T33,Loren Roberts,2,8.4
40,T33,T33,Kevin Sutherland,1,8.4
41,T33,T33,Y.E. Yang,1,8.4
42,T43,T43,Stewart Cink,4,8.3
43,T43,T43,Marco Dawson,4,8.3
44,T43,T43,Danny Ellis,3,8.3
45,T43,T43,Stephen Gangluff,1,8.3
46,T43,T43,Freddie Jacobson,1,8.3
47,T43,T43,Rocco Mediate,4,8.3
48,T43,T43,Kevin Na,2,8.3
49,T43,T43,Tom Pernice Jr.,5,8.3
50,T43,T43,"Wes Short, Jr.",4,8.3
51,T43,T43,Jeff Sluman,3,8.3
52,T43,T43,Mario Tiziani,2,8.3
53,T54,T54,Woody Austin,4,8.2
54,T54,T54,Aaron Baddeley,4,8.2
55,T54,T54,Brian Bateman,2,8.2
56,T54,T54,Colby Beckstrom,1,8.2
57,T54,T54,Erik Compton,2,8.2
58,T54,T54,Chris Couch,1,8.2
59,T54,T54,Ben Crane,4,8.2
60,T54,T54,Brad Fabel,1,8.2
61,T54,T54,Kenneth Ferrie,2,8.2
62,T54,T54,Lucas Glover,5,8.2
