,Putting_Rating_RANK THIS WEEK,Putting_Rating_RANK LAST WEEK,Putting_Rating_PLAYER NAME,Putting_Rating_EVENTS,Putting_Rating_RATING
0,1,1,David Frost,2,9.3
1,2,2,Kazuhiko Hosokawa,1,9.0
2,T3,T3,Kelly Grunewald,1,8.9
3,T3,T3,Esteban Toledo,2,8.9
4,5,5,Brian Henninger,1,8.8
5,T6,T6,Gavin Flint,1,8.6
6,T6,T6,Ted Tryba,1,8.6
7,T8,T8,Erik Compton,1,8.5
8,T8,T8,James Driscoll,11,8.5
9,T8,T8,Brad Faxon,12,8.5
10,T8,T8,Todd Fischer,16,8.5
11,T8,T8,Jason Hartwick,1,8.5
12,T8,T8,Bob Heintz,9,8.5
13,T8,T8,John Riegger,2,8.5
14,T8,T8,Chris Riley,7,8.5
15,T16,T16,Michael Allen,14,8.4
16,T16,T16,Justin Bolli,10,8.4
17,T16,T16,Joel Kribel,1,8.4
18,T16,T16,Wayne Levi,1,8.4
19,T16,T16,Len Mattiace,10,8.4
20,T16,T16,Ryan Moore,8,8.4
21,T16,T16,Joe Ogilvie,17,8.4
22,T16,T16,Craig Stadler,4,8.4
23,T16,T16,Steve Stricker,10,8.4
24,T16,T16,Y.E. Yang,1,8.4
25,T26,T26,Aaron Baddeley,16,8.3
26,T26,T26,Ben Crane,16,8.3
27,T26,T26,Stephen Gangluff,1,8.3
28,T26,T26,Spike McRoy,4,8.3
29,T26,T26,Charlie Wi,11,8.3
30,T26,T26,Tiger Woods,14,8.3
31,T32,T32,Colby Beckstrom,1,8.2
32,T32,T32,Craig Bowden,6,8.2
33,T32,T32,Darren Clarke,8,8.2
34,T32,T32,José Coceres,7,8.2
35,T32,T32,Chris Couch,1,8.2
36,T32,T32,Brad Fabel,1,8.2
37,T32,T32,Kenneth Ferrie,2,8.2
38,T32,T32,Brian Gay,18,8.2
39,T32,T32,Tim Herron,19,8.2
40,T32,T32,John Ray Leary,1,8.2
41,T32,T32,Steve Marino,1,8.2
42,T32,T32,Corey Pavin,13,8.2
43,T32,T32,Ben Portie,1,8.2
44,T32,T32,Phillip Price,12,8.2
45,T32,T32,Dicky Pride,2,8.2
46,T32,T32,Bob Sowards,2,8.2
47,T32,T32,Mark Wilson,11,8.2
48,T32,T32,Don Yrene,1,8.2
49,T50,T50,Chris Anderson,7,8.1
50,T50,T50,Billy Andrade,16,8.1
