,FedExCup_Standings_RANK THIS WEEK,FedExCup_Standings_RANK LAST WEEK,FedExCup_Standings_PLAYER NAME,FedExCup_Standings_EVENTS,FedExCup_Standings_POINTS,FedExCup_Standings_# OF WINS,FedExCup_Standings_# OF TOP 10'S,FedExCup_Standings_POINTS BEHIND LEAD,FedExCup_Standings_RESET POINTS
0,1,1,Justin Thomas,25,3000,5.0,12.0,,1800.0
1,2,2,Jordan Spieth,23,2340,3.0,12.0,660.0,2000.0
2,3,3,Xander Schauffele,28,2151,2.0,4.0,849.0,151.0
3,4,4,Dustin Johnson,20,1720,4.0,8.0,1280.0,1520.0
4,5,5,Jon Rahm,23,1620,1.0,11.0,1380.0,1280.0
5,6,6,Marc Leishman,25,1441,2.0,7.0,1559.0,1296.0
6,7,7,Rickie Fowler,21,1253,1.0,10.0,1747.0,1120.0
7,8,8,Hideki Matsuyama,22,1093,3.0,7.0,1907.0,960.0
8,9,9,Justin Rose,18,1080,,8.0,1920.0,800.0
9,10,10,Brooks Koepka,24,1040,1.0,7.0,1960.0,640.0
10,11,11,Paul Casey,24,920,,9.0,2080.0,480.0
11,12,12,Kevin Kisner,28,901,1.0,8.0,2099.0,251.0
12,13,13,Russell Henley,27,792,1.0,5.0,2208.0,142.0
13,14,14,Matt Kuchar,26,648,,9.0,2352.0,368.0
14,15,15,Pat Perez,26,596,1.0,6.0,2404.0,384.0
15,16,16,Daniel Berger,26,556,1.0,6.0,2444.0,336.0
16,17,17,Webb Simpson,28,527,,6.0,2473.0,293.0
17,18,18,Jason Day,20,514,,5.0,2486.0,314.0
18,19,19,Tony Finau,29,510,,8.0,2490.0,170.0
19,20,20,Charley Hoffman,31,473,,7.0,2527.0,352.0
20,21,21,Sergio Garcia,17,441,1.0,3.0,2559.0,161.0
21,22,22,Patrick Reed,29,416,,4.0,2584.0,182.0
22,23,23,Jhonattan Vegas,29,384,1.0,4.0,2616.0,272.0
23,24,24,Kyle Stanley,29,366,1.0,5.0,2634.0,194.0
24,25,25,Brian Harman,30,364,1.0,7.0,2636.0,219.0
25,26,26,Adam Hadwin,28,362,1.0,5.0,2638.0,206.0
26,27,27,Kevin Chappell,27,352,1.0,5.0,2648.0,231.0
27,28,28,Gary Woodland,26,321,,5.0,2679.0,133.0
28,29,29,Patrick Cantlay,13,296,,4.0,2704.0,124.0
29,30,30,Jason Dufner,24,287,1.0,2.0,2713.0,115.0
30,31,31,Louis Oosthuizen,18,1321,,4.0,4960.0,
31,32,32,Henrik Stenson,15,1306,1.0,3.0,4975.0,
32,33,33,Brendan Steele,25,1292,1.0,4.0,4989.0,
33,34,34,Phil Mickelson,22,1268,,5.0,5013.0,
34,35,35,Bill Haas,25,1260,,4.0,5021.0,
35,36,36,Mackenzie Hughes,31,1257,1.0,2.0,5024.0,
36,37,37,Francesco Molinari,21,1247,,5.0,5034.0,
37,38,38,Hudson Swafford,28,1244,1.0,4.0,5037.0,
38,39,39,Chez Reavie,28,1151,,4.0,5130.0,
39,40,40,Charles Howell III,23,1134,,5.0,5147.0,
40,41,41,Wesley Bryan,28,1092,1.0,5.0,5189.0,
41,42,42,Billy Horschel,28,1086,1.0,4.0,5195.0,
