,Ryder_Cup_Points_RANK THIS WEEK,Ryder_Cup_Points_RANK LAST WEEK,Ryder_Cup_Points_PLAYER NAME,Ryder_Cup_Points_EVENTS,Ryder_Cup_Points_POINTS
0,1,,Brooks Koepka,8,3064.825
1,2,,Justin Thomas,8,2509.723
2,3,,Jordan Spieth,8,2365.4120000000003
3,4,,Matt Kuchar,8,2097.466
4,5,,Dustin Johnson,7,1999.906
5,6,,Rickie Fowler,7,1286.937
6,7,,Brian Harman,5,1247.8519999999999
7,8,,Patrick Reed,8,1118.286
8,9,,Bill Haas,8,904.3969999999999
9,10,,Charley Hoffman,6,890.709
10,11,,Zach Johnson,8,877.2539999999999
11,12,,Kevin Chappell,8,651.087
12,13,,Ryan Moore,7,591.809
13,14,,Xander Schauffele,4,586.5840000000001
14,15,,Kevin Kisner,8,581.317
15,16,,Brendan Steele,8,557.376
16,17,,Brandt Snedeker,4,510.111
17,18,,J.B. Holmes,8,490.726
18,19,,Russell Henley,6,429.473
19,20,,Steve Stricker,5,424.845
20,21,,Phil Mickelson,7,411.55800000000005
21,22,,Pat Perez,8,360.048
22,23,,Jason Dufner,8,319.868
23,24,,Jimmy Walker,8,295.187
24,25,,William McGirt,7,294.112
25,26,,Daniel Berger,8,285.53
26,27,,Trey Mullinax,1,279.524
27,28,,Kyle Stanley,4,262.5
28,29,,Chez Reavie,3,257.788
29,30,,Webb Simpson,6,251.798
30,31,,Chris Stroud,1,250.0
31,32,,Gary Woodland,8,238.435
32,33,,Jamie Lovemark,4,228.149
33,34,,Bubba Watson,8,223.25
34,35,,Lucas Glover,3,216.96900000000002
35,36,,James Hahn,4,216.16299999999998
36,37,,Kevin Na,7,208.49
37,38,,Jim Furyk,6,166.75599999999997
38,39,,Scott Brown,2,160.0
39,40,,Fred Couples,1,148.5
40,T41,,Smylie Kaufman,1,106.31299999999999
41,T41,,Chris Kirk,2,106.31299999999999
42,43,,Grayson Murray,2,98.617
43,44,,Charles Howell III,3,98.25
44,45,,Tony Finau,3,96.625
45,46,,Sean O'Hair,6,94.56299999999999
46,47,,Patrick Cantlay,2,93.069
47,48,,Daniel Summerhays,4,91.419
48,49,,Robert Streb,3,89.167
49,50,,Keegan Bradley,3,82.641
50,51,,Hudson Swafford,4,77.333
51,52,,Blayne Barber,1,76.125
52,53,,Jason Kokrak,3,73.65899999999999
53,54,,Bryson DeChambeau,4,70.75
54,55,,Brian Stuard,3,62.756
55,56,,Scott Piercy,5,60.0
56,57,,Michael Putnam,1,58.637
57,58,,Jim Herman,2,57.456
58,59,,Harold Varner III,2,50.956
59,60,,Billy Horschel,5,47.838
60,61,,Bud Cauley,2,47.0
61,62,,Jonathan Randolph,1,44.975
62,63,,Roberto Castro,5,41.313
63,T64,,Stewart Cink,2,35.484
64,T64,,Harris English,2,35.484
65,66,,Cody Gribble,2,34.156
66,67,,Ben Martin,1,32.603
67,68,,Peter Uihlein,3,31.07
68,69,,Wesley Bryan,5,30.0
69,70,,Larry Mize,1,27.72
70,71,,Ryan Brehm,1,26.659000000000002
71,72,,Cameron Tringale,1,25.331
72,73,,D.A. Points,2,22.875
73,74,,Kent Bulle,1,22.85
74,75,,Kelly Kraft,1,21.8
75,76,,Omar Uresti,1,19.25
76,77,,Billy Hurley III,2,18.375
77,78,,Boo Weekley,1,13.356
78,79,,Michael Kim,1,11.34
79,80,,Ricky Barnes,1,10.868
80,81,,Kevin Streelman,1,10.185
81,82,,Ben Crane,1,9.45
