,Ryder_Cup_World_Points_RANK THIS WEEK,Ryder_Cup_World_Points_RANK LAST WEEK,Ryder_Cup_World_Points_PLAYER NAME,Ryder_Cup_World_Points_POINTS
0,1,,Henrik Stenson,380.31
1,2,,Rory McIlroy,319.97
2,3,,Danny Willett,271.99
3,4,,Sergio Garcia,207.95
4,5,,Rafa Cabrera Bello,179.42
5,6,,Justin Rose,173.09
6,7,,Chris Wood,163.06
7,8,,Andy Sullivan,153.8
8,9,,Matthew Fitzpatrick,153.58
9,10,,Russell Knox,141.22
10,11,,Thomas Pieters,141.18
11,12,,Søren Kjeldsen,121.19
12,13,,Martin Kaymer,120.9
13,14,,Lee Westwood,117.67
14,15,,Tyrrell Hatton,114.35
15,16,,Thorbjørn Olesen,111.48
16,17,,Shane Lowry,109.28
17,18,,Francesco Molinari,104.64
18,19,,Graeme McDowell,103.63
19,20,,Alex Noren,96.93
20,21,,Luke Donald,93.15
21,22,,Joost Luiten,91.74
22,23,,Rikard Karlberg,88.02
23,24,,Jamie Donaldson,82.5
24,25,,Andrew Johnston,80.93
25,26,,Bernd Wiesberger,76.69
26,27,,Victor Dubuisson,75.55
27,28,,Lee Slattery,71.37
28,29,,Lucas Bjerregaard,71.33
29,30,,David Lingmerth,70.51
30,31,,Bradley Dredge,70.02
31,32,,Grégory Bourdy,68.62
32,33,,Ross Fisher,67.44
33,34,,Kristoffer Broberg,67.39
34,35,,Nicolas Colsaerts,60.03
35,36,,Freddie Jacobson,57.74
36,37,,Julien Quesne,56.48
37,38,,Anthony Wall,55.33
38,39,,Benjamin Hebert,50.87
39,40,,Rich Bland,48.98
40,41,,James Morrison,47.75
41,42,,Romain Wattel,46.9
42,43,,Ricardo Gouveia,45.33
43,44,,Jorge Campillo,45.19
44,45,,Padraig Harrington,42.75
45,46,,Graeme Storm,42.37
46,47,,Ian Poulter,42.14
47,48,,Alejandro Cañizares,40.31
48,49,,Alexander Levy,38.27
49,50,,Matthew Southgate,38.06
50,51,,Clément Sordet,36.86
51,52,,Maximilian Kieffer,36.66
52,53,,Callum Shinkwin,35.67
53,54,,David Howell,33.49
54,55,,Robert Rock,33.23
55,56,,Eduardo De La Riva,33.05
56,57,,Joakim Lagergren,32.7
57,58,,Johan Carlsson,32.53
58,59,,Bernard Ritthammer,32.35
59,60,,Peter Hanson,31.11
60,61,,Richie Ramsay,30.99
61,62,,Adrian Otaegui,30.98
62,63,,Tommy Fleetwood,30.9
63,64,,Nacho Elvira,30.55
64,65,,Jordan L Smith,30.41
65,66,,Pablo Larrazabal,30.37
66,67,,David Horsey,30.3
67,68,,Mikko Ilonen,30.3
68,69,,Romain Langasque,30.2
69,70,,Sebastien Gros,30.17
70,71,,Matt Wallace,29.75
71,72,,Alexander Knappe,29.39
72,73,,Damien Perrier,28.33
73,74,,David Drysdale,28.06
74,75,,Borja Virto Astudillo,26.3
75,76,,Nino Bertasio,25.79
76,77,,Paul Dunne,25.71
77,78,,Matteo Manassero,25.59
78,79,,Alexander Björk,25.11
79,80,,Gary Boyd,24.96
80,81,,Magnus Carlsson,24.83
81,82,,Christofer Blomstrand,24.38
82,83,,Espen Kofstad,24.28
83,84,,Pelle Edberg,24.28
84,85,,Marcel Siem,23.12
85,86,,Jeff Winther,23.12
86,87,,Raphael Jacquelin,23.1
87,88,,Michael Lorenzo-Vera,22.81
88,89,,Eddie Pepperell,22.67
89,90,,Sebastian Soderberg,22.36
90,91,,James Heath,22.32
91,92,,Joel Stalter,22.26
92,93,,Greg Owen,22.01
93,94,,Lasse Jensen,21.95
94,95,,Daniel Brooks,21.62
95,96,,Adrien Saddier,21.59
96,97,,Mikko Korhonen,21.44
97,98,,Pep Angles,21.29
98,99,,Oliver Fisher,21.25
99,100,,Joachim B Hansen,21.13
100,101,,Duncan Stewart,20.87
101,102,,Carlos Pigem,20.72
102,103,,Matthieu Pavon,20.44
103,104,,Tom Murray,20.09
104,105,,Ben Stow,19.84
105,106,,Miguel Angel Jiménez,19.81
106,107,,Robert Dinwiddie,19.6
107,108,,Darius Van Driel,19.23
108,109,,Ben Evans,19.08
109,110,,Chris Hanson,18.93
110,111,,Aaron Rai,18.62
111,112,,Ryan Evans,18.52
112,113,,Thomas Linard,18.46
113,114,,Craig Lee,17.79
114,115,,Marc Warren,17.57
115,116,,Richard McEvoy,17.11
116,117,,Jose-Filipe Lima,16.96
117,118,,Matt Ford,16.76
118,119,,Bjorn Akesson,16.76
119,120,,Max Orrin,16.7
120,121,,Thomas Bjørn,16.57
121,122,,Stephen Gallacher,16.26
122,123,,Grégory Havret,16.06
123,124,,Alvaro Quiros,15.94
124,125,,Antoine Schwartz,15.53
125,126,,Ross McGowan,15.43
126,127,,Renato Paratore,14.64
127,128,,Matteo Delpodio,14.55
128,129,,Clement Berardo,14.04
129,130,,Christopher Mivis,13.81
130,131,,Steven Tiley,13.59
131,132,,Gary Stal,13.58
132,133,,Daan Huizing,13.44
133,134,,Robert Karlsson,13.44
134,135,,Gary King,13.2
135,136,,Chris Paisley,13.19
136,137,,Matthew Nixon,12.63
137,138,,Garrick Porteous,12.53
138,139,,Seve Benson,12.08
139,140,,Oliver Farr,12.03
140,141,,Michael Hoey,11.68
