,Official_World_Golf_Ranking_RANK THIS WEEK,Official_World_Golf_Ranking_RANK LAST WEEK,Official_World_Golf_Ranking_PLAYER NAME,Official_World_Golf_Ranking_EVENTS,Official_World_Golf_Ranking_AVG POINTS,Official_World_Golf_Ranking_TOTAL POINTS,Official_World_Golf_Ranking_POINTS LOST,Official_World_Golf_Ranking_POINTS GAINED,Official_World_Golf_Ranking_COUNTRY
0,1,,Dustin Johnson,47,11.95,561.46,-304.42,417.83,USA
1,2,,Jordan Spieth,50,10.47,523.28,-315.45,428.51,USA
2,3,,Hideki Matsuyama,51,8.94,455.7,-218.69,284.99,JPN
3,4,,Justin Thomas,52,8.54,444.14,-149.08,386.47,USA
4,5,,Jon Rahm,40,7.88,315.06,-54.96,322.57,ESP
5,6,,Rory McIlroy,43,6.58,283.13,-252.53,122.65,NIR
6,7,,Jason Day,40,6.58,263.21,-301.93,128.56,AUS
7,8,,Rickie Fowler,50,6.55,327.37,-204.87,278.9,USA
8,9,,Henrik Stenson,47,6.47,304.23,-249.69,145.3,SWE
9,10,,Sergio Garcia,43,6.37,273.99,-150.7,221.11,ESP
10,11,,Brooks Koepka,49,6.03,295.61,-135.19,214.18,USA
11,12,,Matt Kuchar,52,5.65,293.56,-136.16,216.73,USA
12,13,,Justin Rose,45,5.56,250.02,-176.85,213.77,ENG
13,14,,Alex Noren,44,5.55,243.99,-106.98,136.87,SWE
14,15,,Paul Casey,49,5.38,263.81,-141.39,170.2,ENG
15,16,,Marc Leishman,52,5.19,269.96,-93.92,246.32,AUS
16,17,,Tommy Fleetwood,52,4.48,233.13,-67.57,225.22,ENG
17,18,,Francesco Molinari,48,4.41,211.55,-92.29,149.25,ITA
18,19,,Rafa Cabrera Bello,52,4.3,223.53,-109.58,151.84,ESP
19,20,,Patrick Reed,52,4.21,219.13,-177.87,128.71,USA
20,21,,Louis Oosthuizen,48,4.17,199.99,-127.25,151.14,RSA
21,22,,Adam Scott,45,4.04,181.83,-171.38,71.66,AUS
22,23,,Charley Hoffman,52,3.92,204.08,-81.47,182.16,USA
23,24,,Kevin Kisner,52,3.9,202.67,-113.27,186.77,USA
24,25,,Daniel Berger,52,3.8,197.49,-105.14,138.84,USA
