,FedExCup_Playoffs_Points_RANK THIS WEEK,FedExCup_Playoffs_Points_RANK LAST WEEK,FedExCup_Playoffs_Points_PLAYER NAME,FedExCup_Playoffs_Points_EVENTS,FedExCup_Playoffs_Points_POINTS,FedExCup_Playoffs_Points_# OF WINS,FedExCup_Playoffs_Points_# OF TOP 10'S,FedExCup_Playoffs_Points_POINTS BEHIND LEAD,FedExCup_Playoffs_Points_RESET POINTS
0,1,,Justin Thomas,25,3000,5.0,12.0,,1800.0
1,2,,Jordan Spieth,23,2340,3.0,12.0,660.0,2000.0
2,3,,Xander Schauffele,28,2151,2.0,4.0,849.0,151.0
3,4,,Dustin Johnson,20,1720,4.0,8.0,1280.0,1520.0
4,5,,Jon Rahm,23,1620,1.0,11.0,1380.0,1280.0
5,6,,Marc Leishman,25,1441,2.0,7.0,1559.0,1296.0
6,7,,Rickie Fowler,21,1253,1.0,10.0,1747.0,1120.0
7,8,,Hideki Matsuyama,22,1093,3.0,7.0,1907.0,960.0
8,9,,Justin Rose,18,1080,,8.0,1920.0,800.0
9,10,,Brooks Koepka,24,1040,1.0,7.0,1960.0,640.0
10,11,,Paul Casey,24,920,,9.0,2080.0,480.0
11,12,,Kevin Kisner,28,901,1.0,8.0,2099.0,251.0
12,13,,Russell Henley,27,792,1.0,5.0,2208.0,142.0
13,14,,Matt Kuchar,26,648,,9.0,2352.0,368.0
14,15,,Pat Perez,26,596,1.0,6.0,2404.0,384.0
15,16,,Daniel Berger,26,556,1.0,6.0,2444.0,336.0
16,17,,Webb Simpson,28,527,,6.0,2473.0,293.0
17,18,,Jason Day,20,514,,5.0,2486.0,314.0
18,19,,Tony Finau,29,510,,8.0,2490.0,170.0
19,20,,Charley Hoffman,31,473,,7.0,2527.0,352.0
20,21,,Sergio Garcia,17,441,1.0,3.0,2559.0,161.0
21,22,,Patrick Reed,29,416,,4.0,2584.0,182.0
22,23,,Jhonattan Vegas,29,384,1.0,4.0,2616.0,272.0
23,24,,Kyle Stanley,29,366,1.0,5.0,2634.0,194.0
24,25,,Brian Harman,30,364,1.0,7.0,2636.0,219.0
25,26,,Adam Hadwin,28,362,1.0,5.0,2638.0,206.0
26,27,,Kevin Chappell,27,352,1.0,5.0,2648.0,231.0
27,28,,Gary Woodland,26,321,,5.0,2679.0,133.0
28,29,,Patrick Cantlay,13,296,,4.0,2704.0,124.0
29,30,,Jason Dufner,24,287,1.0,2.0,2713.0,115.0
30,31,,Louis Oosthuizen,18,1321,,4.0,4100.0,
31,32,,Henrik Stenson,15,1306,1.0,3.0,4115.0,
32,33,,Brendan Steele,25,1292,1.0,4.0,4129.0,
33,34,,Phil Mickelson,22,1268,,5.0,4153.0,
34,35,,Bill Haas,25,1260,,4.0,4161.0,
35,36,,Mackenzie Hughes,31,1257,1.0,2.0,4164.0,
36,37,,Francesco Molinari,21,1247,,5.0,4174.0,
37,38,,Hudson Swafford,28,1244,1.0,4.0,4177.0,
38,39,,Chez Reavie,28,1151,,4.0,4270.0,
39,40,,Charles Howell III,23,1134,,5.0,4287.0,
40,41,,Wesley Bryan,28,1092,1.0,5.0,4329.0,
41,42,,Billy Horschel,28,1086,1.0,4.0,4335.0,
42,43,,Lucas Glover,26,1085,,4.0,4336.0,
43,44,,Charl Schwartzel,18,1081,,3.0,4340.0,
44,45,,Kevin Na,26,1073,,5.0,4348.0,
45,46,,Cameron Smith,26,1065,1.0,4.0,4356.0,
46,47,,Keegan Bradley,29,1029,,5.0,4392.0,
47,48,,Zach Johnson,23,1017,,4.0,4404.0,
48,49,,Bryson DeChambeau,31,1017,1.0,2.0,4404.0,
49,50,,Luke List,31,1011,,3.0,4410.0,
50,51,,Anirban Lahiri,22,989,,3.0,4432.0,
51,52,,Ian Poulter,20,985,,2.0,4436.0,
52,53,,Stewart Cink,26,958,,3.0,4463.0,
53,54,,Si Woo Kim,30,956,1.0,2.0,4465.0,
54,55,,Scott Brown,29,951,,2.0,4470.0,
55,56,,Martin Laird,25,937,,5.0,4484.0,
56,57,,Jamie Lovemark,28,919,,4.0,4502.0,
57,58,,Rory McIlroy,14,901,,6.0,4520.0,
58,59,,Sung Kang,32,899,,3.0,4522.0,
59,60,,Ollie Schniederjans,28,897,,5.0,4524.0,
60,61,,Rafa Cabrera Bello,19,880,,4.0,4541.0,
61,62,,Sean O'Hair,25,877,,5.0,4544.0,
62,63,,Robert Streb,30,861,,3.0,4560.0,
63,64,,Ryan Moore,24,859,,2.0,4562.0,
64,65,,Bud Cauley,28,816,,5.0,4605.0,
65,66,,Grayson Murray,30,816,1.0,2.0,4605.0,
66,67,,Emiliano Grillo,25,812,,2.0,4609.0,
67,68,,James Hahn,28,801,,4.0,4620.0,
68,69,,Kevin Tway,27,740,,3.0,4681.0,
69,70,,Danny Lee,32,697,,4.0,4724.0,
70,71,,Russell Knox,24,687,,4.0,4734.0,
71,72,,Kelly Kraft,27,684,,3.0,4737.0,
72,73,,Brandt Snedeker,15,663,,4.0,4758.0,
73,74,,Rod Pampling,22,660,1.0,1.0,4761.0,
74,75,,Bubba Watson,22,658,,4.0,4763.0,
75,76,,Graham DeLaet,25,650,,6.0,4771.0,
76,77,,Jason Kokrak,28,649,,1.0,4772.0,
77,78,,Patrick Rodgers,27,649,,3.0,4772.0,
78,79,,Adam Scott,16,642,,4.0,4779.0,
79,80,,Branden Grace,20,640,,2.0,4781.0,
80,81,,Morgan Hoffmann,29,632,,1.0,4789.0,
81,82,,Jonas Blixt,25,631,1.0,1.0,4790.0,
82,83,,Chad Campbell,29,630,,3.0,4791.0,
83,84,,Chris Stroud,22,627,1.0,3.0,4794.0,
84,85,,William McGirt,28,621,,3.0,4800.0,
85,86,,Kevin Streelman,26,617,,2.0,4804.0,
86,87,,Cody Gribble,28,614,1.0,2.0,4807.0,
87,88,,C.T. Pan,29,594,,3.0,4827.0,
88,89,,Whee Kim,27,583,,2.0,4838.0,
89,90,,Harold Varner III,31,574,,1.0,4847.0,
90,91,,Jim Herman,25,565,,2.0,4856.0,
91,92,,Chris Kirk,28,562,,3.0,4859.0,
92,93,,Nick Taylor,29,554,,4.0,4867.0,
93,94,,David Lingmerth,23,546,,1.0,4875.0,
94,95,,J.B. Holmes,23,543,,2.0,4878.0,
95,96,,Camilo Villegas,25,542,,2.0,4879.0,
96,97,,J.J. Spaun,29,541,,3.0,4880.0,
97,98,,Scott Piercy,22,532,,4.0,4889.0,
98,99,,Patton Kizzire,28,519,,3.0,4902.0,
99,100,,Michael Kim,28,483,,1.0,4938.0,
