,Accuracy_Rating_RANK THIS WEEK,Accuracy_Rating_RANK LAST WEEK,Accuracy_Rating_PLAYER NAME,Accuracy_Rating_EVENTS,Accuracy_Rating_RATING
284,T283,,Gonzalo Fernandez-Castaño,5,6.0
285,T283,,Matthew Fitzpatrick,4,6.0
286,T283,,Brandon Hagy,14,6.0
287,T283,,Ryo Ishikawa,6,6.0
288,T283,,Si Woo Kim,9,6.0
289,T283,,Paul Lawrie,1,6.0
290,T283,,Carl Pettersson,4,6.0
291,T283,,Andres Romero,6,6.0
292,T283,,Braden Thornberry,1,6.0
293,T283,,Kevin Tway,16,6.0
294,T295,,Ricky Barnes,14,5.9
295,T295,,Greg Chalmers,9,5.9
296,T295,,Brendon de Jonge,1,5.9
297,T295,,Roberto Díaz,1,5.9
298,T295,,Ryan Fox,1,5.9
299,300,,Sam Brazel,2,5.8
300,T301,,Matthew Griffin,2,5.7
301,T301,,Wesley McClain,1,5.7
302,T301,,"Ted Potter, Jr.",1,5.7
303,T301,,Sahith Theegala,1,5.7
304,T305,,Charlie Danielson,1,5.6
305,T305,,Hunter Mahan,8,5.6
306,T305,,Jared Sawada,1,5.6
307,T305,,Richard Sterne,2,5.6
308,T309,,Craig Barlow,1,5.5
309,T309,,Daniel Obremski,1,5.5
310,T311,,Matt Atkins,1,5.4
311,T311,,Freddie Jacobson,1,5.4
312,T311,,John Rollins,1,5.4
313,T311,,Brendon Todd,1,5.4
314,T315,,Steven Bowditch,2,5.2
315,T315,,Max Homa,1,5.2
316,317,,K.T. Kim,2,5.1
317,318,,Danny Willett,2,5.0
318,319,,Alex Moon,1,4.5
319,320,,Wyndham Clark,1,4.4
320,321,,Pablo Larrazabal,1,4.3
