,FedExCup_Bonus_Money_RANK THIS WEEK,FedExCup_Bonus_Money_RANK LAST WEEK,FedExCup_Bonus_Money_PLAYER NAME,FedExCup_Bonus_Money_EVENTS,FedExCup_Bonus_Money_MONEY
0,1,,Justin Thomas,25,10000000
1,2,,Jordan Spieth,23,3000000
2,3,,Xander Schauffele,28,2000000
3,4,,Dustin Johnson,20,1500000
4,5,,Jon Rahm,23,1000000
5,6,,Marc Leishman,25,800000
6,7,,Rickie Fowler,21,700000
7,8,,Hideki Matsuyama,22,600000
8,9,,Justin Rose,18,550000
9,10,,Brooks Koepka,24,500000
10,11,,Paul Casey,24,300000
11,12,,Kevin Kisner,28,290000
12,13,,Russell Henley,27,280000
13,14,,Matt Kuchar,26,270000
14,15,,Pat Perez,26,250000
15,16,,Daniel Berger,26,245000
16,17,,Webb Simpson,28,240000
17,18,,Jason Day,20,235000
18,19,,Tony Finau,29,230000
19,20,,Charley Hoffman,31,225000
20,21,,Sergio Garcia,17,220000
21,22,,Patrick Reed,29,215000
22,23,,Jhonattan Vegas,29,210000
23,24,,Kyle Stanley,29,205000
24,25,,Brian Harman,30,200000
25,26,,Adam Hadwin,28,195000
26,27,,Kevin Chappell,27,190000
27,28,,Gary Woodland,26,185000
28,29,,Patrick Cantlay,13,180000
29,30,,Jason Dufner,24,175000
30,31,,Louis Oosthuizen,18,165000
31,32,,Henrik Stenson,15,155000
32,33,,Brendan Steele,25,150000
33,34,,Phil Mickelson,22,145000
34,35,,Bill Haas,25,142000
35,36,,Mackenzie Hughes,31,140000
36,37,,Francesco Molinari,21,138000
37,38,,Hudson Swafford,28,137000
38,39,,Chez Reavie,28,136000
39,40,,Charles Howell III,23,135000
40,41,,Wesley Bryan,28,134000
41,42,,Billy Horschel,28,133000
42,43,,Lucas Glover,26,132000
43,44,,Charl Schwartzel,18,131000
44,45,,Kevin Na,26,130000
45,46,,Cameron Smith,26,129000
46,47,,Keegan Bradley,29,128000
47,48,,Zach Johnson,23,127000
48,49,,Bryson DeChambeau,31,126000
49,50,,Luke List,31,125000
50,51,,Anirban Lahiri,22,120000
51,52,,Ian Poulter,20,115000
52,53,,Stewart Cink,26,114000
53,54,,Si Woo Kim,30,113000
54,55,,Scott Brown,29,110000
55,56,,Martin Laird,25,110000
56,57,,Jamie Lovemark,28,110000
57,58,,Rory McIlroy,14,110000
58,59,,Sung Kang,32,110000
59,60,,Ollie Schniederjans,28,110000
60,61,,Rafa Cabrera Bello,19,110000
61,62,,Sean O'Hair,25,110000
62,63,,Robert Streb,30,110000
63,64,,Ryan Moore,24,110000
64,65,,Bud Cauley,28,110000
65,66,,Grayson Murray,30,110000
66,67,,Emiliano Grillo,25,110000
67,68,,James Hahn,28,110000
68,69,,Kevin Tway,27,110000
69,70,,Danny Lee,32,110000
70,71,,Russell Knox,24,80000
71,72,,Kelly Kraft,27,80000
72,73,,Brandt Snedeker,15,80000
73,74,,Rod Pampling,22,80000
74,75,,Bubba Watson,22,80000
75,76,,Graham DeLaet,25,80000
76,77,,Jason Kokrak,28,80000
77,78,,Patrick Rodgers,27,80000
78,79,,Adam Scott,16,80000
79,80,,Branden Grace,20,80000
80,81,,Morgan Hoffmann,29,75000
81,82,,Jonas Blixt,25,75000
82,83,,Chad Campbell,29,75000
83,84,,Chris Stroud,22,75000
84,85,,William McGirt,28,75000
85,86,,Kevin Streelman,26,75000
86,87,,Cody Gribble,28,75000
87,88,,C.T. Pan,29,75000
88,89,,Whee Kim,27,75000
89,90,,Harold Varner III,31,75000
90,91,,Jim Herman,25,75000
91,92,,Chris Kirk,28,75000
92,93,,Nick Taylor,29,75000
93,94,,David Lingmerth,23,75000
94,95,,J.B. Holmes,23,75000
95,96,,Camilo Villegas,25,75000
96,97,,J.J. Spaun,29,75000
97,98,,Scott Piercy,22,75000
98,99,,Patton Kizzire,28,75000
99,100,,Michael Kim,28,75000
100,101,,Scott Stallings,27,70000
101,102,,Byeong Hun An,22,70000
102,103,,Martin Flores,27,70000
103,104,,D.A. Points,22,70000
104,105,,Luke Donald,18,70000
105,106,,Richy Werenski,26,70000
106,107,,Ryan Blaum,29,70000
107,108,,Geoff Ogilvy,25,70000
108,109,,Robert Garrigus,26,70000
109,110,,Seung-Yul Noh,31,70000
110,111,,Jimmy Walker,21,70000
111,112,,Brian Gay,25,70000
112,113,,Brandon Hagy,26,70000
113,114,,Vaughn Taylor,26,70000
114,115,,Steve Stricker,13,70000
115,116,,Derek Fathauer,27,70000
116,117,,Tyrone Van Aswegen,32,70000
117,118,,Harris English,27,70000
118,119,,Dominic Bozzelli,24,70000
119,120,,Nick Watney,23,70000
120,121,,John Huh,28,70000
121,122,,Blayne Barber,25,70000
122,123,,Ben Martin,27,70000
123,124,,Rory Sabbatini,23,70000
124,125,,J.J. Henry,29,70000
125,126,,Zac Blair,32,32000
126,127,,Shane Lowry,16,32000
127,128,,David Hearn,29,32000
128,129,,Sam Saunders,24,32000
129,130,,Seamus Power,25,32000
130,131,,Daniel Summerhays,29,32000
131,132,,J.T. Poston,28,32000
