,Power_Rating_RANK THIS WEEK,Power_Rating_RANK LAST WEEK,Power_Rating_PLAYER NAME,Power_Rating_EVENTS,Power_Rating_RATING
0,T1,,Rory McIlroy,8,9.6
1,T1,,Keith Mitchell,1,9.6
2,T3,,Wyndham Clark,1,9.5
3,T3,,Andrew Loupe,4,9.5
4,T5,,Sam Burns,1,9.4
5,T5,,Dustin Johnson,14,9.4
6,T7,,Brandon Hagy,14,9.3
7,T7,,Trey Mullinax,13,9.3
8,T9,,Luke List,17,9.2
9,T9,,Ryan Palmer,7,9.2
10,T9,,Josh Teater,1,9.2
11,T9,,Kevin Tway,16,9.2
12,13,,Jon Rahm,16,9.1
13,T14,,Ryan Fox,1,9.0
14,T14,,J.B. Holmes,13,9.0
15,T14,,Andrew Johnston,3,9.0
16,T14,,Brooks Koepka,14,9.0
17,T14,,Grayson Murray,16,9.0
18,T19,,Ryan Brehm,13,8.9
19,T19,,Kevin Chappell,16,8.9
20,T19,,Tony Finau,22,8.9
21,T19,,Chesson Hadley,3,8.9
22,T19,,Sam Horsfield,2,8.9
23,T19,,Ryan Ruffels,2,8.9
24,T19,,Jordan L Smith,1,8.9
25,T19,,Justin Thomas,12,8.9
26,T27,,Nick Hardy,1,8.8
27,T27,,Jason Kokrak,16,8.8
28,T27,,D.J. Trahan,1,8.8
29,30,,Jason Day,13,8.7
30,T31,,Smylie Kaufman,10,8.6
31,T31,,Jamie Lovemark,15,8.6
32,T31,,Tag Ridings,10,8.6
33,T31,,Bubba Watson,10,8.6
34,T35,,Charlie Beljan,1,8.5
35,T35,,Martin Flores,12,8.5
36,T35,,Xander Schauffele,14,8.5
37,T35,,Adam Scott,9,8.5
38,T39,,Robert Garrigus,11,8.4
39,T39,,Michael Johnson,1,8.4
40,T39,,Rick Lamb,5,8.4
41,T39,,Patrick Rodgers,10,8.4
42,T39,,Hudson Swafford,16,8.4
43,T44,,Brett Coletta,1,8.3
44,T44,,Brandon Stone,1,8.3
45,T44,,Aaron Wise,3,8.3
46,T44,,Gary Woodland,15,8.3
47,48,,Byeong Hun An,13,8.2
48,T49,,Scott Hend,2,8.1
49,T49,,Wesley McClain,1,8.1
50,T49,,Joaquin Niemann,1,8.1
51,T49,,Peter Uihlein,2,8.1
52,T53,,Sergio Garcia,10,8.0
53,T53,,Matt Jones,10,8.0
54,T53,,Anirban Lahiri,12,8.0
55,T53,,Hideki Matsuyama,13,8.0
56,T53,,Daniel Obremski,1,8.0
57,T53,,Kenny Pigman,1,8.0
