,FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,FedExCup_Season_Points_for_Non-Members_PLAYER NAME,FedExCup_Season_Points_for_Non-Members_EVENTS,FedExCup_Season_Points_for_Non-Members_POINTS,FedExCup_Season_Points_for_Non-Members_WGC POINTS
0,1,,Thomas Pieters,12,727,336.0
1,2,,Tommy Fleetwood,10,629,358.0
2,3,,Tyrrell Hatton,13,448,183.0
3,4,,Ross Fisher,10,446,380.0
4,5,,Alex Noren,11,415,204.0
5,6,,Martin Kaymer,10,360,103.0
6,7,,Matthew Fitzpatrick,12,280,161.0
7,8,,Bernd Wiesberger,10,262,94.0
8,9,,Henrik Norlander,5,243,
9,10,,Hideto Tanihara,11,228,179.0
10,11,,HaoTong Li,5,218,5.0
11,12,,Lee Westwood,10,217,121.0
12,13,,Scott Hend,6,178,85.0
13,14,,Chris Wood,9,175,89.0
14,15,,Curtis Luck,12,153,
15,16,,Rafael Campos,4,145,
16,17,,Peter Uihlein,7,135,
17,18,,Andy Sullivan,7,126,62.0
18,19,,Joost Luiten,5,118,107.0
19,20,,Thorbjørn Olesen,6,95,78.0
20,21,,Matthew Southgate,1,95,
21,22,,Aaron Wise,6,93,
22,23,,Rob Oppenheim,4,84,
23,24,,Jordan L Smith,1,80,
24,25,,Jeunghun Wang,10,79,16.0
25,26,,Thongchai Jaidee,5,76,47.0
26,27,,Robby Shelton,8,75,
27,28,,Fabrizio Zanotti,6,72,71.0
28,29,,Chan Kim,2,72,
29,30,,Richard Bland,2,71,28.0
30,31,,K.T. Kim,5,65,57.0
31,32,,Keith Mitchell,1,65,
32,33,,Yuta Ikeda,10,62,13.0
33,34,,Chase Koepka,2,59,
34,35,,Oscar Fraustro,1,59,
35,36,,Austin Connelly,1,58,
36,37,,Michael Putnam,6,58,
37,38,,Eddie Pepperell,1,55,
38,39,,Young-han Song,4,52,8.0
39,40,,Rikard Karlberg,1,52,52.0
40,41,,Xinjun Zhang,1,48,48.0
41,42,,Cameron Davis,1,47,
42,43,,Kramer Hickok,2,44,
43,44,,Richie Ramsay,2,42,
44,45,,Richard Sterne,3,40,9.0
45,46,,Ashun Wu,1,39,39.0
46,47,,Satoshi Kodaira,4,38,11.0
47,48,,Beau Hossler,8,34,
48,49,,Brett Coletta,3,32,
49,50,,Ryan Ruffels,7,30,
50,51,,David Drysdale,1,29,
51,52,,Lee McCoy,3,28,
52,53,,Brandon Stone,6,28,4.0
53,54,,Michael Johnson,2,28,
54,55,,Kurt Kitayama,2,27,
55,56,,Scott Langley,3,27,
56,57,,Dean Burmester,1,22,22.0
57,58,,Jordan Niebrugge,2,20,
58,59,,Laurie Canter,1,18,
59,60,,Miguel Tabuena,3,18,4.0
60,61,,Charlie Danielson,3,17,
61,62,,Sam Brazel,2,17,17.0
62,T63,,George Coetzee,2,16,16.0
63,T63,,Zecheng Dou,1,16,16.0
64,65,,Chase Seiffert,3,15,
65,66,,Joseph Bramlett,1,14,
66,67,,Jack Maguire,1,14,
67,68,,Sam Horsfield,6,14,
68,69,,Marcus Fraser,3,14,9.0
69,70,,Renato Paratore,1,13,13.0
70,T71,,Yi Keun Chang,1,11,
71,T71,,Andrew Dodt,1,11,
72,T73,,Bradley Dredge,2,10,10.0
73,T73,,WC Liang,1,10,10.0
74,75,,Josh Teater,2,9,
75,76,,Chan Shih-chang,2,9,5.0
76,77,,Grégory Bourdy,2,8,8.0
77,78,,Mike Hendry,2,8,8.0
78,79,,Shaun Norris,2,8,3.0
79,80,,Wyndham Clark,5,7,
80,81,,Ryan Fox,2,7,
81,T82,,Matt Gilchrest,1,7,
82,T82,,Grant Leaver,1,7,
83,84,,Jonathan Garrick,2,7,
84,85,,Toby Tree,1,6,
85,86,,Wesley McClain,2,6,
86,T87,,Thomas Aiken,1,6,
87,T87,,Alexander Levy,4,6,6.0
88,T87,,Jordan Zunic,1,6,6.0
89,90,,"Rich Berberian, Jr.",7,6,
90,T91,,Abraham Ancer,1,6,
91,T91,,Carlos Ortiz,1,6,
92,93,,Soomin Lee,2,6,3.0
93,94,,Gaganjeet Bhullar,1,6,
94,95,,Paul Lawrie,2,5,5.0
95,T96,,Stephan Jaeger,2,5,
96,T96,,Yusaku Miyazato,3,5,
97,98,,Matthew Griffin,3,5,3.0
98,99,,Justin Lower,1,5,
99,100,,David Lipsky,2,5,5.0
100,T101,,Kevin Dougherty,2,5,
101,T101,,Dylan Frittelli,2,5,
102,103,,Kenny Pigman,2,5,
103,104,,Michael Lorenzo-Vera,1,4,
104,105,,Talor Gooch,1,4,
105,106,,Tyler Light,1,4,
106,107,,Roberto Díaz,3,4,4.0
107,108,,Daniel Obremski,1,4,
108,109,,Matthew Millar,1,4,4.0
109,T110,,Chris Evans,1,4,
110,T110,,Alex Moon,1,4,
111,112,,Joseph Dean,1,3,
112,113,,Gavin Kyle Green,3,3,
113,114,,Pablo Larrazabal,3,3,3.0
114,115,,Jared Sawada,1,3,
115,116,,Jacques Blaauw,1,3,3.0
116,117,,SSP Chawrasia,1,3,
117,118,,Cody Blick,1,3,
118,119,,Huilin Zhang,1,3,3.0
119,120,,Kent Bulle,1,3,
120,T121,,Chip Deason,2,3,
121,T121,,Bobby Gates,5,3,
122,T121,,Nathan Holman,1,3,3.0
123,T124,,Anders Albertson,1,2,
124,T124,,Hyung-Sung Kim,1,2,
125,126,,Dru Love,5,2,
126,127,,Danny Chia,1,2,
127,128,,Matt Atkins,1,2,
128,129,,Cyril Bouniol,1,2,
