,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Playoffs_EVENTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_%,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYOFF POINTS WON,_of_Potential_Pts_won_-_FedExCup_Playoffs_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF TOP 10'S
0,1,,Justin Thomas,25,44.9,3592,8000,1.0,3.0
1,2,,Jordan Spieth,23,38.63,3090,8000,,4.0
2,3,,Marc Leishman,25,36.31,2905,8000,1.0,2.0
3,4,,Dustin Johnson,20,30.8,2464,8000,1.0,1.0
4,5,,Xander Schauffele,28,29.74,2379,8000,1.0,1.0
5,6,,Jon Rahm,23,23.75,1900,8000,,4.0
6,7,,Justin Rose,18,22.48,1799,8000,,4.0
7,8,,Rickie Fowler,21,18.72,1498,8000,,1.0
8,9,,Paul Casey,24,18.13,1450,8000,,3.0
9,10,,Jason Day,20,15.31,1225,8000,,2.0
10,11,,Matt Kuchar,26,12.13,970,8000,,3.0
11,12,,Patrick Cantlay,13,11.77,941,8000,,2.0
12,13,,Webb Simpson,28,11.23,898,8000,,2.0
13,14,,Russell Henley,27,10.9,872,8000,,1.0
14,15,,Pat Perez,26,10.79,864,8000,,1.0
15,16,,Brooks Koepka,24,10.43,835,8000,,1.0
16,17,,Jhonattan Vegas,29,9.93,794,8000,,1.0
17,18,,Kevin Chappell,27,9.63,771,8000,,1.0
18,19,,Patrick Reed,29,9.61,769,8000,,1.0
19,20,,Sergio Garcia,17,9.58,575,6000,,1.0
20,21,,Tony Finau,29,9.09,727,8000,,2.0
21,T22,,Kevin Kisner,28,8.9,712,8000,,1.0
22,T22,,Phil Mickelson,22,8.9,534,6000,,1.0
23,24,,Kevin Na,26,8.15,489,6000,,1.0
24,25,,Chez Reavie,28,8.08,485,6000,,1.0
25,26,,Bubba Watson,22,6.51,260,4000,,1.0
26,27,,Lucas Glover,26,6.31,379,6000,,
27,28,,Stewart Cink,26,6.25,375,6000,,
28,29,,Louis Oosthuizen,18,6.1,366,6000,,1.0
29,30,,Gary Woodland,26,6.09,487,8000,,
30,T31,,Charl Schwartzel,18,5.9,354,6000,,
31,T31,,Kyle Stanley,29,5.9,472,8000,,
32,33,,Charley Hoffman,31,5.84,467,8000,,
33,34,,Henrik Stenson,15,5.68,227,4000,,
34,35,,Adam Hadwin,28,5.44,435,8000,,
35,36,,Hudson Swafford,28,5.38,323,6000,,
36,37,,Anirban Lahiri,22,5.36,322,6000,,1.0
37,38,,Bill Haas,25,5.25,315,6000,,1.0
38,39,,Daniel Berger,26,5.15,412,8000,,
39,40,,Scott Brown,29,5.08,305,6000,,
40,41,,Harold Varner III,31,4.98,199,4000,,
41,42,,Emiliano Grillo,25,4.89,293,6000,,
42,43,,Robert Streb,30,4.73,284,6000,,1.0
43,44,,Mackenzie Hughes,31,4.71,283,6000,,
44,45,,Jason Dufner,24,4.6,368,8000,,
45,46,,Luke List,31,4.5,270,6000,,
46,47,,Rafa Cabrera Bello,19,4.4,264,6000,,
47,48,,Martin Laird,25,4.35,261,6000,,
48,49,,Hideki Matsuyama,22,4.03,322,8000,,
49,50,,Jason Kokrak,28,3.98,159,4000,,
50,51,,Francesco Molinari,21,3.94,237,6000,,
51,52,,Keegan Bradley,29,3.92,235,6000,,
52,53,,Martin Flores,27,3.9,78,2000,,
53,54,,Ian Poulter,20,3.75,225,6000,,
54,55,,Cameron Smith,26,3.64,219,6000,,
55,56,,Branden Grace,20,3.25,130,4000,,
56,57,,Ryan Moore,24,3.15,189,6000,,
57,58,,William McGirt,28,3.05,122,4000,,
58,T59,,Bryson DeChambeau,31,3.0,180,6000,,
59,T59,,Geoff Ogilvy,25,3.0,60,2000,,
60,T61,,Zach Johnson,23,2.97,178,6000,,
61,T61,,Grayson Murray,30,2.97,178,6000,,
62,63,,Sean O'Hair,25,2.83,170,6000,,
63,64,,David Lingmerth,23,2.73,109,4000,,
64,65,,Brian Harman,30,2.72,218,8000,,
65,T66,,Bud Cauley,28,2.5,150,6000,,
66,T66,,Cody Gribble,28,2.5,100,4000,,
67,68,,Chris Kirk,28,2.38,95,4000,,
68,69,,Jamie Lovemark,28,2.21,133,6000,,
69,T70,,Scott Stallings,27,2.2,44,2000,,
70,T70,,Vaughn Taylor,26,2.2,44,2000,,
71,72,,Kevin Tway,27,2.02,121,6000,,
72,T73,,Whee Kim,27,1.95,78,4000,,
73,T73,,Camilo Villegas,25,1.95,78,4000,,
74,75,,Si Woo Kim,30,1.94,117,6000,,
75,76,,Kevin Streelman,26,1.9,76,4000,,
76,T77,,Sung Kang,32,1.68,101,6000,,
77,T77,,C.T. Pan,29,1.68,67,4000,,
78,79,,Morgan Hoffmann,29,1.66,66,4000,,
79,80,,Rory McIlroy,14,1.64,98,6000,,
80,T81,,Luke Donald,18,1.6,32,2000,,
81,T81,,Richy Werenski,26,1.6,32,2000,,
82,83,,James Hahn,28,1.49,90,6000,,
83,84,,Jonas Blixt,25,1.31,52,4000,,
84,85,,D.A. Points,22,1.11,22,2000,,
85,86,,Brendan Steele,25,1.1,66,6000,,
86,87,,Ryan Blaum,29,0.86,17,2000,,
87,88,,J.J. Spaun,29,0.79,32,4000,,
88,89,,Wesley Bryan,28,0.78,47,6000,,
89,90,,Rod Pampling,22,0.76,31,4000,,
90,91,,Nick Taylor,29,0.54,22,4000,,
91,92,,Charles Howell III,23,0.52,31,6000,,
92,93,,Russell Knox,24,0.45,18,4000,,
93,94,,Chad Campbell,29,0.35,14,4000,,
94,95,,Billy Horschel,28,0.31,18,6000,,
95,T96,,Jim Herman,25,0.3,12,4000,,
96,T96,,Kelly Kraft,27,0.3,12,4000,,
97,98,,Patrick Rodgers,27,0.27,11,4000,,
98,99,,Ollie Schniederjans,28,0.25,15,6000,,
99,100,,Graham DeLaet,25,0.24,9,4000,,
