,FedExCup_Season_Points_RANK THIS WEEK,FedExCup_Season_Points_RANK LAST WEEK,FedExCup_Season_Points_PLAYER NAME,FedExCup_Season_Points_EVENTS,FedExCup_Season_Points_POINTS,FedExCup_Season_Points_# OF WINS,FedExCup_Season_Points_# OF TOP 10'S,FedExCup_Season_Points_POINTS BEHIND LEAD,FedExCup_Season_Points_RESET POINTS
0,1,,Hideki Matsuyama,18,2869,3.0,7.0,,
1,2,,Justin Thomas,21,2689,4.0,9.0,180.0,
2,3,,Jordan Spieth,19,2671,3.0,8.0,198.0,
3,4,,Dustin Johnson,16,2466,3.0,7.0,403.0,
4,5,,Rickie Fowler,17,1832,1.0,9.0,1037.0,
5,6,,Jon Rahm,19,1754,1.0,7.0,1115.0,
6,7,,Brooks Koepka,20,1736,1.0,6.0,1133.0,
7,8,,Daniel Berger,22,1623,1.0,6.0,1246.0,
8,9,,Kevin Kisner,24,1612,1.0,7.0,1257.0,
9,10,,Brian Harman,26,1557,1.0,7.0,1312.0,
10,11,,Charley Hoffman,27,1498,,7.0,1371.0,
11,12,,Pat Perez,22,1461,1.0,5.0,1408.0,
12,13,,Adam Hadwin,24,1347,1.0,5.0,1522.0,
13,14,,Marc Leishman,21,1324,1.0,5.0,1545.0,
14,15,,Matt Kuchar,22,1260,,6.0,1609.0,
15,16,,Brendan Steele,22,1226,1.0,4.0,1643.0,
16,17,,Kyle Stanley,25,1204,1.0,5.0,1665.0,
17,18,,Paul Casey,20,1135,,6.0,1734.0,
18,19,,Russell Henley,23,1129,1.0,4.0,1740.0,
19,20,,Jason Dufner,20,1126,1.0,2.0,1743.0,
20,21,,Charles Howell III,20,1102,,5.0,1767.0,
21,22,,Sergio Garcia,14,1085,1.0,2.0,1784.0,
22,23,,Henrik Stenson,13,1079,1.0,3.0,1790.0,
23,24,,Billy Horschel,25,1068,1.0,4.0,1801.0,
24,25,,Webb Simpson,24,1058,,4.0,1811.0,
25,26,,Gary Woodland,22,1052,,5.0,1817.0,
26,27,,Wesley Bryan,25,1046,1.0,5.0,1823.0,
27,28,,Tony Finau,25,1024,,6.0,1845.0,
28,29,,Jhonattan Vegas,25,1023,1.0,3.0,1846.0,
29,30,,Kevin Chappell,23,1015,1.0,4.0,1854.0,
30,31,,Francesco Molinari,18,1010,,5.0,1859.0,
31,32,,Justin Rose,14,996,,4.0,1873.0,
32,33,,Xander Schauffele,24,988,1.0,3.0,1881.0,
33,34,,Mackenzie Hughes,28,974,1.0,2.0,1895.0,
34,35,,Louis Oosthuizen,15,956,,3.0,1913.0,
35,36,,Bill Haas,22,946,,3.0,1923.0,
36,37,,Hudson Swafford,25,921,1.0,4.0,1948.0,
37,38,,Patrick Reed,25,896,,3.0,1973.0,
38,39,,Ollie Schniederjans,25,882,,5.0,1987.0,
39,40,,Cameron Smith,23,847,1.0,4.0,2022.0,
40,41,,Si Woo Kim,27,839,1.0,2.0,2030.0,
41,42,,Zach Johnson,20,839,,4.0,2030.0,
42,43,,Bryson DeChambeau,28,836,1.0,2.0,2033.0,
43,44,,Rory McIlroy,11,803,,6.0,2066.0,
44,45,,Sung Kang,29,798,,3.0,2071.0,
45,46,,Keegan Bradley,26,794,,5.0,2075.0,
46,47,,Jamie Lovemark,25,787,,4.0,2082.0,
47,48,,Ian Poulter,17,760,,2.0,2109.0,
48,49,,Jason Day,16,756,,3.0,2113.0,
49,50,,Luke List,28,741,,3.0,2128.0,
50,51,,Phil Mickelson,19,734,,4.0,2135.0,
51,52,,Charl Schwartzel,15,727,,3.0,2142.0,
52,53,,James Hahn,25,711,,4.0,2158.0,
53,54,,Sean O'Hair,22,707,,5.0,2162.0,
54,55,,Lucas Glover,23,706,,4.0,2163.0,
55,56,,Danny Lee,29,697,,4.0,2172.0,
56,57,,Martin Laird,22,676,,5.0,2193.0,
57,58,,Kelly Kraft,25,672,,3.0,2197.0,
58,59,,Ryan Moore,21,671,,2.0,2198.0,
59,60,,Russell Knox,22,669,,4.0,2200.0,
60,61,,Anirban Lahiri,19,667,,2.0,2202.0,
61,62,,Bud Cauley,25,666,,5.0,2203.0,
62,63,,Chez Reavie,25,666,,3.0,2203.0,
63,64,,Brandt Snedeker,15,663,,4.0,2206.0,
64,65,,Scott Brown,26,646,,2.0,2223.0,
65,66,,Adam Scott,15,642,,4.0,2227.0,
66,67,,Graham DeLaet,23,640,,6.0,2229.0,
67,68,,Patrick Rodgers,25,639,,3.0,2230.0,
68,69,,Grayson Murray,27,638,1.0,2.0,2231.0,
69,70,,Rod Pampling,20,630,1.0,1.0,2239.0,
70,71,,Chris Stroud,20,627,1.0,3.0,2242.0,
71,72,,Kevin Tway,24,619,,3.0,2250.0,
72,73,,Chad Campbell,27,616,,3.0,2253.0,
73,74,,Rafa Cabrera Bello,16,615,,4.0,2254.0,
74,75,,Kevin Na,23,584,,4.0,2285.0,
75,76,,Stewart Cink,23,583,,3.0,2286.0,
76,77,,Jonas Blixt,23,578,1.0,1.0,2291.0,
77,78,,Patrick Cantlay,9,578,,2.0,2291.0,
78,79,,Robert Streb,27,577,,2.0,2292.0,
79,80,,Morgan Hoffmann,27,565,,1.0,2304.0,
80,81,,Jim Herman,23,553,,2.0,2316.0,
81,82,,J.B. Holmes,22,543,,2.0,2326.0,
82,83,,Kevin Streelman,24,541,,2.0,2328.0,
83,84,,Nick Taylor,27,532,,4.0,2337.0,
84,85,,Scott Piercy,22,532,,4.0,2337.0,
85,86,,C.T. Pan,27,527,,3.0,2342.0,
86,87,,Patton Kizzire,26,519,,3.0,2350.0,
87,88,,Emiliano Grillo,22,518,,2.0,2351.0,
88,89,,Cody Gribble,26,514,1.0,2.0,2355.0,
89,90,,Branden Grace,18,510,,2.0,2359.0,
90,91,,J.J. Spaun,27,510,,3.0,2359.0,
91,92,,Whee Kim,25,505,,2.0,2364.0,
92,93,,William McGirt,26,499,,3.0,2370.0,
93,94,,Jason Kokrak,26,490,,1.0,2379.0,
94,95,,Michael Kim,26,483,,1.0,2386.0,
95,96,,Byeong Hun An,21,468,,3.0,2401.0,
96,97,,Chris Kirk,26,467,,3.0,2402.0,
97,98,,Camilo Villegas,23,464,,2.0,2405.0,
98,99,,Robert Garrigus,25,448,,3.0,2421.0,
99,100,,Seung-Yul Noh,30,446,,3.0,2423.0,
100,101,,Jimmy Walker,20,439,,1.0,2430.0,
101,102,,Scott Stallings,26,438,,3.0,2431.0,
102,103,,David Lingmerth,21,437,,1.0,2432.0,
103,104,,D.A. Points,21,435,1.0,1.0,2434.0,
104,105,,Ryan Blaum,28,434,,2.0,2435.0,
105,106,,Brian Gay,24,426,,3.0,2443.0,
106,107,,Luke Donald,17,424,,1.0,2445.0,
107,108,,Richy Werenski,25,423,,3.0,2446.0,
108,109,,Brandon Hagy,25,419,,1.0,2450.0,
109,110,,Steve Stricker,12,410,,2.0,2459.0,
110,111,,Derek Fathauer,26,408,,2.0,2461.0,
111,112,,Tyrone Van Aswegen,31,407,,1.0,2462.0,
112,113,,Bubba Watson,20,397,,3.0,2472.0,
113,114,,Harris English,26,397,,2.0,2472.0,
114,115,,Dominic Bozzelli,24,394,,3.0,2475.0,
