,PGA_Championship_Points_RANK THIS WEEK,PGA_Championship_Points_RANK LAST WEEK,PGA_Championship_Points_PLAYER NAME,PGA_Championship_Points_EVENTS,PGA_Championship_Points_POINTS
0,1,,Justin Thomas,6,4790381
1,2,,Jordan Spieth,6,2639888
2,3,,Marc Leishman,6,2545250
3,4,,Hideki Matsuyama,6,2305663
4,5,,Dustin Johnson,6,2170625
5,6,,Xander Schauffele,6,1941358
6,7,,Rickie Fowler,6,1748225
7,8,,Jon Rahm,6,1600363
8,9,,Paul Casey,6,1558750
9,10,,Justin Rose,6,1467750
10,11,,Patrick Reed,6,1460256
11,12,,Henrik Stenson,5,1452013
12,13,,Jason Day,6,1280281
13,14,,Webb Simpson,6,1185544
14,15,,Zach Johnson,5,1181750
15,16,,Matt Kuchar,6,1121350
16,17,,Louis Oosthuizen,5,1095725
17,18,,Francesco Molinari,5,1041219
18,19,,Kevin Kisner,7,979582
19,20,,Charley Hoffman,6,955367
20,21,,Brooks Koepka,6,866626
21,22,,Chris Stroud,5,844000
22,23,,Kevin Chappell,6,795950
23,24,,Patrick Cantlay,5,794500
24,25,,Jhonattan Vegas,6,779750
25,26,,Pat Perez,6,778825
26,27,,Russell Henley,6,702769
27,28,,Ollie Schniederjans,5,644600
28,29,,Tony Finau,5,632113
29,30,,Adam Hadwin,6,620250
30,31,,Kevin Na,5,601362
31,32,,Sergio Garcia,5,501294
32,33,,Gary Woodland,6,486104
33,34,,Jason Dufner,7,479950
34,35,,Chez Reavie,5,477985
35,36,,Phil Mickelson,5,459719
36,37,,Richy Werenski,3,456995
37,38,,Thomas Pieters,2,422000
38,39,,Rory McIlroy,5,421192
39,40,,Brian Harman,6,416613
40,41,,Daniel Berger,6,403688
41,42,,Ryan Moore,6,395853
42,43,,Kyle Stanley,7,389069
43,44,,Hudson Swafford,5,376975
44,45,,Bill Haas,6,349323
45,46,,Scott Brown,5,339144
46,47,,Cameron Smith,5,337173
47,48,,Graham DeLaet,4,333863
48,49,,Lucas Glover,5,329772
49,50,,Robert Streb,5,325024
50,51,,Russell Knox,5,323466
51,52,,Harold Varner III,4,317379
52,53,,Anirban Lahiri,5,311103
53,54,,Martin Flores,3,300854
54,55,,Bubba Watson,4,300413
55,56,,Charl Schwartzel,5,295150
56,57,,Rory Sabbatini,3,292533
57,58,,Greg Owen,2,290400
58,59,,Stewart Cink,3,262063
59,60,,Mackenzie Hughes,5,252513
60,61,,Jordan L Smith,1,250000
61,62,,Ryan Armour,2,246861
62,63,,Ian Poulter,4,229867
63,64,,Emiliano Grillo,6,226775
64,65,,James Hahn,5,221613
65,66,,Jason Kokrak,4,215875
66,67,,Rafa Cabrera Bello,5,207875
67,68,,Shane Lowry,2,206667
68,69,,Keegan Bradley,5,197670
69,70,,Grayson Murray,5,197317
70,71,,Bryson DeChambeau,5,194088
71,72,,Thorbjørn Olesen,2,186792
72,73,,Luke List,5,179667
73,74,,Martin Laird,5,159600
74,75,,Davis Love III,3,157210
75,76,,Stuart Appleby,2,155988
76,77,,Sean O'Hair,4,155925
77,78,,Scott Hend,2,154667
78,79,,Bud Cauley,5,149253
79,80,,Tom Hoge,2,145200
80,81,,Adam Scott,3,144800
81,82,,Patton Kizzire,4,141845
82,83,,Branden Grace,4,141813
83,84,,J.J. Spaun,4,136235
84,85,,Ricky Barnes,2,134835
85,86,,Si Woo Kim,5,131021
86,87,,Brendan Steele,5,130475
87,88,,Matt Every,2,128928
88,89,,Sam Saunders,2,128400
89,90,,Jamie Lovemark,4,124625
90,91,,Camilo Villegas,3,122923
91,92,,Geoff Ogilvy,3,122134
92,93,,Wesley Bryan,5,114775
93,T94,,Derek Fathauer,3,114675
94,T94,,Robert Garrigus,2,114675
95,96,,J.B. Holmes,3,111700
96,97,,Tim Wilkinson,2,107300
97,98,,Ben Crane,2,102000
98,99,,Billy Horschel,6,101319
99,100,,Chris Kirk,4,97429
100,101,,Kevin Tway,5,95443
101,102,,Sung Kang,4,95423
102,103,,Tommy Fleetwood,2,94863
103,104,,Alex Noren,2,93463
104,105,,Ryan Palmer,2,92400
105,106,,Chris Wood,2,91250
106,107,,Dicky Pride,2,89449
107,108,,Mark Hubbard,2,88220
108,109,,Satoshi Kodaira,2,82900
109,110,,Rod Pampling,4,79488
110,111,,David Lingmerth,3,78988
111,T112,,J.J. Henry,3,78735
112,T112,,Søren Kjeldsen,2,78735
113,T112,,Hunter Mahan,2,78735
114,115,,Lee Westwood,2,76900
115,116,,Morgan Hoffmann,3,76413
116,117,,Cody Gribble,4,75138
117,T118,,Rick Lamb,2,74928
118,T118,,Tyrone Van Aswegen,3,74928
119,120,,William McGirt,4,74025
120,121,,Jimmy Walker,3,73563
121,122,,Blayne Barber,3,71464
122,123,,Hideto Tanihara,2,71150
123,124,,Tyrrell Hatton,2,68000
124,T125,,Byeong Hun An,3,64200
125,T125,,Richard Sterne,1,64200
126,127,,Vaughn Taylor,3,63057
127,128,,Bernd Wiesberger,2,63000
128,129,,Ben Martin,3,62700
129,130,,Johnson Wagner,2,61655
130,T131,,Ross Fisher,2,60000
131,T131,,Renato Paratore,1,60000
132,133,,Sam Brazel,1,57000
133,134,,C.T. Pan,3,56786
134,135,,Charles Howell III,4,55825
135,136,,Kevin Streelman,3,54448
136,137,,D.A. Points,3,54163
137,T138,,Matthew Fitzpatrick,2,51250
138,T138,,Andy Sullivan,2,51250
139,T138,,Fabrizio Zanotti,2,51250
140,141,,Jim Herman,3,49538
141,142,,Paul Lawrie,1,47500
142,143,,Thongchai Jaidee,2,46500
143,144,,Jeunghun Wang,2,45750
144,145,,Andres Romero,2,45000
145,146,,Shaun Norris,1,44750
146,147,,Daniel Summerhays,3,44365
147,148,,Whee Kim,3,44188
148,149,,Danny Willett,2,43500
149,150,,Kelly Kraft,3,39300
150,T151,,Craig Barlow,1,38775
151,T151,,Greg Chalmers,2,38775
152,T151,,Brandon Hagy,3,38775
153,T151,,Kyle Reifers,2,38775
154,155,,Peter Malnati,2,38464
155,156,,Chad Campbell,3,36599
156,157,,Seamus Power,2,36434
157,T158,,Roberto Castro,1,36153
158,T158,,K.J. Choi,2,36153
159,T158,,Julián Etulain,2,36153
160,T158,,Troy Merritt,2,36153
161,162,,Nick Taylor,3,33149
162,163,,Jonas Blixt,4,32375
163,164,,Ken Duke,2,31774
164,165,,David Hearn,2,29884
165,166,,Steven Alker,2,28399
166,167,,Zac Blair,2,28144
167,168,,Scott Stallings,3,28058
168,169,,John Huh,3,27494
169,170,,Miguel Angel Carballo,2,26450
170,171,,Jonathan Byrd,2,26100
171,172,,Brian Gay,3,25759
172,173,,Gonzalo Fernandez-Castaño,2,25638
173,174,,Joel Dahmen,2,25460
174,T175,,Ryan Fox,1,22875
175,T175,,Steve Stricker,2,22875
176,177,,Ryan Brehm,2,22360
177,178,,Luke Donald,3,21595
178,179,,Charlie Wi,1,21450
179,180,,Harris English,3,21337
180,181,,J.T. Poston,2,20842
181,182,,Dylan Frittelli,1,20800
182,183,,Brad Fritsch,2,20446
183,184,,Tag Ridings,2,20411
184,185,,Vijay Singh,1,20400
185,186,,K.T. Kim,1,19900
186,187,,Omar Uresti,1,19250
187,T188,,Andres Gonzales,2,18662
188,T188,,Retief Goosen,2,18662
189,T188,,Ryo Ishikawa,1,18662
190,191,,Ryan Blaum,2,18638
191,192,,Charlie Danielson,1,17820
192,193,,Aaron Baddeley,2,17784
193,194,,Patrick Rodgers,3,16888
194,195,,Spencer Levin,2,12644
195,T196,,Steven Bowditch,2,12064
196,T196,,Michael Kim,3,12064
197,T196,,Mark Wilson,2,12064
198,199,,Bobby Wyatt,2,11136
199,200,,Dru Love,2,10788
200,201,,Padraig Harrington,3,10324
201,T202,,Alex Cejka,2,10230
202,T202,,Brett Drewitt,2,10230
203,T202,,Cameron Tringale,2,10230
204,205,,Jonathan Randolph,2,10034
205,206,,Brett Stegmaier,2,9860
206,T207,,Shane Bertsch,2,8118
207,T207,,Steve Wheatcroft,1,8118
208,T207,,Y.E. Yang,3,8118
209,T210,,Arjun Atwal,2,7524
210,T210,,Peter Lonard,1,7524
211,T210,,Curtis Luck,1,7524
212,T210,,Trey Mullinax,2,7524
213,214,,Matt Jones,2,7293
214,215,,Cody Blick,1,7128
215,216,,Chase Seiffert,1,6897
216,217,,D.J. Trahan,1,6732
