,FedExCup_Points_per_Event_Leaders_RANK THIS WEEK,FedExCup_Points_per_Event_Leaders_RANK LAST WEEK,FedExCup_Points_per_Event_Leaders_PLAYER NAME,FedExCup_Points_per_Event_Leaders_EVENTS,FedExCup_Points_per_Event_Leaders_POINTS PER EVENT,FedExCup_Points_per_Event_Leaders_TOTAL POINTS
0,1,,Hideki Matsuyama,18,159.364,2868.547
1,2,,Dustin Johnson,16,154.126,2466.0170000000003
2,3,,Jordan Spieth,19,140.602,2671.429
3,4,,Justin Thomas,21,128.046,2688.96
4,5,,Rickie Fowler,17,107.76299999999999,1831.969
5,6,,Jon Rahm,19,92.29,1753.513
6,7,,Brooks Koepka,20,86.79899999999999,1735.979
7,8,,Henrik Stenson,13,82.98200000000001,1078.761
8,9,,Sergio Garcia,14,77.527,1085.376
9,10,,Daniel Berger,22,73.763,1622.7779999999998
10,11,,Rory McIlroy,11,72.99600000000001,802.953
11,12,,Justin Rose,14,71.108,995.515
12,13,,Kevin Kisner,24,67.15100000000001,1611.614
13,14,,Pat Perez,22,66.407,1460.951
14,15,,Patrick Cantlay,9,64.186,577.672
15,16,,Louis Oosthuizen,15,63.705,955.581
16,17,,Marc Leishman,21,63.06100000000001,1324.277
17,18,,Brian Harman,26,59.893,1557.227
18,19,,Matt Kuchar,22,57.293,1260.45
19,20,,Paul Casey,20,56.728,1134.56
20,21,,Jason Dufner,20,56.288999999999994,1125.772
21,22,,Adam Hadwin,24,56.132,1347.1770000000001
22,23,,Francesco Molinari,18,56.119,1010.1360000000001
23,24,,Brendan Steele,22,55.721000000000004,1225.871
24,25,,Charley Hoffman,27,55.493,1498.3010000000002
25,26,,Charles Howell III,20,55.117,1102.339
26,27,,Fred Couples,1,51.933,51.933
27,28,,Russell Henley,23,49.095,1129.1860000000001
28,29,,Charl Schwartzel,15,48.472,727.082
29,30,,Kyle Stanley,25,48.161,1204.015
30,31,,Gary Woodland,22,47.823,1052.104
31,32,,Jason Day,16,47.22,755.512
32,33,,Ian Poulter,17,44.706,760.0
33,34,,Brandt Snedeker,15,44.196999999999996,662.953
34,35,,Kevin Chappell,23,44.122,1014.798
35,36,,Webb Simpson,24,44.081,1057.9389999999999
36,37,,Bill Haas,22,42.983000000000004,945.6310000000001
37,38,,Adam Scott,15,42.826,642.393
38,39,,Billy Horschel,25,42.716,1067.904
39,40,,Zach Johnson,20,41.928999999999995,838.576
40,41,,Wesley Bryan,25,41.823,1045.5710000000001
41,42,,Xander Schauffele,24,41.178000000000004,988.2810000000001
42,43,,Tony Finau,25,40.97,1024.245
43,44,,Jhonattan Vegas,25,40.913000000000004,1022.837
44,45,,Phil Mickelson,19,38.650999999999996,734.372
45,46,,Rafa Cabrera Bello,16,38.458,615.3290000000001
46,47,,Hudson Swafford,25,36.830999999999996,920.7760000000001
47,48,,Cameron Smith,23,36.821,846.872
48,49,,Patrick Reed,25,35.823,895.586
49,50,,Ollie Schniederjans,25,35.263000000000005,881.581
50,51,,Anirban Lahiri,19,35.114000000000004,667.173
51,52,,Mackenzie Hughes,28,34.797,974.304
52,53,,Steve Stricker,12,34.169000000000004,410.023
53,54,,Sean O'Hair,22,32.148,707.25
54,55,,Ryan Moore,21,31.934,670.61
55,56,,Rod Pampling,20,31.495,629.895
56,57,,Jamie Lovemark,25,31.475,786.883
57,58,,Chris Stroud,20,31.365,627.295
58,59,,Si Woo Kim,27,31.078000000000003,839.105
59,60,,Martin Laird,22,30.734,676.155
60,61,,Lucas Glover,23,30.712,706.385
61,62,,Keegan Bradley,26,30.531,793.801
62,63,,Russell Knox,22,30.421999999999997,669.293
63,64,,Bryson DeChambeau,28,29.869,836.319
64,65,,James Hahn,25,28.459,711.47
65,66,,Branden Grace,18,28.334,510.009
66,67,,Graham DeLaet,23,27.836,640.231
67,68,,Sung Kang,29,27.513,797.872
68,69,,Kelly Kraft,25,26.9,672.4989999999999
69,70,,Bud Cauley,25,26.641,666.0210000000001
70,71,,Chez Reavie,25,26.634,665.852
71,72,,Luke List,28,26.463,740.9760000000001
72,73,,Kevin Tway,24,25.771,618.507
73,74,,Patrick Rodgers,25,25.549,638.725
74,75,,Kevin Na,23,25.409000000000002,584.403
75,76,,Stewart Cink,23,25.363000000000003,583.3430000000001
76,77,,Jonas Blixt,23,25.145,578.327
77,78,,Luke Donald,17,24.929000000000002,423.8
78,79,,Scott Brown,26,24.849,646.077
79,80,,J.B. Holmes,22,24.688000000000002,543.139
80,81,,Scott Piercy,22,24.180999999999997,531.986
81,82,,Danny Lee,29,24.041,697.178
82,83,,Jim Herman,23,24.035,552.8
83,84,,Grayson Murray,27,23.62,637.734
84,85,,Emiliano Grillo,22,23.561,518.347
85,86,,Chad Campbell,27,22.798000000000002,615.545
86,87,,Shane Lowry,16,22.579,361.265
87,88,,Kevin Streelman,24,22.541999999999998,541.009
88,89,,Byeong Hun An,21,22.291999999999998,468.12800000000004
89,90,,Jimmy Walker,20,21.930999999999997,438.62300000000005
90,91,,Robert Streb,27,21.381999999999998,577.318
91,92,,Morgan Hoffmann,27,20.935,565.255
92,93,,David Lingmerth,21,20.803,436.86400000000003
93,94,,D.A. Points,21,20.712,434.95
94,95,,Whee Kim,25,20.211,505.267
95,96,,Camilo Villegas,23,20.167,463.848
96,97,,Patton Kizzire,26,19.949,518.665
97,98,,Bubba Watson,20,19.857,397.13199999999995
98,99,,Cody Gribble,26,19.777,514.207
99,100,,Nick Taylor,27,19.711,532.184
100,101,,C.T. Pan,27,19.503,526.592
101,102,,Graeme McDowell,17,19.458,330.788
102,103,,William McGirt,26,19.202,499.246
103,104,,Jonathan Byrd,9,19.146,172.31400000000002
104,105,,J.J. Spaun,27,18.886,509.91900000000004
105,106,,Jason Kokrak,26,18.862000000000002,490.401
106,107,,Michael Kim,26,18.587,483.254
107,108,,Greg Owen,17,18.476,314.091
108,109,,Chris Kirk,26,17.959,466.92800000000005
109,110,,Robert Garrigus,25,17.939,448.467
110,111,,Brian Gay,24,17.738,425.722
111,112,,Nick Watney,22,17.563,386.375
112,113,,Rory Sabbatini,22,17.059,375.30199999999996
113,114,,Richy Werenski,25,16.919,422.975
114,115,,Scott Stallings,26,16.844,437.94699999999995
115,116,,Ryan Palmer,20,16.778,335.566
116,117,,Brandon Hagy,25,16.77,419.24800000000005
117,118,,Søren Kjeldsen,17,16.627,282.653
118,119,,Dominic Bozzelli,24,16.424,394.17199999999997
119,120,,Geoff Ogilvy,24,16.239,389.741
120,121,,Aaron Baddeley,20,16.235,324.702
121,122,,Blayne Barber,24,15.859000000000002,380.61699999999996
122,123,,Derek Fathauer,26,15.706,408.36400000000003
123,124,,Ryan Blaum,28,15.488,433.651
