,Putting_Rating_RANK THIS WEEK,Putting_Rating_RANK LAST WEEK,Putting_Rating_PLAYER NAME,Putting_Rating_EVENTS,Putting_Rating_RATING
0,1,,Keith Mitchell,1,9.4
1,2,,Braden Thornberry,1,9.3
2,3,,Hiroshi Iwata,1,9.1
3,4,,Pablo Larrazabal,1,9.0
4,T5,,Brendon Todd,1,8.9
5,T5,,Willy Wilcox,2,8.9
6,7,,Henrik Norlander,1,8.8
7,T8,,Jonathan Byrd,1,8.7
8,T8,,David Toms,1,8.7
9,T10,,Eric Axley,1,8.6
10,T10,,Ernie Els,3,8.6
11,T10,,Matthew Fitzpatrick,3,8.6
12,T10,,Justin Thomas,6,8.6
13,T14,,Jonas Blixt,6,8.5
14,T14,,J.B. Holmes,6,8.5
15,T14,,Thomas Pieters,2,8.5
16,T14,,Andres Romero,1,8.5
17,T14,,Jordan Spieth,7,8.5
18,T14,,Steve Wheatcroft,3,8.5
19,T20,,Wesley Bryan,9,8.4
20,T20,,K.J. Choi,4,8.4
21,T20,,Cody Gribble,8,8.4
22,T20,,Tyrrell Hatton,5,8.4
23,T20,,Whee Kim,5,8.4
24,T20,,Rory McIlroy,3,8.4
25,T26,,Mark Anderson,2,8.3
26,T26,,Charlie Beljan,1,8.3
27,T26,,Greg Chalmers,7,8.3
28,T26,,Brett Drewitt,3,8.3
29,T26,,Bob Estes,2,8.3
30,T26,,Brian Harman,9,8.3
31,T26,,David Lingmerth,6,8.3
32,T26,,Michael Thompson,5,8.3
33,T26,,Tim Wilkinson,2,8.3
34,T35,,Matt Atkins,1,8.2
35,T35,,Ángel Cabrera,3,8.2
36,T35,,Chad Collins,4,8.2
37,T35,,Jason Day,6,8.2
38,T35,,Brendon de Jonge,1,8.2
39,T35,,Rickie Fowler,7,8.2
40,T35,,Tommy Gainey,1,8.2
41,T35,,Tim Herron,1,8.2
42,T35,,Morgan Hoffmann,8,8.2
43,T35,,Ryo Ishikawa,3,8.2
44,T35,,Brooks Koepka,8,8.2
45,T35,,Danny Lee,9,8.2
46,T35,,Peter Malnati,6,8.2
47,T35,,Lee McCoy,2,8.2
48,T35,,Dicky Pride,1,8.2
49,T35,,Brandt Snedeker,5,8.2
50,T35,,Chris Stroud,2,8.2
51,T35,,Sahith Theegala,1,8.2
52,T53,,Aaron Baddeley,6,8.1
53,T53,,Blayne Barber,8,8.1
54,T53,,Rafa Cabrera Bello,5,8.1
55,T53,,Julián Etulain,4,8.1
56,T53,,Gonzalo Fernandez-Castaño,5,8.1
57,T53,,Brian Gay,9,8.1
58,T53,,Martin Kaymer,5,8.1
59,T53,,Anirban Lahiri,5,8.1
60,T53,,Graeme McDowell,10,8.1
61,T53,,Phil Mickelson,10,8.1
62,T53,,Trey Mullinax,6,8.1
63,T53,,Seung-Yul Noh,9,8.1
64,T53,,Rob Oppenheim,1,8.1
65,T53,,Carl Pettersson,3,8.1
66,T53,,Jonathan Randolph,3,8.1
67,T53,,Patrick Reed,9,8.1
68,T53,,Charl Schwartzel,5,8.1
69,T53,,Cameron Smith,11,8.1
70,T53,,Henrik Stenson,2,8.1
71,T53,,Zack Sucher,2,8.1
72,T53,,Jimmy Walker,6,8.1
73,T53,,Jeunghun Wang,2,8.1
74,T75,,Ricky Barnes,7,8.0
75,T75,,Daniel Berger,8,8.0
76,T75,,Dominic Bozzelli,7,8.0
77,T75,,Patrick Cantlay,5,8.0
78,T75,,Jon Curran,3,8.0
79,T75,,Bryson DeChambeau,4,8.0
