,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_PLAYER NAME,Non-WGC_FedExCup_Season_Points_for_Non-Members_EVENTS,Non-WGC_FedExCup_Season_Points_for_Non-Members_POINTS
0,1,,Thomas Pieters,12,391
1,2,,Tommy Fleetwood,10,271
2,3,,Tyrrell Hatton,13,264
3,4,,Martin Kaymer,10,257
4,5,,Henrik Norlander,5,243
5,6,,HaoTong Li,5,214
6,7,,Alex Noren,11,212
7,8,,Bernd Wiesberger,10,169
8,9,,Curtis Luck,12,153
9,10,,Rafael Campos,4,145
10,11,,Peter Uihlein,7,135
11,12,,Matthew Fitzpatrick,12,119
12,13,,Lee Westwood,10,96
13,14,,Matthew Southgate,1,95
14,15,,Scott Hend,6,94
15,16,,Aaron Wise,6,93
16,17,,Chris Wood,9,86
17,18,,Rob Oppenheim,4,84
18,19,,Jordan L Smith,1,80
19,20,,Robby Shelton,8,75
20,21,,Chan Kim,2,72
21,22,,Ross Fisher,10,66
22,23,,Keith Mitchell,1,65
23,24,,Andy Sullivan,7,65
24,25,,Jeunghun Wang,10,63
25,26,,Chase Koepka,2,59
26,27,,Oscar Fraustro,1,59
27,28,,Austin Connelly,1,58
28,29,,Michael Putnam,6,58
29,30,,Eddie Pepperell,1,55
30,31,,Yuta Ikeda,10,49
31,32,,Hideto Tanihara,11,49
32,33,,Cameron Davis,1,47
33,34,,Kramer Hickok,2,44
34,35,,Young-han Song,4,44
35,T36,,Richard Bland,2,42
36,T36,,Richie Ramsay,2,42
37,38,,Beau Hossler,8,34
38,39,,Brett Coletta,3,32
39,40,,Richard Sterne,3,32
40,41,,Ryan Ruffels,7,30
41,T42,,David Drysdale,1,29
42,T42,,Thongchai Jaidee,5,29
43,44,,Lee McCoy,3,28
44,45,,Satoshi Kodaira,4,28
45,46,,Michael Johnson,2,28
46,47,,Kurt Kitayama,2,27
47,48,,Scott Langley,3,27
48,49,,Brandon Stone,6,24
49,50,,Jordan Niebrugge,2,20
50,51,,Laurie Canter,1,18
51,52,,Charlie Danielson,3,17
52,53,,Thorbjørn Olesen,6,17
53,54,,Chase Seiffert,3,15
54,55,,Joseph Bramlett,1,14
55,56,,Jack Maguire,1,14
56,57,,Miguel Tabuena,3,14
57,58,,Sam Horsfield,6,14
58,T59,,Yi Keun Chang,1,11
59,T59,,Andrew Dodt,1,11
60,T59,,Joost Luiten,5,11
61,62,,Josh Teater,2,9
62,63,,K.T. Kim,5,8
63,64,,Wyndham Clark,5,7
64,65,,Ryan Fox,2,7
65,T66,,Matt Gilchrest,1,7
66,T66,,Grant Leaver,1,7
67,68,,Jonathan Garrick,2,7
68,69,,Toby Tree,1,6
69,70,,Wesley McClain,2,6
70,71,,Thomas Aiken,1,6
71,72,,"Rich Berberian, Jr.",7,6
72,T73,,Abraham Ancer,1,6
73,T73,,Carlos Ortiz,1,6
74,75,,Gaganjeet Bhullar,1,6
75,T76,,Stephan Jaeger,2,5
76,T76,,Yusaku Miyazato,3,5
77,78,,Justin Lower,1,5
78,T79,,Kevin Dougherty,2,5
79,T79,,Dylan Frittelli,2,5
80,81,,Kenny Pigman,2,5
81,82,,Marcus Fraser,3,5
82,T83,,Michael Lorenzo-Vera,1,4
83,T83,,Shaun Norris,2,4
84,85,,Talor Gooch,1,4
85,86,,Tyler Light,1,4
86,87,,Daniel Obremski,1,4
87,T88,,Chris Evans,1,4
88,T88,,Alex Moon,1,4
89,90,,Joseph Dean,1,3
90,T91,,Gavin Kyle Green,3,3
91,T91,,Chan Shih-chang,2,3
92,93,,Jared Sawada,1,3
93,94,,SSP Chawrasia,1,3
94,95,,Cody Blick,1,3
95,96,,Kent Bulle,1,3
96,T97,,Chip Deason,2,3
97,T97,,Bobby Gates,5,3
98,T99,,Anders Albertson,1,2
99,T99,,Matthew Griffin,3,2
100,T99,,Hyung-Sung Kim,1,2
101,T102,,Dru Love,5,2
102,T102,,Soomin Lee,2,2
103,104,,Danny Chia,1,2
104,105,,Matt Atkins,1,2
105,106,,Cyril Bouniol,1,2
106,107,,Fabrizio Zanotti,6,1
