,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Regular_Season_EVENTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_%,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POINTS WON,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF TOP 10'S
0,1,,Hideki Matsuyama,22,29.88,2869,9600,3.0,7.0
1,2,,Dustin Johnson,20,28.67,2466,8600,3.0,7.0
2,3,,Jordan Spieth,23,26.58,2671,10050,3.0,8.0
3,4,,Justin Thomas,25,24.22,2689,11100,4.0,9.0
4,5,,Rickie Fowler,21,20.24,1832,9050,1.0,9.0
5,6,,Jon Rahm,23,17.28,1754,10150,1.0,7.0
6,7,,Brooks Koepka,24,16.38,1736,10600,1.0,6.0
7,8,,Henrik Stenson,15,15.3,1079,7050,1.0,3.0
8,9,,Sergio Garcia,17,14.1,1085,7700,1.0,2.0
9,10,,Daniel Berger,26,13.99,1623,11600,1.0,6.0
10,11,,Justin Rose,18,13.27,996,7500,,4.0
11,12,,Rory McIlroy,14,12.95,803,6200,,6.0
12,13,,Kevin Kisner,28,12.79,1612,12600,1.0,7.0
13,14,,Patrick Cantlay,13,12.56,578,4600,,2.0
14,15,,Pat Perez,26,12.54,1461,11650,1.0,5.0
15,16,,Marc Leishman,25,11.93,1324,11100,1.0,5.0
16,17,,Louis Oosthuizen,18,11.8,956,8100,,3.0
17,18,,Brian Harman,30,11.66,1557,13350,1.0,7.0
18,19,,Matt Kuchar,26,10.77,1260,11700,,6.0
19,20,,Charles Howell III,23,10.75,1102,10250,,5.0
20,21,,Charley Hoffman,31,10.74,1498,13950,,7.0
21,22,,Adam Hadwin,28,10.73,1347,12550,1.0,5.0
22,23,,Jason Dufner,24,10.67,1126,10550,1.0,2.0
23,24,,Brendan Steele,25,10.61,1226,11550,1.0,4.0
24,25,,Paul Casey,24,10.6,1135,10700,,6.0
25,26,,Francesco Molinari,21,10.41,1010,9700,,5.0
26,27,,Russell Henley,27,9.61,1129,11750,1.0,4.0
27,28,,Kyle Stanley,29,9.44,1204,12750,1.0,5.0
28,29,,Ian Poulter,20,9.16,760,8300,,2.0
29,30,,Gary Woodland,26,9.07,1052,11600,,5.0
30,31,,Jason Day,20,8.89,756,8500,,3.0
31,32,,Charl Schwartzel,18,8.87,727,8200,,3.0
32,33,,Fred Couples,1,8.66,52,600,,
33,34,,Brandt Snedeker,15,8.5,663,7800,,4.0
34,35,,Webb Simpson,28,8.43,1058,12550,,4.0
35,36,,Kevin Chappell,27,8.39,1015,12100,1.0,4.0
36,37,,Xander Schauffele,28,8.34,988,11850,1.0,3.0
37,38,,Billy Horschel,28,8.31,1068,12850,1.0,4.0
38,39,,Wesley Bryan,28,8.27,1046,12650,1.0,5.0
39,40,,Bill Haas,25,8.08,946,11700,,3.0
40,41,,Tony Finau,29,8.06,1024,12700,,6.0
41,42,,Adam Scott,16,7.88,642,8150,,4.0
42,43,,Zach Johnson,23,7.87,839,10650,,4.0
43,44,,Jhonattan Vegas,29,7.81,1023,13100,1.0,3.0
44,45,,Cameron Smith,26,7.36,847,11500,1.0,4.0
45,46,,Phil Mickelson,22,7.31,734,10050,,4.0
46,47,,Ollie Schniederjans,28,7.23,882,12200,,5.0
47,48,,Hudson Swafford,28,7.22,921,12750,1.0,4.0
48,49,,Rafa Cabrera Bello,19,7.07,615,8700,,4.0
49,50,,Mackenzie Hughes,31,6.91,974,14100,1.0,2.0
50,51,,Patrick Reed,29,6.84,896,13100,,3.0
51,52,,Chris Stroud,22,6.82,627,9200,1.0,3.0
52,53,,Anirban Lahiri,22,6.81,667,9800,,2.0
53,54,,Steve Stricker,13,6.41,410,6400,,2.0
54,55,,Rod Pampling,22,6.21,630,10150,1.0,1.0
55,56,,Jamie Lovemark,28,6.15,787,12800,,4.0
