,Accuracy_Rating_RANK THIS WEEK,Accuracy_Rating_RANK LAST WEEK,Accuracy_Rating_PLAYER NAME,Accuracy_Rating_EVENTS,Accuracy_Rating_RATING
0,T1,T1,Ángel Cabrera,1,8.5
1,T1,T1,Joost Luiten,1,8.5
2,3,3,Graham DeLaet,1,8.3
3,4,4,Omar Uresti,1,8.2
4,T5,T5,Alexander Björk,1,8.0
5,T5,T5,Olin Browne,1,8.0
6,T5,T5,Paul Goydos,1,8.0
7,T5,T5,David Hearn,9,8.0
8,T5,T5,Jerry Kelly,1,8.0
9,T10,T10,Chez Reavie,12,7.9
10,T10,T10,Heath Slocum,1,7.9
11,T10,T10,Chris Wilson,1,7.9
12,T13,T13,Chris Paisley,1,7.8
13,T13,T13,John Peterson,7,7.8
14,T15,T15,Nate Lashley,6,7.7
15,T15,T15,Roger Sloan,1,7.7
16,T17,T17,Keegan Bradley,18,7.6
17,T17,T17,Rickie Fowler,14,7.6
18,T17,T17,Ben Kern,1,7.6
19,T17,T17,Russell Knox,17,7.6
20,T17,T17,Rick Lamb,1,7.6
21,T17,T17,Kyle Stanley,14,7.6
22,T17,T17,Henrik Stenson,10,7.6
23,T17,T17,Brian Stuard,16,7.6
24,T17,T17,D.J. Trahan,1,7.6
25,T26,T26,Ryan Armour,21,7.5
26,T26,T26,Chris Couch,1,7.5
27,T26,T26,Doug Ghim,2,7.5
28,T26,T26,Chesson Hadley,20,7.5
29,T26,T26,J.J. Henry,9,7.5
30,T26,T26,Sungjae Im,1,7.5
31,T26,T26,Dustin Johnson,16,7.5
32,T26,T26,Colt Knost,2,7.5
33,T26,T26,David Lipsky,1,7.5
34,T26,T26,Francesco Molinari,13,7.5
35,T26,T26,Ryan Moore,14,7.5
36,T26,T26,Vaughn Taylor,14,7.5
37,T26,T26,Nicholas Thompson,1,7.5
38,T39,T39,Rafa Cabrera Bello,12,7.4
39,T39,T39,Paul Casey,11,7.4
40,T39,T39,Kevin Chappell,14,7.4
41,T39,T39,K.J. Choi,4,7.4
42,T39,T39,Bryson DeChambeau,19,7.4
43,T39,T39,Ross Fisher,6,7.4
44,T39,T39,Zach Johnson,17,7.4
45,T39,T39,Spencer Levin,1,7.4
46,T39,T39,J.J. Spaun,14,7.4
47,T39,T39,Kevin Streelman,19,7.4
48,T39,T39,Richy Werenski,12,7.4
49,T39,T39,Tiger Woods,14,7.4
50,T39,T39,Zach Wright,1,7.4
51,T52,T52,Eric Axley,3,7.3
52,T52,T52,Blayne Barber,11,7.3
53,T52,T52,Patrick Cantlay,17,7.3
54,T52,T52,George Cunningham,1,7.3
55,T52,T52,Tyler Duncan,14,7.3
56,T52,T52,Ryan Fox,2,7.3
57,T52,T52,Emiliano Grillo,18,7.3
58,T52,T52,Russell Henley,12,7.3
59,T52,T52,Tom Hoge,15,7.3
60,T52,T52,Satoshi Kodaira,5,7.3
61,T52,T52,Joaquin Niemann,9,7.3
62,T52,T52,Thorbjørn Olesen,2,7.3
63,T52,T52,Louis Oosthuizen,10,7.3
64,T52,T52,C.T. Pan,17,7.3
65,T52,T52,Justin Rose,13,7.3
66,T52,T52,Adam Scott,13,7.3
67,T52,T52,Greyson Sigg,1,7.3
68,T52,T52,Jordan Spieth,15,7.3
69,T52,T52,Shawn Stefani,10,7.3
70,T52,T52,Steve Stricker,9,7.3
71,T52,T52,Hudson Swafford,10,7.3
72,T52,T52,Bernd Wiesberger,1,7.3
73,T74,T74,Jason Bohn,2,7.2
74,T74,T74,Jorge Campillo,1,7.2
75,T74,T74,Zecheng Dou,3,7.2
76,T74,T74,Billy Horschel,16,7.2
77,T74,T74,Chris Kirk,23,7.2
78,T74,T74,Patton Kizzire,15,7.2
79,T74,T74,Kelly Kraft,12,7.2
80,T74,T74,Steve Marino,3,7.2
81,T74,T74,Rory McIlroy,11,7.2
82,T74,T74,Shubhankar Sharma,3,7.2
83,T74,T74,Conrad Shindler,7,7.2
84,T74,T74,Josh Teater,2,7.2
85,T74,T74,Steve Wheatcroft,8,7.2
86,T74,T74,Tom Whitney,1,7.2
