,Official_World_Golf_Ranking_RANK THIS WEEK,Official_World_Golf_Ranking_RANK LAST WEEK,Official_World_Golf_Ranking_PLAYER NAME,Official_World_Golf_Ranking_EVENTS,Official_World_Golf_Ranking_AVG POINTS,Official_World_Golf_Ranking_TOTAL POINTS,Official_World_Golf_Ranking_POINTS LOST,Official_World_Golf_Ranking_POINTS GAINED,Official_World_Golf_Ranking_COUNTRY
0,1,1,Dustin Johnson,45,10.29,463.25,-340.53,335.37,USA
1,2,2,Justin Rose,45,10.23,460.51,-192.95,300.75,ENG
2,3,3,Brooks Koepka,43,9.92,426.49,-169.68,298.73,USA
3,4,4,Justin Thomas,50,9.43,471.25,-267.04,303.54,USA
4,5,5,Francesco Molinari,50,7.25,362.57,-125.16,295.49,ITA
5,6,6,Rory McIlroy,43,7.24,311.18,-193.7,279.34,NIR
6,7,7,Bryson DeChambeau,52,6.97,362.24,-61.41,347.15,USA
7,8,8,Jon Rahm,50,6.93,346.43,-199.78,224.04,ESP
8,9,9,Rickie Fowler,45,6.75,303.87,-187.9,165.6,USA
9,10,10,Jordan Spieth,49,6.36,311.51,-266.2,135.74,USA
10,11,11,Jason Day,40,6.25,249.95,-170.35,208.48,AUS
11,12,12,Tommy Fleetwood,52,6.02,313.03,-154.72,232.32,ENG
12,13,13,Tiger Woods,40,5.82,232.83,-14.05,237.58,USA
13,14,14,Bubba Watson,47,5.32,249.84,-81.73,260.26,USA
14,15,15,Patrick Reed,52,5.2,270.31,-154.8,226.39,USA
15,16,16,Webb Simpson,52,4.98,258.72,-88.55,224.01,USA
16,17,17,Tony Finau,52,4.94,256.65,-89.46,211.93,USA
17,18,18,Alex Noren,50,4.84,241.96,-158.96,193.87,SWE
18,19,19,Xander Schauffele,52,4.83,250.94,-93.4,165.31,USA
19,20,20,Hideki Matsuyama,50,4.71,235.26,-256.48,103.69,JPN
20,21,21,Paul Casey,48,4.68,224.43,-162.45,157.09,ENG
21,22,22,Patrick Cantlay,40,4.2,167.87,-58.03,121.38,USA
22,23,23,Marc Leishman,52,4.19,217.66,-147.17,98.79,AUS
23,24,24,Henrik Stenson,43,4.05,174.04,-186.58,100.96,SWE
24,25,25,Phil Mickelson,48,4.01,192.26,-111.99,179.03,USA
25,26,26,Tyrrell Hatton,52,3.91,203.41,-151.68,123.55,ENG
26,27,27,Kyle Stanley,52,3.8,197.76,-72.97,148.39,USA
27,28,28,Sergio Garcia,46,3.66,168.23,-166.53,85.51,ESP
28,29,29,Kevin Kisner,52,3.63,188.89,-108.37,123.28,USA
29,30,30,Rafa Cabrera Bello,52,3.62,188.09,-133.8,114.01,ESP
30,31,31,Keegan Bradley,52,3.44,179.09,-61.18,145.85,USA
31,32,32,Cameron Smith,52,3.38,175.77,-65.36,131.68,AUS
32,33,33,Matt Kuchar,52,3.28,170.66,-156.1,78.79,USA
33,34,34,Ian Poulter,52,3.25,169.18,-68.39,130.49,ENG
