,FedExCup_Bonus_Money_RANK THIS WEEK,FedExCup_Bonus_Money_RANK LAST WEEK,FedExCup_Bonus_Money_PLAYER NAME,FedExCup_Bonus_Money_EVENTS,FedExCup_Bonus_Money_MONEY
0,1,1,Justin Rose,18,10000000
1,2,2,Tiger Woods,18,3000000
2,3,3,Bryson DeChambeau,26,2000000
3,4,4,Dustin Johnson,20,1500000
4,5,5,Billy Horschel,27,1000000
5,6,6,Tony Finau,28,800000
6,7,7,Justin Thomas,23,700000
7,8,8,Keegan Bradley,27,600000
8,9,9,Brooks Koepka,17,550000
9,10,10,Bubba Watson,24,500000
10,11,11,Webb Simpson,26,300000
11,12,12,Cameron Smith,24,290000
12,13,13,Hideki Matsuyama,21,275000
13,13,13,Rory McIlroy,18,275000
14,15,15,Xander Schauffele,27,250000
15,16,16,Jason Day,20,245000
16,17,17,Rickie Fowler,20,237500
17,17,17,Francesco Molinari,20,237500
18,19,19,Tommy Fleetwood,19,230000
19,20,20,Patrick Cantlay,23,225000
20,21,21,Phil Mickelson,24,220000
21,22,22,Patrick Reed,26,215000
22,23,23,Jon Rahm,20,210000
23,24,24,Aaron Wise,29,205000
24,25,25,Paul Casey,20,200000
25,26,26,Gary Woodland,27,195000
26,27,27,Kyle Stanley,26,190000
27,28,28,Kevin Na,26,185000
28,29,29,Marc Leishman,25,180000
29,30,30,Patton Kizzire,29,175000
30,31,31,Jordan Spieth,23,165000
31,32,32,Emiliano Grillo,25,155000
32,33,33,Andrew Putnam,28,150000
33,34,34,Chez Reavie,28,145000
34,35,35,C.T. Pan,30,142000
35,36,36,Adam Hadwin,25,140000
36,37,37,Andrew Landry,27,138000
37,38,38,Austin Cook,29,137000
38,39,39,Pat Perez,23,136000
39,40,40,Brandt Snedeker,25,135000
40,41,41,Rafa Cabrera Bello,20,134000
41,42,42,Byeong Hun An,24,133000
42,43,43,Alex Noren,18,132000
43,44,44,Chesson Hadley,30,131000
44,45,45,Luke List,29,130000
45,46,46,Beau Hossler,28,129000
46,47,47,Kevin Kisner,25,128000
47,48,48,Brian Harman,25,127000
48,49,49,Ryan Armour,32,126000
49,50,50,Ian Poulter,20,125000
50,51,51,Adam Scott,21,120000
51,52,52,Jason Kokrak,29,115000
52,53,53,Charles Howell III,28,114000
53,54,54,Tyrrell Hatton,16,113000
54,55,55,Si Woo Kim,31,110000
55,56,56,Brendan Steele,22,110000
56,57,57,Henrik Stenson,16,110000
57,58,58,Zach Johnson,25,110000
58,59,59,Brian Gay,30,110000
59,60,60,Abraham Ancer,30,110000
60,61,61,Brice Garnett,30,110000
61,62,62,J.J. Spaun,27,110000
62,63,63,Ryan Palmer,22,110000
63,64,64,Peter Uihlein,26,110000
64,65,65,"Ted Potter, Jr.",28,110000
65,66,66,Chris Kirk,29,110000
66,67,67,Keith Mitchell,29,110000
67,68,68,Scott Piercy,26,110000
68,69,69,Louis Oosthuizen,17,110000
69,70,70,Daniel Berger,23,110000
70,71,71,Ryan Moore,22,80000
71,72,72,Whee Kim,30,80000
72,73,73,Stewart Cink,25,80000
73,74,74,Nick Watney,26,80000
74,75,75,Jimmy Walker,23,80000
75,76,76,Matt Kuchar,24,80000
76,77,77,Kevin Streelman,27,80000
77,78,78,Bronson Burgoon,24,80000
78,79,79,Charley Hoffman,25,80000
79,80,80,Joel Dahmen,28,80000
80,81,81,Michael Kim,27,75000
81,82,82,J.B. Holmes,24,75000
82,83,83,Kevin Chappell,23,75000
83,84,84,James Hahn,26,75000
84,85,85,Jamie Lovemark,26,75000
85,86,86,Brian Stuard,32,75000
86,87,87,Kevin Tway,31,75000
87,88,88,Branden Grace,18,75000
88,89,89,Russell Knox,27,75000
89,90,90,Kelly Kraft,31,75000
90,91,91,Troy Merritt,27,75000
91,92,92,Tom Hoge,31,75000
92,93,93,Scott Stallings,30,75000
93,94,94,Satoshi Kodaira,18,75000
94,95,95,Jhonattan Vegas,27,75000
95,96,96,Russell Henley,23,75000
96,97,97,Danny Lee,30,75000
97,98,98,Ollie Schniederjans,27,75000
98,99,99,Anirban Lahiri,24,75000
99,100,100,Jason Dufner,22,75000
100,101,101,Sam Ryder,26,70000
101,102,102,Trey Mullinax,24,70000
102,103,103,Brandon Harkins,30,70000
103,104,104,Patrick Rodgers,30,70000
104,105,105,Charl Schwartzel,20,70000
105,106,106,Sean O'Hair,22,70000
106,107,107,Harold Varner III,27,70000
107,108,108,Alex Cejka,24,70000
108,109,109,Rory Sabbatini,27,70000
109,110,110,Richy Werenski,32,70000
110,111,111,Sung Kang,29,70000
111,112,112,John Huh,29,70000
112,113,113,Tyler Duncan,31,70000
113,114,114,Seamus Power,28,70000
114,115,115,Martin Laird,22,70000
115,116,116,William McGirt,26,70000
116,117,117,J.T. Poston,22,70000
117,118,118,Vaughn Taylor,25,70000
118,119,119,Grayson Murray,22,70000
119,120,120,Sam Saunders,26,70000
120,121,121,Ryan Blaum,28,70000
121,122,122,Scott Brown,32,70000
122,123,123,Nick Taylor,30,70000
123,124,124,Bud Cauley,17,70000
124,125,125,Harris English,31,70000
125,126,126,Martin Piller,28,32000
126,127,127,Tyrone Van Aswegen,31,32000
127,128,128,Sergio Garcia,15,32000
128,129,129,Chad Campbell,28,32000
129,130,130,Corey Conners,28,32000
130,131,131,Robert Garrigus,27,32000
131,132,132,Aaron Baddeley,27,32000
132,133,133,Johnson Wagner,21,32000
133,134,134,Tom Lovelady,28,32000
134,135,135,Lucas Glover,18,32000
135,136,136,Ben Silverman,28,32000
136,137,137,Derek Fathauer,28,32000
137,138,138,David Hearn,21,32000
138,139,139,Talor Gooch,27,32000
