,Short_Game_Rating_RANK THIS WEEK,Short_Game_Rating_RANK LAST WEEK,Short_Game_Rating_PLAYER NAME,Short_Game_Rating_EVENTS,Short_Game_Rating_RATING
0,1,1,D.J. Trahan,1,9.3
1,2,2,Greyson Sigg,1,8.8
2,2,2,Jimmy Stanger,1,8.8
3,2,2,Charlie Wi,1,8.8
4,5,5,Bernd Wiesberger,1,8.3
5,6,6,Sam Horsfield,1,8.0
6,6,6,Neal Lancaster,1,8.0
7,6,6,Tim Wilkinson,1,8.0
8,6,6,Casey Wittenberg,1,8.0
9,10,10,Jonathan Byrd,3,7.9
10,10,10,Daisuke Kataoka,1,7.9
11,10,10,T.J. Vogel,2,7.9
12,13,13,Chris Couch,1,7.8
13,13,13,Jerry Kelly,1,7.8
14,13,13,Sebastián Muñoz,1,7.8
15,16,16,Louis Oosthuizen,9,7.7
16,17,17,Tim Herron,3,7.6
17,17,17,Andres Romero,1,7.6
18,19,19,Luis Gagne,1,7.5
19,19,19,John Rollins,2,7.5
20,21,21,Kiradech Aphibarnrat,5,7.4
21,21,21,Webb Simpson,16,7.4
22,23,23,Robert Allenby,1,7.3
23,23,23,Jason Dufner,9,7.3
24,23,23,Ryan Fox,2,7.3
25,23,23,Brett Rumford,1,7.3
26,23,23,Brandt Snedeker,15,7.3
27,23,23,Justin Thomas,16,7.3
28,29,29,Bobby Gates,1,7.2
29,29,29,Brian Gay,17,7.2
30,29,29,Emiliano Grillo,17,7.2
31,29,29,Bill Haas,9,7.2
32,29,29,J.B. Holmes,12,7.2
33,29,29,Scottie Scheffler,1,7.2
34,29,29,Chase Seiffert,1,7.2
35,29,29,Robert Streb,6,7.2
36,37,37,Bud Cauley,9,7.1
37,37,37,Doug Ghim,2,7.1
38,37,37,Thorbjørn Olesen,2,7.1
39,37,37,Cameron Percy,8,7.1
40,37,37,Seamus Power,12,7.1
41,37,37,Justin Rose,12,7.1
42,37,37,Henrik Stenson,7,7.1
43,37,37,Chris Stroud,10,7.1
44,37,37,Cameron Tringale,6,7.1
45,46,46,Adam Bland,1,7.0
46,46,46,Wesley Bryan,9,7.0
47,46,46,Dylan Frittelli,4,7.0
48,46,46,Si Woo Kim,14,7.0
49,46,46,Danny Lee,10,7.0
50,46,46,Phil Mickelson,15,7.0
51,46,46,Andrew Novak,1,7.0
52,46,46,Thomas Pieters,5,7.0
53,46,46,Jonathan Randolph,10,7.0
54,46,46,Vaughn Taylor,13,7.0
55,56,56,Ryan Armour,19,6.9
56,56,56,Jim Herman,1,6.9
57,56,56,Whee Kim,12,6.9
58,56,56,Brooks Koepka,9,6.9
59,56,56,Peter Malnati,13,6.9
60,56,56,Matthieu Pavon,1,6.9
61,56,56,Ollie Schniederjans,13,6.9
62,56,56,Cameron Smith,12,6.9
63,56,56,Brendan Steele,11,6.9
64,65,65,Jason Bohn,2,6.8
65,65,65,Michael Bradley,1,6.8
66,65,65,George Cunningham,1,6.8
67,65,65,Derek Ernst,1,6.8
68,65,65,Rickie Fowler,13,6.8
69,65,65,Shugo Imahira,1,6.8
70,65,65,Davis Love III,1,6.8
71,65,65,Jamie Lovemark,15,6.8
72,65,65,Collin Morikawa,1,6.8
73,65,65,Chris Paisley,1,6.8
74,65,65,Rory Sabbatini,17,6.8
75,65,65,Conrad Shindler,6,6.8
76,65,65,Omar Uresti,1,6.8
77,78,78,Joel Dahmen,13,6.7
78,78,78,Ken Duke,3,6.7
79,78,78,Kelly Kraft,11,6.7
80,78,78,William McGirt,15,6.7
81,78,78,Maverick McNealy,3,6.7
82,78,78,J.T. Poston,10,6.7
83,78,78,Andrew Putnam,13,6.7
84,78,78,Camilo Villegas,5,6.7
85,78,78,Jimmy Walker,15,6.7
86,78,78,Tiger Woods,12,6.7
87,78,78,Andrew Yun,1,6.7
88,89,89,Steve Allan,1,6.6
89,89,89,Stuart Appleby,3,6.6
90,89,89,Ricky Barnes,8,6.6
91,89,89,Ryan Blaum,10,6.6
92,89,89,Paul Casey,11,6.6
93,89,89,Alex Cejka,11,6.6
94,89,89,Jason Day,11,6.6
95,89,89,Tommy Fleetwood,11,6.6
96,89,89,Branden Grace,11,6.6
97,89,89,Ben Kern,1,6.6
98,89,89,Kevin Na,15,6.6
99,89,89,Geoff Ogilvy,2,6.6
100,89,89,"Ted Potter, Jr.",13,6.6
101,89,89,Daniel Summerhays,5,6.6
102,89,89,Cameron Wilson,1,6.6
103,89,89,Gary Woodland,11,6.6
104,105,105,Aaron Baddeley,10,6.5
105,105,105,K.J. Choi,2,6.5
106,105,105,Austin Cook,21,6.5
107,105,105,Dustin Johnson,15,6.5
108,105,105,Russell Knox,15,6.5
109,105,105,Matt Kuchar,15,6.5
110,105,105,Martin Laird,11,6.5
111,105,105,Luke List,15,6.5
112,105,105,Denny McCarthy,6,6.5
113,105,105,Troy Merritt,13,6.5
114,105,105,Shaun Micheel,1,6.5
115,105,105,Ian Poulter,11,6.5
116,105,105,Patrick Reed,11,6.5
117,105,105,David Skinns,1,6.5
118,105,105,Julian Suri,6,6.5
119,105,105,Josh Teater,1,6.5
120,121,121,Abraham Ancer,15,6.4
